FeatureID,estimate,stderror,df,tvalue,lower,upper,pvalue,padj,Name,Formula,Annotation_level,use_Sirius_class,env_sig
FT_1.106_423.18185,0.3291332311196548,0.08621459677009599,25.381377817254595,3.817604482885159,0.1517061316336093,0.5065603306057003,7.74755809990632e-4,0.014702342812845482,no name,C25H28O6,L3.2,yes,moisture
FT_1.107_629.23731,0.3626090282324964,0.07166594483081054,28.000000000104002,5.059711821124333,0.2158079950175847,0.5094100614474082,2.35559120943109e-5,9.153154413789377e-4,no name,C36H38O10,L3.2,yes,moisture
FT_1.116_381.09801,0.18925618664174546,0.05960813714270066,25.550135737064988,3.1750058920423903,0.06662482317501141,0.3118875501084795,0.003884306525105371,0.041625230917955267,no name,C21H18O7,L3.2,yes,moisture
FT_1.116_473.28266,0.32686137283219513,0.07682104143222043,25.253472238907737,4.254841730056295,0.16872595963219553,0.48499678603219476,2.5239070749460117e-4,0.006057376979870428,no name,C28H43O4P,L3.1,yes,moisture
FT_1.130_385.20231,0.2129475445107931,0.06978493442342087,25.94304524568996,3.0514830496039655,0.06948722897355777,0.3564078600480284,0.0051998121852071715,0.04877065221987416,no name,C23H30O5,L3.1,yes,moisture
FT_1.143_629.20263,0.3176783840741346,0.07932519215251485,27.999999999623828,4.004760347297353,0.15518809394454477,0.48016867420372444,4.1487710640195844e-4,0.009149722130378327,no name,C35H34O11,L3.2,yes,moisture
FT_1.144_285.07711,0.1830632212520946,0.052372464662006436,28.0000000002399,3.4954097049569954,0.07578309060506294,0.29034335189912625,0.0015954001779118156,0.024563142361812104,no name,noformula,L4,no,moisture
FT_1.162_283.06126,0.18030555116187222,0.04914297143280688,25.671037711581175,3.6689997756526336,0.07922768824351537,0.28138341408022904,0.001117868485707976,0.018650013071602304,Glycitein,C16H12O5,L2.1,no,moisture
FT_1.177_221.04552,0.24255210934749996,0.0744671439758708,26.472878459200885,3.257169489756353,0.08961566771989371,0.3954885509751062,0.003079921739169044,0.0360348120931363,no name,C10H8O3,L3.1,yes,moisture
FT_1.188_269.04556,0.19201604028835023,0.053235272152516264,25.89670406042293,3.6069326317753077,0.08256812398940151,0.30146395658729896,0.0012971258895833628,0.021169094518000482,"1,3,8-trihydroxy-6-methyl-anthracene-9,10-dione",C15H10O5,L2.2,no,moisture
FT_1.190_311.22297,0.4687987104513594,0.14289880334069982,25.2956432609091,3.280634263490982,0.174667429946801,0.7629299909559177,0.003017065227796061,0.0360348120931363,(±)9-HpODE,C18H32O4,L2.1,no,moisture
FT_1.213_165.05561,0.2975635319020464,0.06940548027899276,25.32274164764262,4.2873204061972485,0.15471258988725992,0.44041447391683286,2.3084768909034556e-4,0.005708233766597635,Acetovanillone,C9H10O3,L1,no,moisture
FT_1.219_287.22285,0.5929819178711622,0.19260261443494311,25.428432661203313,3.078784364432697,0.19664801740060867,0.9893158183417157,0.004933052971084028,0.04735730852240667,no name,C16H32O4,L3.1,yes,moisture
FT_1.250_233.04553,-0.12547850818145237,0.03489832548933977,25.81597160574455,-3.59554524241519,-0.1972379394875089,-0.05371907687539586,0.0013399697726828893,0.02143951636292623,Hexaketide pyrone,C12H10O5,L2.3,no,moisture
FT_1.250_339.19997,0.726686037238357,0.14283160066490688,25.54050011746952,5.087711919879791,0.4328341855970286,1.0205378888796854,2.8003602619196707e-5,0.0010386790789665688,no name,C15H32O8,L3.2,yes,moisture
FT_1.268_325.18447,0.6881483338987044,0.13661684026672322,25.507168703695694,5.037068142955154,0.40706408758026047,0.9692325802171484,3.207833624480152e-5,0.001130882032527096,4-Dodecylbenzenesulfonic acid,C18H30O3S,L2.1,no,moisture
FT_1.285_313.23864,0.942862898258139,0.1607881431382717,25.427091212507822,5.864007630508629,0.6119953263091672,1.2737304702071106,3.811025769285454e-6,2.2212835912406646e-4,12(13)-DiHOME,C18H34O4,L2.1,no,moisture
FT_1.287_311.22294,0.9595586231000727,0.1459288167952145,25.64228734756427,6.57552527439899,0.6593938542763422,1.2597233919238031,6.073568257636244e-7,6.195039622788969e-5,(±)9-HpODE,C18H32O4,L2.1,no,moisture
FT_1.290_311.16868,0.695182687335571,0.1523951137758347,25.39198461865872,4.561712446753041,0.3815645725471147,1.0088008021240273,1.1231568437422316e-4,0.0032731999446202176,no name,C17H28O3S,L3.1,yes,moisture
FT_1.300_219.02975,-0.1407142339808373,0.0424638636357709,25.799835580139316,-3.313740718173883,-0.22803292653044058,-0.05339554143123401,0.0027318420771421624,0.03483098648356257,no name,C11H8O5,L3.1,yes,moisture
FT_1.317_297.15305,0.8674252446966486,0.1511015651183416,25.6802486160981,5.7406767694119365,0.5566432008091429,1.1782072885841544,5.0411560613374095e-6,2.5941597758461627e-4,2-Decylbenzenesulfonate,C16H25O3S-,L2.1,no,moisture
FT_1.371_329.23370,0.761389857238122,0.2050759838592584,26.49179177220022,3.712720733602118,0.34023067059534523,1.1825490438808988,9.627531795416691e-4,0.01783589170798274,"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid",C18H34O5,L2.1,no,moisture
FT_1.376_291.08757,-0.13370368263488255,0.04349576820052304,28.00000000005935,-3.073946918663107,-0.22280072485469593,-0.04460664041506916,0.004674447055253524,0.04709072588996143,no name,C14H14O4,L3.1,yes,moisture
FT_1.380_185.08194,0.18376658625405776,0.0575636141101763,27.999999999975262,3.1924087654109066,0.06585286800322242,0.3016803045048931,0.003471145768335221,0.03824677004409113,1-(Carboxymethyl)cyclohexanecarboxylic acid,C9H14O4,L2.1,no,moisture
FT_1.414_271.15491,0.23129500461343308,0.07422163924062213,27.99999999981202,3.116274539067892,0.07925886871714655,0.3833311405097196,0.004204740622797179,0.043395214601754974,no name,C15H28S2,L3.3,no,moisture
FT_1.566_295.08239,0.16154338630050016,0.04216929258374628,25.30384547261977,3.8308298859811893,0.07474695157891893,0.2483398210220814,7.519322240621853e-4,0.014608968924636742,no name,C14H16O7,L3.1,yes,moisture
FT_1.569_325.09309,0.35331479692765183,0.09606460073246403,26.1890811202924,3.6778875281189065,0.15592054539431208,0.5507090484609916,0.0010676456009555142,0.018536144901695733,no name,C15H18O8,L3.2,yes,moisture
FT_1.618_351.10866,-0.2846398572769652,0.06519968732648491,28.00000000025549,-4.3656629187750875,-0.4181953624392989,-0.15108435211463153,1.565712492269143e-4,0.004258737978972069,no name,C17H20O8,L3.1,yes,moisture
FT_1.621_225.07685,-0.15344069476687802,0.05009053920239786,27.999999999623714,-3.0632669803549,-0.2560465130055066,-0.050834876528249445,0.004800642589667826,0.04735730852240667,no name,C11H14O5,L3.1,yes,moisture
