FeatureID,estimate,stderror,df,tvalue,lower,upper,pvalue,padj,Name,Formula,Annotation_level,use_Sirius_class,env_sig
FT_0.904_189.00708,0.2804921204484742,0.0946024807684416,25.684097960561417,2.9649552334154374,0.08591746424168945,0.475066776655259,0.006456179008212534,0.038779271297694894,no name,C4H4N4O3S,L3.3,yes,moisture
FT_0.969_288.92204,0.8179451664385743,0.1750603904389287,26.073704103658216,4.672360003240832,0.4581528801610801,1.1777374527160684,7.932055394488542e-5,0.001278869983778065,no name,C7N2O7S2,L3.3,yes,moisture
FT_0.979_226.95148,0.798952950629564,0.16829686285791104,26.03092837855594,4.747283681123044,0.4530337979641744,1.1448721032949534,6.530996769741468e-5,0.0010912701875258927,no name,NA,L4,no,moisture
FT_0.980_362.92643,1.08461656961066,0.2148002361520773,26.03750464640842,5.049419819272256,0.6431193117989322,1.5261138274223878,2.938391601529529e-5,6.623342261943885e-4,no name,NA,L4,no,moisture
FT_0.980_430.91383,1.2189914545821376,0.24167415071733675,26.12354079901104,5.043946367304611,0.7223374365892198,1.7156454725750554,2.9549187458073916e-5,6.623342261943885e-4,no name,NA,L4,no,moisture
FT_0.980_498.90137,1.2835518574720886,0.2603063226910032,26.127666623509192,4.930928469977004,0.7486117655840554,1.8184919493601217,3.982682197698251e-5,7.78741476528658e-4,no name,C9H13N2O10P3S3,L3.3,yes,moisture
FT_0.980_90.97665,0.4949879755769038,0.11127993628311687,25.952896185351545,4.448133168566544,0.26622858336835997,0.7237473677854477,1.4474808570950537e-4,0.002046515242569776,no name,C2H3PS,L3.3,no,moisture
FT_0.981_158.96409,0.6518518237266185,0.14255689043885933,26.17623995617579,4.572573249317533,0.3589179304026622,0.9447857170505749,1.0242089630302208e-4,0.0015430295688930703,no name,na,L4,no,moisture
FT_0.981_242.92541,0.2651526181404009,0.07069616202828884,25.614947002372485,3.7505942406647335,0.1197281839268913,0.4105770523539105,9.094349680330228e-4,0.009675543893695059,no name,C4H2O8S2,L3.3,no,moisture
FT_0.981_294.93894,0.9066386899676335,0.18660469188215428,26.032190855033786,4.8586060769586625,0.5230903359882073,1.2901870439470597,4.8660306388942556e-5,8.786270653361214e-4,no name,C8H8O4P2S2,L3.3,yes,moisture
FT_0.981_310.91292,0.3342764952749875,0.07721544403064685,25.609044692445504,4.329140361380464,0.17543986430219494,0.49311312624778003,2.028403577272506e-4,0.0028243983144142924,no name,C4HN4O7P3,L3.3,yes,moisture
FT_0.981_378.90035,0.5376567717331747,0.10030802880459809,25.76587041108912,5.360057197221372,0.33137944066830116,0.7439341027980483,1.3397644113327939e-5,3.971753206499476e-4,no name,C6H5O13P3,L3.3,yes,moisture
FT_0.981_446.88778,0.6600918243462166,0.12813550723735748,25.883848183203256,5.151513726195084,0.3966479809779306,0.9235356677145026,2.2826345855511427e-5,5.993546240347143e-4,no name,C5H9N2O12P3S2,L3.3,yes,moisture
FT_0.981_514.87531,0.7402556712553543,0.1433831355770441,25.869844572133076,5.162780603703513,0.44545522935241627,1.0350561131582923,2.219462619527539e-5,5.993546240347143e-4,no name,C10H14O10P4S3,L3.3,yes,moisture
FT_0.981_566.88882,1.3776859239101271,0.28789355739595385,26.01087952104087,4.785400327716711,0.785924288013271,1.9694475598069832,5.915901544238515e-5,0.0010257950036141876,no name,C14H8N4O11P2S3,L3.3,yes,moisture
FT_0.981_582.86283,0.8855154930869251,0.17997338089624312,25.96884838333234,4.920258144160973,0.5155533109747287,1.2554776751991215,4.1601387533405143e-05,7.964932321499859e-4,no name,NA,L4,no,moisture
FT_0.981_666.82426,0.4419362138850796,0.14814647603743647,25.993457515014846,2.9831031132553076,0.137413040731236,0.7464593870389231,0.006132641923180908,0.03732382733379639,no name,NA,L4,no,moisture
FT_0.982_650.85025,1.0572287421376152,0.21279840227453797,26.090906493375208,4.968217481133391,0.6198895248159539,1.4945679594592765,3.621673887097051e-5,7.465443295589074e-4,no name,C10H13N4O15P3S4,L3.3,yes,moisture
FT_0.982_718.83752,1.185711625748826,0.2258204211218053,25.956842785182694,5.250683794931304,0.7214935374282136,1.6499297140694384,1.7447408149306827e-5,4.858838814913022e-4,no name,C14H18N4O10P4S6,L3.3,yes,moisture
FT_0.983_190.91197,-0.5085180089069019,0.1733028618421682,26.23209894643176,-2.934273580375283,-0.8645938046293518,-0.152442213184452,0.006862670999962509,0.04042817082670222,no name,na,L4,no,moisture
FT_0.984_122.92447,-0.5967534999709332,0.18154538232500736,26.17484606328238,-3.2870761697623863,-0.969804093054708,-0.22370290688715838,0.0028845080950756084,0.022656948199781916,no name,na,L4,no,moisture
FT_0.984_274.87332,-0.8132229229559349,0.2580639046019324,27.99999999952046,-3.1512462938602126,-1.3418428681825079,-0.28460297772936205,0.0038510252004377173,0.026609715482723777,no name,na,L4,no,moisture
FT_1.058_304.15048,1.0670476003121723,0.27812831430398094,25.86682489339582,3.8365299231848087,0.4952033737406363,1.6388918268837083,7.198434315244231e-4,0.007875429923463628,Nicotianamine,C12H21N3O6,L2.3,no,moisture
