FeatureID,Name,Formula,Annotation_level,use_Sirius_class,kingdom,superclass,class,subclass,level 5,CID,Title_PubChem,ExactMass,MolecularFormula,InChI,InChIKey,ConnectivitySMILES
FT_17.118_421.07555,"1,5,8-Trihydroxy-9-oxo-9H-xanthen-3-yl beta-D-glucopyranoside",C19H18O11,L2.1,no,Organic compounds,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,Dibenzopyrans,75411985,"1,5,8-Trihydroxy-9-oxo-9H-xanthen-3-yl beta-D-glucopyranoside",422.08491139,C19H18O11,"InChI=1S/C19H18O11/c20-5-11-14(24)16(26)17(27)19(30-11)28-6-3-9(23)12-10(4-6)29-18-8(22)2-1-7(21)13(18)15(12)25/h1-4,11,14,16-17,19-24,26-27H,5H2/t11-,14-,16+,17-,19-/m1/s1",IOJCAEBIAPRCCI-FJMCMGCSSA-N,C1=CC(=C2C(=C1O)C(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O
FT_1.347_327.12404,10-(4-Sulfophenyl) decanoic acid,C16H24O5S,L2.1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_1.448_327.12395,10-(4-Sulfophenyl) decanoic acid,C16H24O5S,L2.1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_1.156_271.22795,16-Hydroxyhexadecanoic acid,C16H32O3,L2.1,no,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,10466,16-Hydroxyhexadecanoic acid,272.23514488,C16H32O3,"InChI=1S/C16H32O3/c17-15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16(18)19/h17H,1-15H2,(H,18,19)",UGAGPNKCDRTDHP-UHFFFAOYSA-N,C(CCCCCCCC(=O)O)CCCCCCCO
FT_1.171_331.19173,19(R)-Hydroxy prostaglandin A2,C20H30O5,L2.1,no,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,16061098,19R-hydroxy-PGA2,350.20932405,C20H30O5,"InChI=1S/C20H30O5/c1-15(21)7-6-8-17(22)13-11-16-12-14-19(23)18(16)9-4-2-3-5-10-20(24)25/h2,4,11-18,21-22H,3,5-10H2,1H3,(H,24,25)/b4-2-,13-11+/t15-,16+,17+,18-/m1/s1",RXYQCXVUMLSFHM-HCLDBPGNSA-N,CC(CCCC(C=CC1C=CC(=O)C1CC=CCCCC(=O)O)O)O
FT_1.477_179.07139,2'-Hydroxy-4'-methoxypropiophenone,C10H12O3,L2.2,no,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Ketones,234836,2'-Hydroxy-4'-methoxypropiophenone,180.078644241,C10H12O3,"InChI=1S/C10H12O3/c1-3-9(11)8-5-4-7(13-2)6-10(8)12/h4-6,12H,3H2,1-2H3",MAKZPFSTXDXNJN-UHFFFAOYSA-N,CCC(=O)C1=C(C=C(C=C1)OC)O
FT_1.127_463.14008,"2-(1-naphthylmethylidene)-1,2,3,4-tetrahydronaphthalen-1-one 1-(2,4-dinitrophenyl)hydrazone",C27H20N4O4,L2.1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_1.602_353.06673,6-acetoxy-7-acetyl-1-hydroxy-3-methoxyanthraquinone,C19H14O7,L2.2,no,Organic compounds,Benzenoids,Anthracenes,Anthraquinones,NA,129687121,6-Acetoxy-7-acetyl-1-hydroxy-3-methoxyanthraquinone,354.07395278,C19H14O7,"InChI=1S/C19H14O7/c1-8(20)11-6-12-13(7-16(11)26-9(2)21)18(23)14-4-10(25-3)5-15(22)17(14)19(12)24/h4-7,22H,1-3H3",KBTUKTJYCIFJMG-UHFFFAOYSA-N,CC(=O)C1=C(C=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3O)OC)OC(=O)C
FT_1.672_381.19226,"2-[(2S,3R,4S,5R)-3,4-Dihydroxy-5-{[(isopropylcarbamoyl)amino]methyl}tetrahydro-2-furanyl]-N-[2-(dimethylamino)ethyl]acetamide",C15H30N4O5,L2.1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_2.353_195.06628,2-Hydroxy-4-(4-hydroxyphenyl)butanoic acid,C10H12O4,L2.1,no,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,NA,17760167,2-Hydroxy-4-(4-hydroxyphenyl)butanoic acid,196.07355886,C10H12O4,"InChI=1S/C10H12O4/c11-8-4-1-7(2-5-8)3-6-9(12)10(13)14/h1-2,4-5,9,11-12H,3,6H2,(H,13,14)",NDXWYVRAUFPPEJ-UHFFFAOYSA-N,C1=CC(=CC=C1CCC(C(=O)O)O)O
FT_1.512_195.03001,Haematommic Acid,C9H8O5,L2.2,no,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,6710680,Haematommic Acid,196.03717335,C9H8O5,"InChI=1S/C9H8O5/c1-4-2-6(11)5(3-10)8(12)7(4)9(13)14/h2-3,11-12H,1H3,(H,13,14)",KCOOTJRKKIDHTM-UHFFFAOYSA-N,CC1=CC(=C(C(=C1C(=O)O)O)C=O)O
FT_1.206_329.17611,"3,3'-Diisopropyl-6,6'-dimethyl-2,2',5,5'-biphenyltetrol",C20H26O4,L2.1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_1.306_329.17608,"3,3'-Diisopropyl-6,6'-dimethyl-2,2',5,5'-biphenyltetrol",C20H26O4,L2.1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_14.029_549.16735,melitose,C18H32O16,L2.2,no,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides,439242,Raffinose,504.16903493,C18H32O16,"InChI=1S/C18H32O16/c19-1-5-8(22)11(25)13(27)16(31-5)30-3-7-9(23)12(26)14(28)17(32-7)34-18(4-21)15(29)10(24)6(2-20)33-18/h5-17,19-29H,1-4H2/t5-,6-,7-,8+,9-,10-,11+,12+,13-,14-,15+,16+,17-,18+/m1/s1",MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O
FT_14.255_549.16737,melitose,C18H32O16,L2.2,no,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides,439242,Raffinose,504.16903493,C18H32O16,"InChI=1S/C18H32O16/c19-1-5-8(22)11(25)13(27)16(31-5)30-3-7-9(23)12(26)14(28)17(32-7)34-18(4-21)15(29)10(24)6(2-20)33-18/h5-17,19-29H,1-4H2/t5-,6-,7-,8+,9-,10-,11+,12+,13-,14-,15+,16+,17-,18+/m1/s1",MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O
FT_1.273_283.06127,3-{[2-(3-Cyano-2-pyridinyl)hydrazino]carbonyl}-2-pyrazinecarboxylic acid,C12H8N6O3,L2.1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_1.844_117.05577,3-Hydroxyvaleric acid,C5H10O3,L2.1,no,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Hydroxy fatty acids,107802,3-Hydroxyvaleric acid,118.062994177,C5H10O3,"InChI=1S/C5H10O3/c1-2-4(6)3-5(7)8/h4,6H,2-3H2,1H3,(H,7,8)",REKYPYSUBKSCAT-UHFFFAOYSA-N,CCC(CC(=O)O)O
FT_1.940_117.05577,3-Hydroxyvaleric acid,C5H10O3,L2.1,no,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Hydroxy fatty acids,107802,3-Hydroxyvaleric acid,118.062994177,C5H10O3,"InChI=1S/C5H10O3/c1-2-4(6)3-5(7)8/h4,6H,2-3H2,1H3,(H,7,8)",REKYPYSUBKSCAT-UHFFFAOYSA-N,CCC(CC(=O)O)O
FT_3.380_215.09252,"3-methyl-4-[2-(2-methylphenyl)hydrazono]-4,5-dihydro-1H-pyrazol-5-one",C11H12N4O,L2.1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_1.160_287.09263,"4,5-diphenyl-2,3-dihydro-1H-pyrazolo[3,4-c]pyridazin-3-one",C17H12N4O,L2.1,no,Organic compounds,Organoheterocyclic compounds,Diazines,Pyridazines and derivatives,Phenylpyridazines,5715152,"4,5-Diphenyl-1,2-dihydropyrazolo[3,4-c]pyridazin-3-one",288.10111102,C17H12N4O,"InChI=1S/C17H12N4O/c22-17-14-13(11-7-3-1-4-8-11)15(12-9-5-2-6-10-12)18-19-16(14)20-21-17/h1-10H,(H2,19,20,21,22)",UIHDHURJKAPXSN-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=C3C(=NN=C2C4=CC=CC=C4)NNC3=O
FT_1.223_365.19704,"4-[2-(2,3-Dihydroxy-5,6,8a-trimethyloctahydro-2H-spiro[naphthalene-1,2'-oxiran]-5-yl)ethyl]-5-hydroxy-2(5H)-furanone",C20H30O6,L2.1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_1.268_325.18447,4-Dodecylbenzenesulfonic acid,C18H30O3S,L2.1,no,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzenesulfonic acids and derivatives,NA,8485,p-Dodecylbenzenesulfonic acid,326.19156599,C18H30O3S,"InChI=1S/C18H30O3S/c1-2-3-4-5-6-7-8-9-10-11-12-17-13-15-18(16-14-17)22(19,20)21/h13-16H,2-12H2,1H3,(H,19,20,21)",KWXICGTUELOLSQ-UHFFFAOYSA-N,CCCCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)O
FT_1.142_179.03495,4-Hydroxyphenylpyruvic acid,C9H8O4,L2.1,no,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylpyruvic acid derivatives,NA,979,4-Hydroxyphenylpyruvic Acid,180.04225873,C9H8O4,"InChI=1S/C9H8O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,10H,5H2,(H,12,13)",KKADPXVIOXHVKN-UHFFFAOYSA-N,C1=CC(=CC=C1CC(=O)C(=O)O)O
FT_1.266_175.03993,4-Methylumbelliferone,C10H8O3,L2.1,no,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,Hydroxycoumarins,7-hydroxycoumarins,5280567,4-Methylumbelliferone,176.047344113,C10H8O3,"InChI=1S/C10H8O3/c1-6-4-10(12)13-9-5-7(11)2-3-8(6)9/h2-5,11H,1H3",HSHNITRMYYLLCV-UHFFFAOYSA-N,CC1=CC(=O)OC2=C1C=CC(=C2)O
FT_1.687_175.03995,4-Methylumbelliferone,C10H8O3,L2.1,no,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,Hydroxycoumarins,7-hydroxycoumarins,5280567,4-Methylumbelliferone,176.047344113,C10H8O3,"InChI=1S/C10H8O3/c1-6-4-10(12)13-9-5-7(11)2-3-8(6)9/h2-5,11H,1H3",HSHNITRMYYLLCV-UHFFFAOYSA-N,CC1=CC(=O)OC2=C1C=CC(=C2)O
FT_2.545_175.04000,4-Methylumbelliferone,C10H8O3,L2.1,no,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,Hydroxycoumarins,7-hydroxycoumarins,5280567,4-Methylumbelliferone,176.047344113,C10H8O3,"InChI=1S/C10H8O3/c1-6-4-10(12)13-9-5-7(11)2-3-8(6)9/h2-5,11H,1H3",HSHNITRMYYLLCV-UHFFFAOYSA-N,CC1=CC(=O)OC2=C1C=CC(=C2)O
FT_1.167_347.11376,"4,4(5')-dihydroxydibenzo-15-crown-5",C18H20O7,L2.1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_1.236_191.03498,"5,7-Dihydroxy-4-methylcoumarin",C10H8O4,L2.1,no,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,Hydroxycoumarins,7-hydroxycoumarins,5354284,"5,7-Dihydroxy-4-methylcoumarin",192.04225873,C10H8O4,"InChI=1S/C10H8O4/c1-5-2-9(13)14-8-4-6(11)3-7(12)10(5)8/h2-4,11-12H,1H3",QNVWGEJMXOQQPM-UHFFFAOYSA-N,CC1=CC(=O)OC2=CC(=CC(=C12)O)O
FT_1.321_191.03501,"5,7-Dihydroxy-4-methylcoumarin",C10H8O4,L2.1,no,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,Hydroxycoumarins,7-hydroxycoumarins,5354284,"5,7-Dihydroxy-4-methylcoumarin",192.04225873,C10H8O4,"InChI=1S/C10H8O4/c1-5-2-9(13)14-8-4-6(11)3-7(12)10(5)8/h2-4,11-12H,1H3",QNVWGEJMXOQQPM-UHFFFAOYSA-N,CC1=CC(=O)OC2=CC(=CC(=C12)O)O
FT_1.468_251.05608,Triacetylphloroglucinol,C12H12O6,L2.2,no,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Ketones,824901,Triacetylphloroglucinol,252.0633881,C12H12O6,"InChI=1S/C12H12O6/c1-4(13)7-10(16)8(5(2)14)12(18)9(6(3)15)11(7)17/h16-18H,1-3H3",YOQHLDOEJYEQRA-UHFFFAOYSA-N,CC(=O)C1=C(C(=C(C(=C1O)C(=O)C)O)C(=O)C)O
FT_2.041_137.03571,5-Aminonicotinic acid,C6H6N2O2,L2.1,no,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Pyridinecarboxylic acids,354316,5-Aminonicotinic Acid,138.042927438,C6H6N2O2,"InChI=1S/C6H6N2O2/c7-5-1-4(6(9)10)2-8-3-5/h1-3H,7H2,(H,9,10)",BYIORJAACCWFPU-UHFFFAOYSA-N,C1=C(C=NC=C1N)C(=O)O
FT_3.216_137.03571,urocanate,C6H6N2O2,L2.2,no,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles,Substituted imidazoles,736715,Urocanic Acid,138.042927438,C6H6N2O2,"InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)/b2-1+",LOIYMIARKYCTBW-OWOJBTEDSA-N,C1=C(NC=N1)C=CC(=O)O
FT_1.365_251.09250,"6-Amino-3-methyl-4-phenyl-1,4-dihydropyrano[2,3-c]pyrazole-5-carbonitrile",C14H12N4O,L2.1,no,Organic compounds,Benzenoids,Benzene and substituted derivatives,NA,NA,600131,"6-Amino-3-methyl-4-phenyl-1,4-dihydropyrano[2,3-c]pyrazole-5-carbonitrile",252.10111102,C14H12N4O,"InChI=1S/C14H12N4O/c1-8-11-12(9-5-3-2-4-6-9)10(7-15)13(16)19-14(11)18-17-8/h2-6,12H,16H2,1H3,(H,17,18)",XOPHPVPLGMSODQ-UHFFFAOYSA-N,CC1=C2C(C(=C(OC2=NN1)N)C#N)C3=CC=CC=C3
FT_1.525_251.09253,"6-Amino-3-methyl-4-phenyl-1,4-dihydropyrano[2,3-c]pyrazole-5-carbonitrile",C14H12N4O,L2.1,no,Organic compounds,Benzenoids,Benzene and substituted derivatives,NA,NA,600131,"6-Amino-3-methyl-4-phenyl-1,4-dihydropyrano[2,3-c]pyrazole-5-carbonitrile",252.10111102,C14H12N4O,"InChI=1S/C14H12N4O/c1-8-11-12(9-5-3-2-4-6-9)10(7-15)13(16)19-14(11)18-17-8/h2-6,12H,16H2,1H3,(H,17,18)",XOPHPVPLGMSODQ-UHFFFAOYSA-N,CC1=C2C(C(=C(OC2=NN1)N)C#N)C3=CC=CC=C3
FT_1.628_251.09246,NP-001608,C13H16O5,L2.1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_1.143_397.12968,pongachalcone II,C21H20O5,L2.2,no,Organic compounds,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",Chalcones and dihydrochalcones,2'-Hydroxychalcones,10712965,Pongachalcone II,352.13107373,C21H20O5,"InChI=1S/C21H20O5/c1-21(2)11-10-15-18(26-21)9-6-14(20(15)24)16(22)7-4-13-5-8-17(23)19(12-13)25-3/h4-12,23-24H,1-3H3/b7-4+",WNUBZQVPFKTBOZ-QPJJXVBHSA-N,CC1(C=CC2=C(O1)C=CC(=C2O)C(=O)C=CC3=CC(=C(C=C3)O)OC)C
FT_1.223_397.12956,"(2E)-7-methyl-6-(2-oxopropoxy)-2-[(3,4,5-trimethoxyphenyl)methylidene]-1-benzofuran-3-one",C22H22O7,L2.2,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_2.030_187.09752,Azelaic acid,C9H16O4,L2.1,no,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,2266,Azelaic Acid,188.10485899,C9H16O4,"InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)",BDJRBEYXGGNYIS-UHFFFAOYSA-N,C(CCCC(=O)O)CCCC(=O)O
FT_2.136_187.09750,Azelaic acid,C9H16O4,L2.1,no,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,2266,Azelaic Acid,188.10485899,C9H16O4,"InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)",BDJRBEYXGGNYIS-UHFFFAOYSA-N,C(CCCC(=O)O)CCCC(=O)O
FT_11.355_259.01294,d-Galactopyranose-2-sulfate,C6H12O9S,L2.2,no,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,10192839,GlyTouCan:G07350UZ,260.02020313,C6H12O9S,"InChI=1S/C6H12O9S/c7-1-2-3(8)4(9)5(6(10)14-2)15-16(11,12)13/h2-10H,1H2,(H,11,12,13)/t2-,3+,4+,5-,6?/m1/s1",MOGKHCGKIJXABF-SVZMEOIVSA-N,C(C1C(C(C(C(O1)O)OS(=O)(=O)O)O)O)O
FT_12.284_259.01291,d-Galactopyranose-2-sulfate,C6H12O9S,L2.2,no,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,10192839,GlyTouCan:G07350UZ,260.02020313,C6H12O9S,"InChI=1S/C6H12O9S/c7-1-2-3(8)4(9)5(6(10)14-2)15-16(11,12)13/h2-10H,1H2,(H,11,12,13)/t2-,3+,4+,5-,6?/m1/s1",MOGKHCGKIJXABF-SVZMEOIVSA-N,C(C1C(C(C(C(O1)O)OS(=O)(=O)O)O)O)O
FT_1.037_437.08811,4-hydroxytetracenomycin A2,C23H18O9,L2.2,no,Organic compounds,Benzenoids,Naphthacenes,Tetracenequinones,NA,122706552,4-hydroxytetracenomycin A2,438.09508215,C23H18O9,"InChI=1S/C23H18O9/c1-8-14-9(6-12(30-2)15(8)23(29)32-4)5-10-16(21(14)27)22(28)17-11(24)7-13(31-3)20(26)18(17)19(10)25/h5-7,24,26-27H,1-4H3",MCIXGBCAADINCO-UHFFFAOYSA-N,CC1=C(C(=CC2=CC3=C(C(=C12)O)C(=O)C4=C(C3=O)C(=C(C=C4O)OC)O)OC)C(=O)OC
FT_1.183_207.06610,Genipin,C11H14O5,L2.1,no,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Iridoids and derivatives,442424,(+)-Genipin,226.08412354,C11H14O5,"InChI=1S/C11H14O5/c1-15-10(13)8-5-16-11(14)9-6(4-12)2-3-7(8)9/h2,5,7,9,11-12,14H,3-4H2,1H3/t7-,9-,11-/m1/s1",AZKVWQKMDGGDSV-BCMRRPTOSA-N,COC(=O)C1=COC(C2C1CC=C2CO)O
FT_1.237_207.06609,Genipin,C11H14O5,L2.1,no,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Iridoids and derivatives,442424,(+)-Genipin,226.08412354,C11H14O5,"InChI=1S/C11H14O5/c1-15-10(13)8-5-16-11(14)9-6(4-12)2-3-7(8)9/h2,5,7,9,11-12,14H,3-4H2,1H3/t7-,9-,11-/m1/s1",AZKVWQKMDGGDSV-BCMRRPTOSA-N,COC(=O)C1=COC(C2C1CC=C2CO)O
FT_2.740_113.02448,Glutaric anhydride,C5H6O3,L2.1,no,Organic compounds,Organoheterocyclic compounds,Lactones,Delta valerolactones,NA,7940,Glutaric anhydride,114.031694049,C5H6O3,InChI=1S/C5H6O3/c6-4-2-1-3-5(7)8-4/h1-3H2,VANNPISTIUFMLH-UHFFFAOYSA-N,C1CC(=O)OC(=O)C1
FT_1.162_283.06126,Glycitein,C16H12O5,L2.1,no,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflav-2-enes,Isoflavones,5317750,Glycitein,284.06847348,C16H12O5,"InChI=1S/C16H12O5/c1-20-15-6-11-14(7-13(15)18)21-8-12(16(11)19)9-2-4-10(17)5-3-9/h2-8,17-18H,1H3",DXYUAIFZCFRPTH-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O
FT_8.083_282.08449,Guanosine,C10H13N5O5,L2.1,no,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,NA,NA,135398635,Guanosine,283.09166853,C10H13N5O5,"InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1",NYHBQMYGNKIUIF-UUOKFMHZSA-N,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N
FT_13.751_341.10903,alpha-alpha-Trehalose,C12H22O11,L2.1,no,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,7427,Trehalose,342.11621151,C12H22O11,"InChI=1S/C12H22O11/c13-1-3-5(15)7(17)9(19)11(21-3)23-12-10(20)8(18)6(16)4(2-14)22-12/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8+,9-,10-,11-,12-/m1/s1",HDTRYLNUVZCQOY-LIZSDCNHSA-N,C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O
FT_1.168_527.15599,F13459,C27H28O11,L2.2,no,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,10119161,F-13459,528.16316171,C27H28O11,"InChI=1S/C27H28O11/c1-12(5-7-15-22(31)21-17(11-36-25(21)32)13(2)23(15)35-4)6-8-19(30)37-24-16-9-14(28)10-18(29)20(16)26(33)38-27(24,3)34/h5,9-10,24,28-29,31,34H,6-8,11H2,1-4H3/b12-5+",HFLIGULWCMOSDN-LFYBBSHMSA-N,CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)OC3C4=C(C(=CC(=C4)O)O)C(=O)OC3(C)O)O
FT_1.148_193.05068,Isoferulic acid,C10H10O4,L2.1,no,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,736186,Isoferulic Acid,194.0579088,C10H10O4,"InChI=1S/C10H10O4/c1-14-9-4-2-7(6-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+",QURCVMIEKCOAJU-HWKANZROSA-N,COC1=C(C=C(C=C1)C=CC(=O)O)O
FT_2.065_193.05064,Isoferulic acid,C10H10O4,L2.1,no,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,736186,Isoferulic Acid,194.0579088,C10H10O4,"InChI=1S/C10H10O4/c1-14-9-4-2-7(6-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+",QURCVMIEKCOAJU-HWKANZROSA-N,COC1=C(C=C(C=C1)C=CC(=O)O)O
FT_1.223_257.08202,Isorhapontigenin,C15H14O4,L2.1,no,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,NA,NA,5318650,Isorhapontigenin,258.08920892,C15H14O4,"InChI=1S/C15H14O4/c1-19-15-8-10(4-5-14(15)18)2-3-11-6-12(16)9-13(17)7-11/h2-9,16-18H,1H3/b3-2+",ANNNBEZJTNCXHY-NSCUHMNNSA-N,COC1=C(C=CC(=C1)C=CC2=CC(=CC(=C2)O)O)O
FT_1.601_165.05563,Methyl 4-hydroxyphenylacetate,C9H10O3,L2.1,no,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,NA,518900,"Benzeneacetic acid, 4-hydroxy-, methyl ester",166.062994177,C9H10O3,"InChI=1S/C9H10O3/c1-12-9(11)6-7-2-4-8(10)5-3-7/h2-5,10H,6H2,1H3",XGDZEDRBLVIUMX-UHFFFAOYSA-N,COC(=O)CC1=CC=C(C=C1)O
FT_3.025_147.06635,Mevalonic acid,C6H12O4,L2.1,no,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Hydroxy fatty acids,449,Mevalonic Acid,148.07355886,C6H12O4,"InChI=1S/C6H12O4/c1-6(10,2-3-7)4-5(8)9/h7,10H,2-4H2,1H3,(H,8,9)",KJTLQQUUPVSXIM-UHFFFAOYSA-N,CC(CCO)(CC(=O)O)O
FT_1.139_405.09830,"2-(1,3-dimethyl-2,6-dioxopurin-7-yl)-N-[(4-sulfamoylphenyl)methyl]acetamide",C16H18N6O5S,L2.2,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_1.434_345.09809,hamilcone,C18H18O7,L2.2,no,Organic compounds,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",Chalcones and dihydrochalcones,2'-Hydroxychalcones,10688914,Hamilcone,346.10525291,C18H18O7,"InChI=1S/C18H18O7/c1-23-15-9-14(22)16(18(25-3)17(15)24-2)12(20)7-5-10-4-6-11(19)13(21)8-10/h4-9,19,21-22H,1-3H3/b7-5+",ZORDSTUSHFTNGS-FNORWQNLSA-N,COC1=C(C(=C(C(=C1)O)C(=O)C=CC2=CC(=C(C=C2)O)O)OC)OC
FT_1.208_469.18705,NP-005088,C26H32O9,L2.1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_14.571_333.05952,poly(galactosylglycerol phosphate),C9H19O11P,L2.2,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_1.609_445.15069,"3-(Acetyloxy)-2-(3,4-dimethoxyphenyl)-7,8-dimethoxy-3,4-dihydro-2H-chromen-4-yl acetate",C23H26O9,L2.2,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_1.046_465.15560,"N-{[(2R,3S,4R,5S)-3,4-Dihydroxy-5-{2-oxo-2-[4-(2-pyridinyl)-1-piperazinyl]ethyl}tetrahydro-2-furanyl]methyl}-2-furamide",C21H26N4O6,L2.1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_1.390_277.07177,[2-[3-(2-Acetyloxyacetyl)phenyl]-2-oxoethyl] acetate,C14H14O6,L2.2,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
