Compound,Kegg,Pathways of compound,InChI-Key,compound,kegg_cid,Common-Name,Engineered?
CPD-10358,C12127,PWY-6029,InChIKey=XMOCLSLCDHWDHP-SWLSCSKDSA-N,Gallocatechin,C12127,"2,3-<i>trans</i>-flavanols biosynthesis",NA
CPD-8191,C09276,PWY-5365,InChIKey=FWYSBEAFFPBAQU-LBPRGKRZSA-N,"(2S)-2-(2-hydroxypropan-2-yl)-2H,3H,7H-furo[3,2-g]chromen-7-one",C09276,linear furanocoumarin biosynthesis,NA
CPD-734,C08491,PWY-735,InChIKey=ZNJFBWYDHIGLCU-HWKXXFMVSA-M,Jasmonic acid,C08491,jasmonic acid biosynthesis,NA
CPD-734,C08491,PWY-6297,InChIKey=ZNJFBWYDHIGLCU-HWKXXFMVSA-M,Jasmonic acid,C08491,tuberonate glucoside biosynthesis,NA
CPD-4122,C16223,PWY-2561,InChIKey=PVEMGMOWXQUWRD-NJAOXFEXSA-N,1-(Carboxymethyl)cyclohexanecarboxylic acid,C16223,medicarpin conjugates interconversion,NA
CPD-61,C03652,PWY-5055,InChIKey=WTIIULQJLZEHGZ-CVYQJGLWSA-L,"(3S)-2-hydroxy-2,3-dimethylbutanedioic acid",C03652,nicotinate degradation III,NA
CPD-61,C03652,PWY-5062,InChIKey=WTIIULQJLZEHGZ-CVYQJGLWSA-L,"(3S)-2-hydroxy-2,3-dimethylbutanedioic acid",C03652,superpathway of nicotinate degradation,NA
CIS-4-HYDROXY-D-PROLINE,C03440,PWY-5159,InChIKey=PMMYEEVYMWASQN-QWWZWVQMSA-N,cis-4-Hydroxy-D-proline,C03440,<i>trans</i>-4-hydroxy-L-proline degradation II,NA
CPD-335,C01089,PWY66-368,InChIKey=WHBMMWSBFZVSSR-GSVOUGTGSA-M,3-hydroxybutyric acid,C01089,ketolysis,NA
CPD-335,C01089,PWY66-367,InChIKey=WHBMMWSBFZVSSR-GSVOUGTGSA-M,3-hydroxybutyric acid,C01089,ketogenesis,NA
MEVALONATE,C00418,PWY-5074,InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-M,Mevalonic acid,C00418,mevalonate degradation,NA
MEVALONATE,C00418,PWY-8125,InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-M,Mevalonic acid,C00418,mevalonate pathway IV (archaea),NA
MEVALONATE,C00418,PWY-7524,InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-M,Mevalonic acid,C00418,mevalonate pathway III (Thermoplasma),NA
MEVALONATE,C00418,PWY-922,InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-M,Mevalonic acid,C00418,mevalonate pathway I (eukaryotes and bacteria),NA
MEVALONATE,C00418,PWY-6146,InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-M,Mevalonic acid,C00418,<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism,NA
MEVALONATE,C00418,PWY66-5,InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-M,Mevalonic acid,C00418,superpathway of cholesterol biosynthesis,NA
MEVALONATE,C00418,PWY-5910,InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-M,Mevalonic acid,C00418,superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),NA
MEVALONATE,C00418,ERGOSTEROL-SYN-PWY,InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-M,Mevalonic acid,C00418,superpathway of ergosterol biosynthesis I,NA
MEVALONATE,C00418,PWY-6174,InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-M,Mevalonic acid,C00418,mevalonate pathway II (haloarchaea),NA
S-ALLANTOIN,C02350,PWY-5691,InChIKey=POJWUDADGALRAB-SFOWXEAESA-N,Allantoin,C02350,urate degradation I (to allantoin),NA
S-ALLANTOIN,C02350,URSIN-PWY,InChIKey=POJWUDADGALRAB-SFOWXEAESA-N,Allantoin,C02350,ureide biosynthesis,NA
S-ALLANTOIN,C02350,PWY-7849,InChIKey=POJWUDADGALRAB-SFOWXEAESA-N,Allantoin,C02350,urate degradation III (to allantoin),NA
S-ALLANTOIN,C02350,PWY-7394,InChIKey=POJWUDADGALRAB-SFOWXEAESA-N,Allantoin,C02350,urate degradation II (to allantoin),NA
S-ALLANTOIN,C02350,PWY-5698,InChIKey=POJWUDADGALRAB-SFOWXEAESA-N,Allantoin,C02350,allantoin degradation to ureidoglycolate II (ammonia producing),NA
S-ALLANTOIN,C02350,PWY-5692,InChIKey=POJWUDADGALRAB-SFOWXEAESA-N,Allantoin,C02350,allantoin degradation to glyoxylate II,NA
S-ALLANTOIN,C02350,PWY-5705,InChIKey=POJWUDADGALRAB-SFOWXEAESA-N,Allantoin,C02350,allantoin degradation to glyoxylate III,NA
S-ALLANTOIN,C02350,PWY0-41,InChIKey=POJWUDADGALRAB-SFOWXEAESA-N,Allantoin,C02350,allantoin degradation IV (anaerobic),NA
S-ALLANTOIN,C02350,PWY-5697,InChIKey=POJWUDADGALRAB-SFOWXEAESA-N,Allantoin,C02350,allantoin degradation to ureidoglycolate I (urea producing),NA
S-ALLANTOIN,C02350,PWY-5694,InChIKey=POJWUDADGALRAB-SFOWXEAESA-N,Allantoin,C02350,allantoin degradation to glyoxylate I,NA
S-ALLANTOIN,C02350,ALLANTOINDEG-PWY,InChIKey=POJWUDADGALRAB-SFOWXEAESA-N,Allantoin,C02350,superpathway of allantoin degradation in yeast,NA
S-ALLANTOIN,C02350,P165-PWY,InChIKey=POJWUDADGALRAB-SFOWXEAESA-N,Allantoin,C02350,superpathway of purines degradation in plants,NA
S-ALLANTOIN,C02350,URDEGR-PWY,InChIKey=POJWUDADGALRAB-SFOWXEAESA-N,Allantoin,C02350,superpathway of allantoin degradation in plants,NA
S-CITRAMALATE,C02614,PWY-5087,InChIKey=XFTRTWQBIOMVPK-YFKPBYRVSA-L,2-Methylsuccinic acid,C02614,L-glutamate degradation VI (to pyruvate),NA
S-CITRAMALATE,C02614,GLUDEG-II-PWY,InChIKey=XFTRTWQBIOMVPK-YFKPBYRVSA-L,2-Methylsuccinic acid,C02614,L-glutamate degradation VII (to butanoate),NA
S-CITRAMALATE,C02614,PWY-5088,InChIKey=XFTRTWQBIOMVPK-YFKPBYRVSA-L,2-Methylsuccinic acid,C02614,L-glutamate degradation VIII (to propanoate),NA
CPD-4261,C09844,PWY-3041,InChIKey=WEEGYLXZBRQIMU-WAAGHKOSSA-N,Eucalyptol,C09844,monoterpene biosynthesis,NA
CPD-4261,C09844,6-HYDROXYCINEOLE-DEGRADATION-PWY,InChIKey=WEEGYLXZBRQIMU-WAAGHKOSSA-N,Eucalyptol,C09844,"1,8-cineole degradation",NA
CPD-13086,C14829,PWY-8395,InChIKey=CQSLTKIXAJTQGA-FLIBITNWSA-M,12(13)-DiHOME,C14829,linoleate metabolites biosynthesis,NA
CPD-13086,C14829,PWY-6710,InChIKey=CQSLTKIXAJTQGA-FLIBITNWSA-M,12(13)-DiHOME,C14829,poly-hydroxy fatty acids biosynthesis,NA
16-HYDROXYPALMITATE,C18218,PWY-1121,InChIKey=UGAGPNKCDRTDHP-UHFFFAOYSA-M,16-Hydroxyhexadecanoic acid,C18218,suberin monomers biosynthesis,NA
16-HYDROXYPALMITATE,C18218,PWY-6733,InChIKey=UGAGPNKCDRTDHP-UHFFFAOYSA-M,16-Hydroxyhexadecanoic acid,C18218,sporopollenin precursors biosynthesis,NA
16-HYDROXYPALMITATE,C18218,PWY-321,InChIKey=UGAGPNKCDRTDHP-UHFFFAOYSA-M,16-Hydroxyhexadecanoic acid,C18218,cutin biosynthesis,NA
16-HYDROXYPALMITATE,C18218,PWY-7120,InChIKey=UGAGPNKCDRTDHP-UHFFFAOYSA-M,16-Hydroxyhexadecanoic acid,C18218,esterified suberin biosynthesis,NA
DEOXYADENOSINE,C00559,PWY-7179-1,InChIKey=OLXZPDWKRNYJJZ-RRKCRQDMSA-N,2'-Deoxyadenosine,C00559,purine deoxyribonucleosides degradation II,NA
DEOXYADENOSINE,C00559,PWY-7179,InChIKey=OLXZPDWKRNYJJZ-RRKCRQDMSA-N,2'-Deoxyadenosine,C00559,purine deoxyribonucleosides degradation I,NA
DEOXYADENOSINE,C00559,PWY0-1297,InChIKey=OLXZPDWKRNYJJZ-RRKCRQDMSA-N,2'-Deoxyadenosine,C00559,superpathway of purine deoxyribonucleosides degradation,NA
DEOXYADENOSINE,C00559,PWY-7224,InChIKey=OLXZPDWKRNYJJZ-RRKCRQDMSA-N,2'-Deoxyadenosine,C00559,purine deoxyribonucleosides salvage,NA
DEOXYCYTIDINE,C00881,PWY-7181,InChIKey=CKTSBUTUHBMZGZ-SHYZEUOFSA-N,2'-Deoxycytidine,C00881,pyrimidine deoxyribonucleosides degradation,NA
DEOXYCYTIDINE,C00881,PWY0-1298,InChIKey=CKTSBUTUHBMZGZ-SHYZEUOFSA-N,2'-Deoxycytidine,C00881,superpathway of pyrimidine deoxyribonucleosides degradation,NA
DEOXYCYTIDINE,C00881,PWY-7199,InChIKey=CKTSBUTUHBMZGZ-SHYZEUOFSA-N,2'-Deoxycytidine,C00881,pyrimidine deoxyribonucleosides salvage,NA
DEOXYCYTIDINE,C00881,PWY-7200,InChIKey=CKTSBUTUHBMZGZ-SHYZEUOFSA-N,2'-Deoxycytidine,C00881,superpathway of pyrimidine deoxyribonucleoside salvage,NA
DEOXYGUANOSINE,C00330,PWY-7179-1,InChIKey=YKBGVTZYEHREMT-KVQBGUIXSA-N,2-Deoxyguanosine,C00330,purine deoxyribonucleosides degradation II,NA
DEOXYGUANOSINE,C00330,PWY-7179,InChIKey=YKBGVTZYEHREMT-KVQBGUIXSA-N,2-Deoxyguanosine,C00330,purine deoxyribonucleosides degradation I,NA
DEOXYGUANOSINE,C00330,PWY0-1297,InChIKey=YKBGVTZYEHREMT-KVQBGUIXSA-N,2-Deoxyguanosine,C00330,superpathway of purine deoxyribonucleosides degradation,NA
DEOXYGUANOSINE,C00330,PWY-7224,InChIKey=YKBGVTZYEHREMT-KVQBGUIXSA-N,2-Deoxyguanosine,C00330,purine deoxyribonucleosides salvage,NA
DEOXYINOSINE,C05512,PWY-7179-1,InChIKey=VGONTNSXDCQUGY-RRKCRQDMSA-N,2'-Deoxyinosine,C05512,purine deoxyribonucleosides degradation II,NA
DEOXYINOSINE,C05512,PWY-7179,InChIKey=VGONTNSXDCQUGY-RRKCRQDMSA-N,2'-Deoxyinosine,C05512,purine deoxyribonucleosides degradation I,NA
DEOXYINOSINE,C05512,PWY0-1297,InChIKey=VGONTNSXDCQUGY-RRKCRQDMSA-N,2'-Deoxyinosine,C05512,superpathway of purine deoxyribonucleosides degradation,NA
CPD-14126,C17582,PWY-7014,InChIKey=ARLIVUJSSKFVPL-JPYLPOILSA-P,2'-N-Acetylparomamine,C17582,paromamine biosynthesis I (from glucose 6-phosphate),NA
CPD-14126,C17582,PWY-7021,InChIKey=ARLIVUJSSKFVPL-JPYLPOILSA-P,2'-N-Acetylparomamine,C17582,superpathway of neomycin biosynthesis,NA
CPD-14126,C17582,PWY-7000,InChIKey=ARLIVUJSSKFVPL-JPYLPOILSA-P,2'-N-Acetylparomamine,C17582,kanamycin biosynthesis,NA
CPD-14126,C17582,PWY-7022,InChIKey=ARLIVUJSSKFVPL-JPYLPOILSA-P,2'-N-Acetylparomamine,C17582,paromamine biosynthesis II (from glucose 6-phosphate),NA
CPD-14126,C17582,PWY-7020,InChIKey=ARLIVUJSSKFVPL-JPYLPOILSA-P,2'-N-Acetylparomamine,C17582,superpathway of butirocin biosynthesis (from glucose 6-phosphate),NA
CPD-10637,C12835,PWY-6094,InChIKey=PLPVRWUZGSFJJB-OWOJBTEDSA-L,"2,5-Dichloro-4-oxohex-2-enedioate",C12835,"3,4,6-trichlorocatechol degradation",NA
CPD-19014,C21297,PWY-7779,InChIKey=BWLBGMIXKSTLSX-UHFFFAOYSA-M,2-Methyllactic acid,C21297,methyl <i>tert</i>-butyl ether degradation,NA
CPD-19014,C21297,PWY-7778,InChIKey=BWLBGMIXKSTLSX-UHFFFAOYSA-M,2-Methyllactic acid,C21297,2-methylpropene degradation,NA
2-O-ALPHA-MANNOSYL-D-GLYCERATE,C11544,PWY-5656,InChIKey=DDXCFDOPXBPUJC-SAYMMRJXSA-M,2-O-alpha-mannosyl-D-glycerate,C11544,mannosylglycerate biosynthesis I,NA
2-O-ALPHA-MANNOSYL-D-GLYCERATE,C11544,PWY-5658,InChIKey=DDXCFDOPXBPUJC-SAYMMRJXSA-M,2-O-alpha-mannosyl-D-glycerate,C11544,mannosylglycerate biosynthesis II,NA
CPD-16663,C20985,PWY-7746,InChIKey=WVFKPISWLUJJIJ-LIZSDCNHSA-M,2-sulfotrehalose,C20985,mycobacterial sulfolipid biosynthesis,NA
CPD-16663,C20985,PWY-7746,InChIKey=WVFKPISWLUJJIJ-LIZSDCNHSA-M,Trehalose 2-sulfate,C20985,mycobacterial sulfolipid biosynthesis,NA
O-SUCCINYLBENZOATE,C02730,PWY-5837,InChIKey=YIVWQNVQRXFZJB-UHFFFAOYSA-L,2-Succinylbenzoate,C02730,"1,4-dihydroxy-2-naphthoate biosynthesis",NA
O-SUCCINYLBENZOATE,C02730,PWY-8538,InChIKey=YIVWQNVQRXFZJB-UHFFFAOYSA-L,2-Succinylbenzoate,C02730,superpathway of menaquinol biosynthesis (generic),NA
O-SUCCINYLBENZOATE,C02730,ALL-CHORISMATE-PWY,InChIKey=YIVWQNVQRXFZJB-UHFFFAOYSA-L,2-Succinylbenzoate,C02730,superpathway of chorismate metabolism,NA
O-SUCCINYLBENZOATE,C02730,PWY-5863,InChIKey=YIVWQNVQRXFZJB-UHFFFAOYSA-L,2-Succinylbenzoate,C02730,superpathway of phylloquinol biosynthesis,NA
O-SUCCINYLBENZOATE,C02730,PWY-5861,InChIKey=YIVWQNVQRXFZJB-UHFFFAOYSA-L,2-Succinylbenzoate,C02730,superpathway of demethylmenaquinol-8 biosynthesis I,NA
O-SUCCINYLBENZOATE,C02730,PWY-5899,InChIKey=YIVWQNVQRXFZJB-UHFFFAOYSA-L,2-Succinylbenzoate,C02730,superpathway of menaquinol-13 biosynthesis,NA
O-SUCCINYLBENZOATE,C02730,PWY-5898,InChIKey=YIVWQNVQRXFZJB-UHFFFAOYSA-L,2-Succinylbenzoate,C02730,superpathway of menaquinol-12 biosynthesis,NA
O-SUCCINYLBENZOATE,C02730,PWY-5897,InChIKey=YIVWQNVQRXFZJB-UHFFFAOYSA-L,2-Succinylbenzoate,C02730,superpathway of menaquinol-11 biosynthesis,NA
O-SUCCINYLBENZOATE,C02730,PWY-5896,InChIKey=YIVWQNVQRXFZJB-UHFFFAOYSA-L,2-Succinylbenzoate,C02730,superpathway of menaquinol-10 biosynthesis,NA
O-SUCCINYLBENZOATE,C02730,PWY-5838,InChIKey=YIVWQNVQRXFZJB-UHFFFAOYSA-L,2-Succinylbenzoate,C02730,superpathway of menaquinol-8 biosynthesis I,NA
O-SUCCINYLBENZOATE,C02730,PWY-5862,InChIKey=YIVWQNVQRXFZJB-UHFFFAOYSA-L,2-Succinylbenzoate,C02730,superpathway of demethylmenaquinol-9 biosynthesis,NA
O-SUCCINYLBENZOATE,C02730,PWY-5860,InChIKey=YIVWQNVQRXFZJB-UHFFFAOYSA-L,2-Succinylbenzoate,C02730,superpathway of demethylmenaquinol-6 biosynthesis I,NA
O-SUCCINYLBENZOATE,C02730,PWY-5845,InChIKey=YIVWQNVQRXFZJB-UHFFFAOYSA-L,2-Succinylbenzoate,C02730,superpathway of menaquinol-9 biosynthesis,NA
O-SUCCINYLBENZOATE,C02730,PWY-5840,InChIKey=YIVWQNVQRXFZJB-UHFFFAOYSA-L,2-Succinylbenzoate,C02730,superpathway of menaquinol-7 biosynthesis,NA
O-SUCCINYLBENZOATE,C02730,PWY-5850,InChIKey=YIVWQNVQRXFZJB-UHFFFAOYSA-L,2-Succinylbenzoate,C02730,superpathway of menaquinol-6 biosynthesis,NA
3-HYDROXYPHENYL-PROPIONATE,C11457,HCAMHPDEG-PWY,InChIKey=QVWAEZJXDYOKEH-UHFFFAOYSA-M,3-(3-Hydroxyphenyl)propionic Acid,C11457,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate,NA
3-HYDROXYPHENYL-PROPIONATE,C11457,PWY0-1277,InChIKey=QVWAEZJXDYOKEH-UHFFFAOYSA-M,3-(3-Hydroxyphenyl)propionic Acid,C11457,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation,NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY-5317,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,tropane alkaloids biosynthesis,NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY-7341,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,superpathway of hyoscyamine (atropine) and scopolamine biosynthesis,NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY-7432,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,"L-phenylalanine biosynthesis III (cytosolic, plants)",NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY-5754,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,4-hydroxybenzoate biosynthesis I (eukaryotes),NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY-8016,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,L-tyrosine degradation V (reductive Stickland reaction),NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY-5048,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,rosmarinic acid biosynthesis I,NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY-5071,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,superpathway of rosmarinic acid biosynthesis,NA
P-HYDROXY-PHENYLPYRUVATE,C01179,TYRSYN,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,L-tyrosine biosynthesis I,NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY-6630,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,superpathway of L-tyrosine biosynthesis,NA
P-HYDROXY-PHENYLPYRUVATE,C01179,COMPLETE-ARO-PWY,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,superpathway of aromatic amino acid biosynthesis (from phospho<i>enol</i>pyruvate and D-erythrose 4-phosphate),NA
P-HYDROXY-PHENYLPYRUVATE,C01179,ALL-CHORISMATE-PWY,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,superpathway of chorismate metabolism,NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY-5886,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,3-(4-hydroxyphenyl)pyruvate biosynthesis,NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY-7518,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,atromentin biosynthesis,NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY-8493,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,L-homotyrosine biosynthesis,NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY-7649,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,3-hydroxy-<i>L</i>-homotyrosine biosynthesis,NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY2SK3-2,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,scytonemin biosynthesis,NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY-3581,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,(<i>S</i>)-reticuline biosynthesis I,NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY3O-4108,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,L-tyrosine degradation III,NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY-7514,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,L-tyrosine degradation IV (to 4-methylphenol),NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY-5151,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,L-tyrosine degradation II,NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY-7303,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,4-hydroxy-3-prenylbenzoate biosynthesis,NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY-8369,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,superpathway of novobiocin biosynthesis,NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY-1422,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,vitamin E biosynthesis (tocopherols),NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY-1581,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,plastoquinol-9 biosynthesis I,NA
P-HYDROXY-PHENYLPYRUVATE,C01179,PWY-5864,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,superpathway of plastoquinol biosynthesis,NA
P-HYDROXY-PHENYLPYRUVATE,C01179,TYRFUMCAT-PWY,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,4-Hydroxyphenylpyruvic acid,C01179,L-tyrosine degradation I,NA
CPD-721,C05616,METHYLGALLATE-DEGRADATION-PWY,InChIKey=KWCCUYSXAYTNKA-UHFFFAOYSA-M,3-O-methylgallate,C05616,methylgallate degradation,NA
CPD-721,C05616,PWY-6339,InChIKey=KWCCUYSXAYTNKA-UHFFFAOYSA-M,3-O-methylgallate,C05616,syringate degradation,NA
4-AMINO-BUTYRATE,C00334,PWY-0,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,putrescine degradation III,NA
4-AMINO-BUTYRATE,C00334,PWY-2,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,putrescine degradation IV,NA
4-AMINO-BUTYRATE,C00334,PWY-3,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,putrescine degradation V,NA
4-AMINO-BUTYRATE,C00334,PUTDEG-PWY,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,putrescine degradation I,NA
4-AMINO-BUTYRATE,C00334,PWY-7523,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,L-arginine degradation XII,NA
4-AMINO-BUTYRATE,C00334,PWY-5742,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,L-arginine degradation IX (arginine:pyruvate transaminase pathway),NA
4-AMINO-BUTYRATE,C00334,ARGDEG-IV-PWY,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,L-arginine degradation VIII (arginine oxidase pathway),NA
4-AMINO-BUTYRATE,C00334,ARGDEG-V-PWY,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,L-arginine degradation X (arginine monooxygenase pathway),NA
4-AMINO-BUTYRATE,C00334,PWY0-1221,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,putrescine degradation II,NA
4-AMINO-BUTYRATE,C00334,ORNDEG-PWY,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,superpathway of ornithine degradation,NA
4-AMINO-BUTYRATE,C00334,PWY0-1305,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,L-glutamate degradation IX (via 4-aminobutanoate),NA
4-AMINO-BUTYRATE,C00334,PWY-8543,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,gaburedin biosynthesis,NA
4-AMINO-BUTYRATE,C00334,PWY-8477,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,cyclopamine biosynthesis,NA
4-AMINO-BUTYRATE,C00334,PWY-6473,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,4-aminobutanoate degradation IV,NA
4-AMINO-BUTYRATE,C00334,PWY-5022,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,4-aminobutanoate degradation V,NA
4-AMINO-BUTYRATE,C00334,P181-PWY,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,nicotine degradation I (pyridine pathway),NA
4-AMINO-BUTYRATE,C00334,PWY-6537,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,4-aminobutanoate degradation II,NA
4-AMINO-BUTYRATE,C00334,PWY-8346,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,GABA shunt II,NA
4-AMINO-BUTYRATE,C00334,PWY-6536,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,4-aminobutanoate degradation III,NA
4-AMINO-BUTYRATE,C00334,PWY-6535,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,4-aminobutanoate degradation I,NA
4-AMINO-BUTYRATE,C00334,ORNARGDEG-PWY,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,superpathway of L-arginine and L-ornithine degradation,NA
4-AMINO-BUTYRATE,C00334,ARGDEG-PWY,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",NA
4-AMINO-BUTYRATE,C00334,4AMINOBUTMETAB-PWY,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,superpathway of 4-aminobutanoate degradation to succinate,NA
4-AMINO-BUTYRATE,C00334,GLUDEG-I-PWY,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,GABA shunt I,NA
4-AMINO-BUTYRATE,C00334,PWY66-421,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,γ-Aminobutyric acid,C00334,homocarnosine biosynthesis,NA
CPD-592,C01035,PWY-8532,InChIKey=TUHVEAJXIMEOSA-UHFFFAOYSA-N,4-Guanidinobutyric acid,C01035,lydicamycin biosynthesis,NA
