KEGG_ID,PubChem_CID,query
NA,45782856,"2,4-dihydroxy-3-[(E)-4-hydroxy-3-methyl-5-(1,2,6-trimethyl-3-oxocyclohexyl)pent-2-enyl]-6-methylbenzaldehyde"
NA,20350218,"2,3-Dihydroxypropyl-(2-hydroxyoctyl)-dimethylazanium"
NA,10868332,"2,3,5-Trimethoxy-6-(1-propenyl)-2,5-cyclohexadiene-1,4-dione"
NA,12368943,"2,3,5,7-Tetramethoxynaphthoquinone"
NA,75471,"2,2,6,6-Tetramethyl-4-piperidinol"
NA,237042,2-(Dimethylamino)ethanesulfonic acid
C09492,5281475,Laurenoniolide
NA,2823508,"2-(benzotriazol-1-yl)-N-(2,3-dihydro-1H-inden-2-yl)acetamide"
NA,7083947,2-(7-Methoxy-4-methyl-2-oxochromen-3-yl)acetate
NA,16408498,"2-(7,8-dihydroxy-4-methyl-2-oxo-2H-chromen-3-yl)-N-[(2R)-2-hydroxypropyl]acetamide"
NA,131837021,"2-(4-Hydroxy-3-methylbut-2-en-1-yl)-4-(3-methylbut-2-en-1-yl)benzene-1,3,5-triol"
NA,2749157,2-(3-Quinoxalin-2-ylphenyl)quinoxaline
NA,38358908,"2-(3-Butanoyl-2,6-dihydroxy-4-methoxyphenyl)acetic acid"
NA,16196973,"2-(2-acetyl-3,5-dihydroxyphenyl)acetic acid"
NA,706825,2-(1H-benzo[d]imidazol-2-yl)-3-(4-toluidino)acrylonitrile
NA,728388,2-(1-Benzofuran-2-yl)-1-(5-ethyl-2-hydroxy-4-methoxyphenyl)ethanone
NA,3145052,"2-(1,3-dimethyl-2,6-dioxopurin-7-yl)-N-[(4-sulfamoylphenyl)methyl]acetamide"
NA,524198,1-Isopropyl-4-methylenebicyclo[3.1.0]hex-2-ene
NA,11715770,"1H-2-Benzopyran-1-one, 6,7,8-trimethoxy-3-methyl-"
NA,163085755,"1-ethyl-4b,8,8-trimethyl-10-oxo-6,7,8a,9-tetrahydro-5H-phenanthrene-2-carboxylic acid"
C14861,15146,Methyl 3-hydroxybutyrate
NA,9422045,"1-Allyl-3-[(2S,11aS)-5,11-dioxo-2,3,5,10,11,11a-hexahydro-1H-pyrrolo[2,1-c][1,4]benzodiazepin-2-yl]urea"
NA,11805727,1-Acetoxy-2-methylnaphthalene
NA,16061098,19(R)-Hydroxy prostaglandin A2
NA,536551,15-Acetyl-4-deoxynivalenol
NA,132076415,"14,16,20-Trihydroxy-2,5-dimethyl-8-propan-2-yl-18,22-dioxahexacyclo[17.2.1.02,10.05,9.013,21.016,20]docosa-8,13-dien-15-one"
C12245,443733,"Methyl 5-(but-3-en-1-yl)amino-1,3,4-oxadiazole-2-carboxylate"
NA,139586947,"13-hydroxy-15-methoxy-3-methyl-3,4,5,6,9,10-hexahydro-1H-benzo(c)(1)oxacyclododecine-1,7(8H)-dione"
NA,5312738,10-HDA
NA,100942782,10-(4-Sulfophenyl) decanoic acid
NA,89041522,1-[Hydroxy-(2-hydroxy-3-methoxypropoxy)phosphoryl]oxyethyl-trimethylazanium
NA,45360029,"1-[3-Hydroxy-2-(2-hydroxy-2-propanyl)-2,3-dihydro-1-benzofuran-5-yl]ethanone"
NA,20837733,"1-[(4aR)-4a,8-dimethyl-4,5,6,7-tetrahydro-3H-naphthalen-2-yl]ethanone"
NA,60189832,"1-[(1R)-1-(hydroxymethyl)-7-methoxy-9-methyl-1'-(pyridin-4-ylmethyl)-2-spiro[1,3-dihydropyrido[3,4-b]indole-4,4'-piperidine]yl]-2-(4-morpholinyl)ethanone"
NA,75411985,"1,5,8-Trihydroxy-9-oxo-9H-xanthen-3-yl beta-D-glucopyranoside"
NA,88562,"1,4-Naphthalenedione, 2,3,6-trimethyl-"
NA,318242,"1,4-Dimethyl-2,3,5-triacetoxybenzene"
NA,14632997,"1,4-dihydroxy-1,4-dimethyl-7-(propan-2-ylidene)-decahydroazulen-6-one"
NA,20744630,"1,4a,7-Trimethyl-2,3,4,4b,5,6,7,9,10,10a-decahydrophenanthrene-1-carboxylic acid"
NA,14083575,"1,4,9-Cadinatriene"
NA,5377914,"1,3-Dihydroxy-6-methoxy-8-methyl-9-xanthenone"
NA,2758026,"1,3-Diacetyl-4,6-dimethoxybenzene"
NA,2748026,"1,3-Benzenedicarboxaldehyde, 4,6-dihydroxy-"
NA,5367382,"1,3,6-Octatriene"
NA,140223,"1,2-Dimethyl-1,4-cyclohexadiene"
NA,62629,"1,2-Diglycidyl phthalate"
NA,138163,"1,2,3,4-Tetramethyl-1,3-cyclopentadiene"
NA,120804,1-(o-Methoxybenzyl)-2-oxocyclohexanepropionic acid
NA,2758026,"1-(5-Acetyl-2,4-dimethoxyphenyl)ethanone"
NA,90903158,"1-(5-Acetyl-2,4-dihydroxyphenyl)-3-methylbutan-1-one"
NA,12838731,"1-(4-Hydroxy-2-prop-1-en-2-yl-2,3-dihydro-1-benzofuran-5-yl)ethanone"
NA,2775170,"1-(3-Acetyl-2,4-dihydroxy-6-methoxyphenyl)ethan-1-one"
NA,104301,"1-(2-Hydroxyethyl)-2,2,6,6-tetramethyl-4-hydroxypiperidine"
NA,365039,"1-(2-Hydroxy-4,6-dimethoxyphenyl)-1,3-butanedione"
NA,344492,"1-(2-Hydroxy-3,4,6-trimethoxyphenyl)ethanone"
NA,2749722,"1-(2,4-Dimethoxyphenyl)butane-1,3-dione"
NA,45359610,"1-(2,4-dihydroxyphenyl)-2-(3,5-dimethoxyphenyl)propan-1-one"
NA,74959453,"1-(2,4-Dihydroxy-6-methoxyphenyl)but-2-en-1-one"
NA,24721544,"1-(2,4,6-Trihydroxyphenyl)-3-(3,4,5-trimethoxyphenyl)propan-1-one"
NA,24721544,"1-(2,4,6-Trihydroxyphenyl)-3-(3,4,5-trimethoxyphenyl)-1-propanone"
NA,12820,"1-(2,3-Dihydroxy-4-methoxyphenyl)ethanone"
NA,162923461,"1-(2,3,4,6-tetramethoxyphenyl)pent-2-en-1-one"
NA,177040,"1-(2,2-Dimethylchromen-6-yl)ethanone"
NA,137636387,"[4-[(2R,3S)-4-(4-acetyloxy-3-methoxyphenyl)-2,3-dimethylbutyl]-2-methoxyphenyl] acetate"
NA,3394962,"[3-Acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl] (3,4,5,6-tetrahydroxyoxan-2-yl)methyl hydrogen phosphate"
NA,431999,"[3,3,7,9-Tetramethyl-6-(2-methylbut-2-enoyloxy)-11-oxo-4-tricyclo[5.4.0.02,8]undec-9-enyl] 2-methylbut-2-enoate"
NA,2749751,[2-[3-(2-Acetyloxyacetyl)phenyl]-2-oxoethyl] acetate
NA,129671785,[2-(Carboxymethyl)-2-hydroxyhexyl]-trimethylazanium
NA,77855,"[1,1'-Biphenyl]-2,3',4-triol"
NA,10850064,"[(E)-3-(3,4-dimethoxyphenyl)prop-2-enyl] (Z)-2-methylbut-2-enoate"
NA,15551282,"[(3aS,4R,5R,6S,6aR,8R,9bS)-5,6,8-trihydroxy-6,9-dimethyl-3-methylidene-2-oxo-4,5,6a,7,8,9b-hexahydro-3aH-azuleno[4,5-b]furan-4-yl] acetate"
NA,18607958,"[(2S,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)-2-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxolan-2-yl]methyl hydrogen sulfate"
NA,100892185,"[(2R,3R,4aR,7S,8R,8aR)-7'-formyl-3,4'-dihydroxy-6'-(hydroxymethyl)-4,4,7,8a-tetramethylspiro[2,3,4a,5,6,7-hexahydro-1H-naphthalene-8,2'-3H-1-benzofuran]-2-yl] acetate"
NA,129320364,"[(2R,2aS,7R,7aS,7bR)-2,2a,7-trihydroxy-6,6,7b-trimethyl-1,2,4a,5,7,7a-hexahydrocyclobuta[e]inden-3-yl]methyl 2-hydroxy-4-methoxy-6-methylbenzoate"
NA,4272,(Z)-Mycophenolic Acid
NA,131751501,"(Z)-3-[4,5-dihydroxy-2-(2-hydroxypropan-2-yl)-2,3-dihydro-1-benzofuran-7-yl]prop-2-enoic acid"
NA,131751030,"(S)-2,3-Dihydro-6-hydroxy-5-(hydroxyacetyl)-2-isopropenylbenzofuran"
NA,25245604,(R)-rosmarinate
NA,131752049,"(ent-6alpha,7alpha,16alphaH)-6,7,17-Trihydroxy-19-kauranoic acid"
NA,12454901,(E)-4-(4-Methylcyclohex-3-en-1-yl)pent-3-en-2-one
NA,14484652,"(E)-3-[3-[(2E)-3,7-dimethylocta-2,6-dienyl]-4,5-dimethoxyphenyl]prop-2-enoic acid"
C06501,30819,O-Phospho-L-tyrosine
NA,56935752,"(E)-1-(5,7-dihydroxy-2,2-dimethylchromen-6-yl)-3-(4-hydroxyphenyl)prop-2-en-1-one"
NA,6439847,(±)9-HpODE
NA,23928034,"(9aR,9bS)-9a-Hydroxy-6,9-dimethyl-3-methylene-3,3a,4,5,9a,9b-hexahydroazuleno[4,5-b]furan-2,7-dione"
NA,40604,"(7R,8S)-7,8-Dihydroxy-3,7-dimethyl-6-oxo-7,8-dihydro-6H-isochromene-5-carbaldehyde"
NA,44179865,"(7R,8R)-8-(3,4-dimethoxyphenyl)-5,7-dihydroxy-2,2-dimethyl-10-(3-methylbut-2-enyl)-7,8-dihydropyrano[3,2-g]chromen-6-one"
NA,907507,(7-Methoxy-4-methyl-2-oxo-2h-chromen-3-yl)acetic acid
NA,10933277,"(6S)-6-[(1S,2R)-1,2-dihydroxypentyl]-4-methoxy-5,6-dihydro-2H-pyran-2-one"
NA,124222454,"(6R)-2-amino-6-(aminomethyl)-4-oxo-1,2,3,4a,6,7-hexahydropteridine-5-carbaldehyde"
NA,101396959,"(6e,8s,10e,14r)-3,7,11,15-Tetramethylhexadeca-1,6,10-triene-3,8,14,15-tetraol"
NA,122194871,"(5R,8S,9S,10S,14R)-17-acetyl-4,4,8,10,14-pentamethyl-2,5,6,7,9,15-hexahydro-1H-cyclopenta[a]phenanthrene-3,16-dione"
NA,2812702,(5-methyl-3-isoxazolyl)[4-(5-propyl-2-pyrimidinyl)piperazino]methanone
NA,5275344,"(4R,5R)-4,5-dihydroxy-3-methoxy-5-methyl-cyclohex-2-en-1-one"
NA,101683483,"(4aS,10aR,11bR)-4,4,8,11b-tetramethyl-1,2,3,4a,5,7,10a,11-octahydronaphtho[2,1-f][1]benzofuran-6,9-dione"
C04641,440418,poly(galactosylglycerol phosphate)
NA,53240360,"(3S,4S)-3,4,8-trihydroxy-7-(1-hydroxyethyl)-6-methoxy-3,4-dihydro-2H-naphthalen-1-one"
NA,25774975,"(3R,4S)-4,6,8-Trihydroxy-7-methoxy-3-methyl-3,4-dihydro-1H-isochromen-1-one"
NA,163033309,"(3,6,9,9a-tetramethyl-2,7-dioxo-3a,4,5,9b-tetrahydro-3H-azuleno[4,5-b]furan-4-yl) acetate"
NA,440951,"(3,4,5,6,7-Pentahydroxy-2-oxoheptyl) dihydrogen phosphate"
C10378,6426709,Prolylglycine
NA,17972094,"(2Z,3E)-2,3-bis[(3,4-dimethoxyphenyl)methylidene]butanedioic acid"
NA,91820502,"(2S,8R)-2-amino-8-hydroxydecanoic acid"
NA,133554160,"(2S)-7-hydroxy-8-(2-hydroxyethyl)-5-methoxy-2-methyl-2,3-dihydrochromen-4-one"
NA,44559036,"(2S)-6-(Gamma,Gamma-Dimethylallyl)-5-Hydroxy-3',4'-Dimethoxy-6'',6''-Dimethylpyran(2'',3'':7,8)Flavanone"
C10464,68184,Rotenalone
NA,59408614,(2S)-6-(ethylamino)-2-[(2-methylpropan-2-yl)oxycarbonylamino]hexanoic acid
NA,123784057,"(2S)-5,7-dimethoxy-8-(3-methylbuta-1,3-dienyl)-2-phenyl-2,3-dihydrochromen-4-one"
NA,73659214,(2S)-2-amino-6-[[(2S)-2-aminopropanoyl]amino]hexanoic acid
NA,5459356,"(2R,3R,4R,5R)-5-[[(2S,3R,4R,5R)-3,4-dihydroxy-5-[[(2S,3R,4R,5R)-3,4,5-trihydroxyoxolan-2-yl]methoxy]oxolan-2-yl]methoxy]-3,4-dihydroxyoxolane-2-carbaldehyde"
NA,12227671,"(2E,6E)-5-hydroxy-7-phenylhepta-2,6-dienoic acid"
NA,1785267,"(2E)-7-methyl-6-(2-oxopropoxy)-2-[(3,4,5-trimethoxyphenyl)methylidene]-1-benzofuran-3-one"
NA,135731675,"(2-Amino-6-oxo-3,6-dihydro-9H-purin-9-yl)acetic acid"
NA,7144228,"(2-{(1R,9S)-3-[4-(Methylsulfanyl)phenyl]-6-oxo-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-11-yl}-2-oxoethoxy)acetic acid"
NA,91820467,"(2,6-Dihydroxy-4-methoxyphenyl)-(2,4-dihydroxy-6-methylphenyl)methanone"
NA,57455196,"(2,2,3-Trimethyl-4-oxocyclopentyl)acetic acid"
NA,101417931,"(1Z,5Z)-1,5,10-trimethyl-8-propan-2-ylidenecyclodeca-1,5-diene"
NA,133562191,"(1S,9R,10R)-3,4-dihydroxy-11,11-dimethyl-5-propan-2-yl-16-oxatetracyclo[7.5.2.01,10.02,7]hexadeca-2,4,6-triene-8,15-dione"
C00785,736715,trans-Urocanic Acid
C20985,3035534,Trehalose 2-sulfate
NA,739182,"(1R,4S)-7,7-Dimethyl-2-oxobicyclo[2.2.1]heptane-1-carboxylic acid"
NA,73880643,"(1beta,4alpha,5alpha,6beta,8alpha,10b)-1,10:4,5-Diepoxy-6-hydroxy-7(11)-germacren-12,8-olide"
C19543,11016,Triethylenephosphoramide
NA,4303566,"(16,17-Dimethoxy-12-oxo-6-prop-1-en-2-yl-2,7,20-trioxapentacyclo[11.8.0.03,11.04,8.014,19]henicosa-3,8,10,14,16,18-hexaen-10-yl) acetate"
NA,24066906,"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid"
NA,14839890,"(10,15-Dihydroxy-6,14,18,18,22-pentamethyl-8,19-dioxo-7,13-dioxapentacyclo[12.8.0.03,12.04,9.017,22]docosa-3(12),4(9),10,20-tetraen-5-yl) acetate"
NA,44715406,(+/-)-strobide B
D08673,5666,Viloxazine
NA,2724453,(-)-Corey lactone
