CHEBI_ID,PubChem_CID,query
CHEBI:228492,2812085,2-{[2-(3-cyano-2-pyridinyl)hydrazino]carbonyl}benzoic acid
CHEBI:183468,13213508,4-oxododecanedioic acid
CHEBI:223126,73211861,Saccharonol B
CHEBI:167834,691106,3-(4-Methylbenzoyl)acrylic acid
CHEBI:183333,2739565,methyl 4-methyl-2-oxo-2H-pyran-6-carboxylate
CHEBI:181307,75528932,NP-019992
CHEBI:194295,2817699,N1-(1H-indol-4-yl)cyclohexane-1-carboxamide
CHEBI:137246,21252288,Benzoquinoneacetic acid
CHEBI:182006,56773904,NP-016564
CHEBI:203152,52920647,Pestalotiopyrone H
CHEBI:65981,10243103,Gtri-02
CHEBI:65981,10243103,"7-Acetyl-3,6-dihydroxy-8-methyl-tetralone"
CHEBI:183632,86597497,"4,6,7-Trihydroxycoumarin"
CHEBI:145256,5319502,"6,7-Dihydroxy-4-methylcoumarin"
CHEBI:78688,16547,"1-(3-acetyl-2,4,6-trihydroxyphenyl)ethan-1-one"
CHEBI:137371,69226,5-Formylsalicylic acid
CHEBI:182254,11241847,NP-004713
CHEBI:183334,713937,"4-oxo-4,5,6,7-tetrahydrobenzo[b]furan-3-carboxylic acid"
CHEBI:93172,3083928,"6,7,8-trimethoxy-2H-chromen-2-one"
CHEBI:36773,2537,D-(+)-Camphor
CHEBI:66729,33960,6-Pentyl-2H-pyran-2-one
CHEBI:92544,596344,Sparassol
CHEBI:10073,65188,"8,8-dimethyl-2H,8H-pyrano[3,2-g]chromen-2-one"
CHEBI:169678,5317271,Eugenone
CHEBI:183414,14632997,"1,4-dihydroxy-1,4-dimethyl-7-(propan-2-ylidene)-decahydroazulen-6-one"
CHEBI:133858,44715161,"2,4-Dihydroxy-6-(4-hydroxy-2-oxopentyl)-3-methylbenzaldehyde"
CHEBI:168073,5319500,Cassiachromone
CHEBI:227704,77461064,Sterenin F
CHEBI:6695,334704,"(2S)-2-(2-hydroxypropan-2-yl)-2H,3H,7H-furo[3,2-g]chromen-7-one"
CHEBI:17501,5280698,"1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene"
CHEBI:36390,5280698,"1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene"
CHEBI:167836,5376187,Sorbicillin
CHEBI:67379,5357283,Methyl ferulate
CHEBI:190557,2823508,"2-(benzotriazol-1-yl)-N-(2,3-dihydro-1H-inden-2-yl)acetamide"
CHEBI:182330,23815258,"Cembratetraene-16,2:19,6-diolide"
CHEBI:8306,5281570,"8-Hydroxy-6-methoxy-3,4-dimethylisochromen-1-one"
CHEBI:174211,40604,"(7R,8S)-7,8-Dihydroxy-3,7-dimethyl-6-oxo-7,8-dihydro-6H-isochromene-5-carbaldehyde"
CHEBI:192633,179399,"4-methoxy-9-(2-methylbut-3-en-2-yl)-7H-furo[3,2-g]chromen-7-one"
CHEBI:182932,45359318,NP-008095
CHEBI:68234,4276,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole"
CHEBI:182459,190904,6-(3-hydroxybutan-2-yl)-5-(hydroxymethyl)-4-methoxy-2H-pyran-2-one
CHEBI:94483,1780,Eicosatetraynoic acid
CHEBI:138308,114778,Kahweol
CHEBI:181295,56776388,"5-(4-carboxy-3-methylbutyl)-5,6,8a-trimethyl-3-oxo-3,4,4a,5,6,7,8,8a-octahydronaphthalene-1-carboxylic acid"
CHEBI:175527,131752049,"(ent-6alpha,7alpha,16alphaH)-6,7,17-Trihydroxy-19-kauranoic acid"
CHEBI:207715,132487830,Ochracene D
CHEBI:199563,101876422,Phomopsolidone A
CHEBI:167734,2811005,2-{2-[5-(Ethoxycarbonyl)-2-morpholinoanilino]-2-oxoethoxy}acetic acid
CHEBI:224177,139586543,Territrem E
CHEBI:210585,75411942,NP-019547
CHEBI:174626,11000257,2-Butyl-5-[2-(4-hydroxy-3-methoxyphenyl)ethyl]furan
CHEBI:86136,5312495,Pinolenic acid
CHEBI:181230,53851542,NP-008993
CHEBI:168100,131751030,"(S)-2,3-Dihydro-6-hydroxy-5-(hydroxyacetyl)-2-isopropenylbenzofuran"
CHEBI:223044,146684996,Prenylterphenyllin J
CHEBI:172456,6443694,3-(4-Hydroxy-3-(3-methyl-2-butenyl)phenyl)-2-propenal
CHEBI:11946,5462194,Crotonic acid betaine
CHEBI:17237,5462194,Crotonic acid betaine
CHEBI:183744,2740612,"7-methylpyrimido[4,5-d]pyrimidin-4-amine"
CHEBI:65680,44559036,"(2S)-6-(Gamma,Gamma-Dimethylallyl)-5-Hydroxy-3',4'-Dimethoxy-6'',6''-Dimethylpyran(2'',3'':7,8)Flavanone"
CHEBI:15639,135398659,5-Formimidoyltetrahydrofolic acid
CHEBI:79532,239804,"17beta-Hydroxyandrost-4-ene-3,11-dione propionate"
CHEBI:1848,440894,"(2S,4S)-4-amino-2-hydroxy-2-methylpentanedioic acid"
CHEBI:20384,440894,"(2S,4S)-4-amino-2-hydroxy-2-methylpentanedioic acid"
CHEBI:183670,79256,5-amino-1-phenyl-1H-pyrazole-4-carbonitrile
CHEBI:94405,5666,Viloxazine
CHEBI:134918,18047,Toliprolol
CHEBI:190559,2812702,(5-methyl-3-isoxazolyl)[4-(5-propyl-2-pyrimidinyl)piperazino]methanone
CHEBI:83481,86863,Ritalinic acid
CHEBI:216123,5275344,"(4R,5R)-4,5-dihydroxy-3-methoxy-5-methyl-cyclohex-2-en-1-one"
CHEBI:190667,38361962,"3-(5,7-Dimethoxy-4-oxochromen-2-yl)propanoic acid"
CHEBI:166506,53481648,5-Hydroxytryptophol glucuronide
CHEBI:28063,7237,2-xylene
CHEBI:168124,3083620,3-(1H-imidazol-5-yl)-2-(trimethylazaniumyl)propanoate
CHEBI:174743,44243661,"4-Hydroxy-3,5,4'-trimethoxystilbene"
CHEBI:65141,70678711,alpha-D-GlcNAc-(1->4)-D-GlcA
CHEBI:79727,251869,"3-Hydroxy-estra-1,3,5(10)-trien-16-one"
CHEBI:61041,49852406,2-acetamido-2-deoxy-3-O-(6-O-sulfonato-beta-D-glucosyl)-beta-D-galactose
CHEBI:79757,222846,"1-Methylestra-1,3,5(10),6-tetraene-3,17beta-diol"
CHEBI:31833,443733,"Methyl 5-(but-3-en-1-yl)amino-1,3,4-oxadiazole-2-carboxylate"
CHEBI:168674,85149847,Citbismine C
CHEBI:62464,5288346,O-(3-O-beta-D-galactosyl-N-acetyl-alpha-D-galactosaminyl)-L-serine
CHEBI:73847,7020029,Gln-Glu
CHEBI:15847,5460194,2-O-alpha-mannosyl-D-glycerate
CHEBI:4188,443223,"D-Glycero-D-manno-heptose 1,7-bisphosphate"
