query,ko,name
Adenine,cpd:C20459,tRNA(Ala) adenine; Adenine in tRNA(Ala)
Adenine,cpd:C20482,"(6R)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide; (R)-NADH-hydrate; (R)-NADHX"
Adenine,cpd:C20483,"(6R)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate; (R)-NADPH-hydrate; (R)-NADPHX"
Adenine,cpd:C20647,N1-Methyladenine in rRNA
Adenine,cpd:C20648,Adenine in rRNA
Adenine,cpd:C20751,N6-L-Threonylcarbamoyladenine in tRNA; t6A in tRNA
Adenine,cpd:C20752,2-Methylthio-N6-L-threonylcarbamoyladenine in tRNA; 2-(Methylsulfanyl)-N6-L-threonylcarbamoyladenine in tRNA; ms2t6A in tRNA
Adenine,cpd:C20753,2-Methylthio-N6-dimethylallyladenine in tRNA; 2-Methylthio-N6-isopentenyladenine in tRNA; 2-(Methylsulfanyl)-N6-dimethylallyladenine in tRNA; N6-(3-Methylbut-2-en-1-yl)-2-(methylsulfanyl)adenine in tRNA; 2-(Methylsulfanyl)-N6-prenyladenine in tRNA; ms2i6A in tRNA
Adenine,cpd:C20754,2-Thio-N6-L-threonylcarbamoyladenine in tRNA; 2-Sulfanyl-N6-L-threonylcarbamoyladenine in tRNA
Adenine,cpd:C20755,2-Thio-N6-dimethylallyladenine in tRNA; 2-Sulfanyl-N6-dimethylallyladenine in tRNA; N6-(3-Methylbut-2-en-1-yl)-2-thioadenine in tRNA
Adenine,cpd:C20796,N6-Dimethyladenine in rRNA; rRNA containing N6-dimethyladenine
Adenine,cpd:C21798,Adenine in U6 snRNA; Adenine(43) in U6 snRNA
Adenine,cpd:C21799,N6-Methyladenine in U6 snRNA; N6-Methyladenine(43) in U6 snRNA
Adenine,cpd:C21844,Adenine in mRNA
Adenine,cpd:C21845,N6-Methyladenine in mRNA
Adenine,cpd:C22324,N6-[(2E)-4-Hydroxy-3-methylbut-2-en-1-yl]-2-(methylsulfanyl)adenine in tRNA; ms2io6A in tRNA
Adenine,cpd:C22439,"2-Aminoadenine; 2,6-Diaminopurine"
Adenine,cpd:C22493,3'-NADP+; 3'-Nicotinamide adenine dinucleotide phosphate; Nicotinamide adenine dinucleotide 3'-phosphate
Adenine,cpd:C22499,"8-Hydroxyadenine; 7,8-Dihydro-8-oxoadenine"
Adenine,cpd:C22500,"2,8-Dihydroxyadenine"
Adenine,cpd:C22573,Adenine in double-stranded RNA
Adenine,cpd:C22933,Stemmadenine acetate
Adenine,cpd:C22936,"3,17-Didehydrostemmadenine"
Adenine,cpd:C22937,17-Dehydrostemmadenine
Succinic acid,cpd:C00036,Oxaloacetate; Oxalacetic acid; Oxaloacetic acid; 2-Oxobutanedioic acid; 2-Oxosuccinic acid; keto-Oxaloacetate
Succinic acid,cpd:C00042,Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid
Succinic acid,cpd:C00049,L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp
Succinic acid,cpd:C00490,Itaconate; Itaconic acid; Methylenesuccinic acid
Succinic acid,cpd:C02504,alpha-Isopropylmalate; (2S)-2-Isopropylmalate; (2S)-2-Hydroxy-2-isopropylsuccinic acid; 2-Isopropylmalic acid; 3-Carboxy-3-hydroxy-4-methylpentanoate; 3-Carboxy-3-hydroxyisocaproate; (2S)-2-Isopropylmalic acid
Succinic acid,cpd:C02614,(S)-2-Methylmalate; (S)-2-Methylmalic acid; (S)-Citramalate; (S)-Citramalic acid; (S)-alpha-Hydroxypyrotartaric acid; L-Citramalate; L-Citramalic acid; L-alpha-Hydroxypyrotartaric acid; (2S)-2-Hydroxy-2-methylbutanedioate; (S)-2-Hydroxy-2-methylsuccinic acid
Succinic acid,cpd:C03139,N-Amidino-L-aspartate; N-Amidino-L-aspartic acid; Guanidinosuccinic acid
Succinic acid,cpd:C03406,N-(L-Arginino)succinate; 2-(Nomega-L-Arginino)succinate; L-Argininosuccinate; L-Argininosuccinic acid; L-Arginosuccinic acid
Succinic acid,cpd:C03600,Carboxymethyloxysuccinate; (Carboxymethoxy) succinic acid
Succinic acid,cpd:C03794,"N6-(1,2-Dicarboxyethyl)-AMP; N6-(1,2-Dicarboxyethyl)AMP; Adenylosuccinate; Adenylosuccinic acid"
Succinic acid,cpd:C05379,Oxalosuccinate; Oxalosuccinic acid
Succinic acid,cpd:C07598,"Succimer; meso-2,3-Dimercaptosuccinic acid"
Succinic acid,cpd:C14115,2-Naphtylmethylsuccinic acid; Naphthyl-2-methyl-succinic acid
Succinic acid,cpd:C16657,2-Propylsuccinic acid; 2-PSA
Succinic acid,cpd:C22494,Phenylsuccinate; Phenylsuccinic acid
Uridine,cpd:C00015,UDP; Uridine 5'-diphosphate
Uridine,cpd:C00029,UDP-glucose; UDPglucose; UDP-D-glucose; Uridine diphosphate glucose; UDP-alpha-D-glucose
Uridine,cpd:C00075,UTP; Uridine 5'-triphosphate; Uridine triphosphate
Uridine,cpd:C00105,UMP; Uridylic acid; Uridine monophosphate; Uridine 5'-monophosphate; 5'Uridylic acid; Uridylate
Uridine,cpd:C00299,Uridine
Uridine,cpd:C00365,dUMP; Deoxyuridylic acid; Deoxyuridine monophosphate; Deoxyuridine 5'-phosphate; 2'-Deoxyuridine 5'-phosphate
Uridine,cpd:C00460,dUTP; 2'-Deoxyuridine 5'-triphosphate
Uridine,cpd:C00526,Deoxyuridine; 2-Deoxyuridine; 2'-Deoxyuridine
Uridine,cpd:C00868,tRNA uridine; Uracil in tRNA
Uridine,cpd:C01168,Pseudouridine 5'-phosphate
Uridine,cpd:C01346,dUDP; 2'-Deoxyuridine 5'-diphosphate
Uridine,cpd:C01368,3'-UMP; Uridine 3'-monophosphate; Uridine 3'-phosphate
Uridine,cpd:C01764,tRNA containing uridine at position 54; tRNA UpsiC
Uridine,cpd:C02067,Pseudouridine
Uridine,cpd:C02764,tRNA pseudouridine
Uridine,cpd:C03031,Uridine 2'-phosphate
Uridine,cpd:C03086,5'-Acylphosphouridine
Uridine,cpd:C04242,5-Fluorodeoxyuridine monophosphate
Uridine,cpd:C04510,3-[(3S)-3-Amino-3-carboxypropyl]-uridine in tRNA; tRNA 3-(3-amino-3-carboxypropyl)-uridine; acp3U in tRNA
Uridine,cpd:C06436,5'-Butyrylphosphouridine
Uridine,cpd:C11478,tRNA containing 5-(aminomethyl)-2-thiouridine; tRNA containing nm5s2U
Uridine,cpd:C11632,Polyneuridine aldehyde
Uridine,cpd:C11736,5-Fluorodeoxyuridine; Floxuridine
Uridine,cpd:C12739,5'-Deoxy-5-fluorouridine; Doxifluridine
Uridine,cpd:C16154,UDP-L-Ara4FN; Uridine 5'-diphospho-beta-(4-deoxy-4-formamido-L-arabinose); UDP-4-deoxy-4-formamido-beta-L-arabinopyranose
Uridine,cpd:C16155,UDP-L-Ara4O; UDP-4''-ketopentose; Uridine 5'-diphospho-beta-(L-threo-pentapyranosyl-4''-ulose); UDP-beta-L-threo-pentapyranos-4-ulose; UDP-4-keto-D-xylose
Uridine,cpd:C16633,5-Fluorouridine
Uridine,cpd:C16634,5-Fluorouridine monophosphate
Uridine,cpd:C16745,Spongouridine
Uridine,cpd:C17011,Leonuridine
Uridine,cpd:C17322,tRNA containing 2-thiouridine; tRNA containing s2U
Uridine,cpd:C17323,tRNA containing 5-carboxymethylaminomethyl-2-thiouridine; tRNA containing cmnm5s2U
Uridine,cpd:C21079,5'-Dehydrouridine; Uridine-5'-aldehyde
Uridine,cpd:C21748,5-Fluorouridine diphosphate
Uridine,cpd:C21749,5-Fluorouridine triphosphate
Uridine,cpd:C21750,5-Fluorodeoxyuridine diphosphate
Uridine,cpd:C21751,5-Fluorodeoxyuridine triphosphate
Uridine,cpd:C22266,5-Methylaminomethyl-2-(S-geranyl)thiouridine in tRNA
Uridine,cpd:C22267,5-Methylaminomethyl-2-(Se-phospho)selenouridine in tRNA
Uridine,cpd:C22268,5-Methylaminomethyl-2-selenouridine in tRNA
Uridine,cpd:C22509,"3',5'-Cyclic UMP; Uridine 3',5'-cyclic monophosphate; cUMP"
2'-Deoxyinosine,cpd:C01344,dIDP; 2'-Deoxyinosine-5'-diphosphate; 2'-Deoxyinosine 5'-diphosphate
2'-Deoxyinosine,cpd:C01345,dITP; 2'-Deoxyinosine-5'-triphosphate; 2'-Deoxyinosine 5'-triphosphate
2'-Deoxyinosine,cpd:C05512,Deoxyinosine; 2'-Deoxyinosine
2'-Deoxyinosine,cpd:C06196,2'-Deoxyinosine 5'-phosphate; dIMP
Allantoin,cpd:C01551,Allantoin; 5-Ureidohydantoin; Glyoxyldiureide
Allantoin,cpd:C02348,(R)(-)-Allantoin; (R)-Allantoin
Allantoin,cpd:C02350,(S)-Allantoin; (S)(+)-Allantoin
Allantoin,cpd:C16362,"3,6,8-Trimethylallantoin"
Inosine,cpd:C00081,ITP; Inosine 5'-triphosphate; Inosine triphosphate; Inosine tripolyphosphate
Inosine,cpd:C00104,IDP; Inosine 5'-diphosphate; Inosine diphosphate
Inosine,cpd:C00130,IMP; Inosinic acid; Inosine monophosphate; Inosine 5'-monophosphate; Inosine 5'-phosphate; 5'-Inosinate; 5'-Inosinic acid; 5'-Inosine monophosphate; 5'-IMP
Inosine,cpd:C00294,Inosine
Inosine,cpd:C00943,"3',5'-Cyclic IMP; Inosine 3',5'-cyclic monophosphate"
Inosine,cpd:C01344,dIDP; 2'-Deoxyinosine-5'-diphosphate; 2'-Deoxyinosine 5'-diphosphate
Inosine,cpd:C01345,dITP; 2'-Deoxyinosine-5'-triphosphate; 2'-Deoxyinosine 5'-triphosphate
Inosine,cpd:C01993,5'-Oxoinosine; 5'-Dehydroinosine
Inosine,cpd:C03085,5'-Acylphosphoinosine
Inosine,cpd:C03280,Inosine-5'-carboxylate
Inosine,cpd:C03614,Inosine 5'-tetraphosphate
Inosine,cpd:C04583,"6-Hydroxyl-1,6-dihydropurine ribonucleoside; (6R)-1,6-Dihydroinosine"
Inosine,cpd:C04646,6-Thioinosine-5'-monophosphate; 9-(5-Phospho-1-ribofuranosyl)-6-mercaptopurine
Inosine,cpd:C05512,Deoxyinosine; 2'-Deoxyinosine
Inosine,cpd:C06196,2'-Deoxyinosine 5'-phosphate; dIMP
Inosine,cpd:C06435,5'-Butyrylphosphoinosine; Inosine 5'-phosphobutyrate
Inosine,cpd:C10155,Lentiginosine
