query,ko,name
Guanosine,cpd:C20674,N7-Methylguanosine
Guanosine,cpd:C20862,5'-(N7-Methyl 5'-triphosphoguanosine)-(2'-O-methyl-purine-ribonucleotide)-(2'-O-methyl-ribonucleotide)-[mRNA]
Guanosine,cpd:C21310,"(8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate"
Guanosine,cpd:C22234,8-Oxo-GTP; 8-Oxoguanosine triphosphate
Guanosine,cpd:C22235,8-Oxo-GDP; 8-Oxoguanosine 5'-diphosphate
Guanosine,cpd:C22274,8-Oxo-GMP; 8-Oxoguanosine 5'-phosphate
Guanosine,cpd:C22297,Enolpyruvoyl-2-diphospho-5'-guanosine
Guanosine,cpd:C22298,3-(D-Glyceryl)-diphospho-5'-guanosine; 3-[(R)-Glyceryl]-diphospho-5'-guanosine
Isoferulic acid,cpd:C10470,Isoferulic acid
Mevalonic acid,cpd:C00418,"(R)-Mevalonate; Mevalonic acid; 3,5-Dihydroxy-3-methylvaleric acid; (3R)-3,5-Dihydroxy-3-methylpentanoic acid; (R)-Mevalonic acid"
Mevalonic acid,cpd:C01107,(R)-5-Phosphomevalonate; (R)-5-Phosphomevalonic acid; (R)-Mevalonic acid 5-phosphate
Mevalonic acid,cpd:C01143,(R)-5-Diphosphomevalonate; (R)-5-Diphosphomevalonic acid
Mevalonic acid,cpd:C02104,"(S)-Mevalonate; (S)-Mevalonic acid; (S)-3,5-Dihydroxy-3-methylvaleric acid"
Propyl gallate,cpd:C11155,n-Propyl gallate; Propyl gallate
Tetracycline,cpd:C02811,Anhydrotetracycline
Tetracycline,cpd:C03206,"5a,11a-Dehydrotetracycline; 12-Dehydrotetracycline"
Tetracycline,cpd:C06570,Tetracycline
Tetracycline,cpd:C06571,Chlortetracycline; 7-Chlorotetracycline; Aureomycin
Tetracycline,cpd:C06624,Oxytetracycline; Oxytetracycline anhydrous
Tetracycline,cpd:C06626,4-Ketoanhydrochlortetracycline; 4-Ketoanhydro-7-chlorotetracycline; 4-Oxoanhydrochlortetracycline; 4-Dedimethylamine-4-oxo-anhydro-7-Cl-tetracycline
Tetracycline,cpd:C06627,"4-Keto-anhydrotetracycline; 4-Ketoanhydrotetracycline; 4-Keto-ATC; 4-Dedimethylamino-4-oxo-anhydrotetracycline; 4-De(dimethylamino)-4-oxoanhydrotetracycline; (4aR,12aS)-3,10,11,12a-Tetrahydroxy-6-methyl-1,4,12-trioxo-4a,5-dihydrotetracene-2-carboxamide"
Tetracycline,cpd:C06654,4-Amino-anhydrotetracycline; 4-Amino-ATC; 4-Dedimethyl-6-dehydro-anhydrotetracycline; 4-Amino-4-de(dimethylamino)anhydrotetracycline
Tetracycline,cpd:C12933,Rolitetracycline nitrate
Tetracycline,cpd:C13055,Oxytetracycline hydrochloride; OTC
Tetracycline,cpd:C18296,"5a,11a-Dehydrooxytetracycline"
Tetracycline,cpd:C18297,Anhydrochlortetracycline; Anhydro-7-chlorotetracycline
Tetracycline,cpd:C18298,"5a,11a-Dehydrochlortetracycline; Dehydrochlortetracycline; 5a,11a-Dehydro-7-chlorotetracycline"
Tetracycline,cpd:C18299,4-Aminoanhydrochlortetracycline; 4-Aminoanhydro-7-chlorotetracycline
Tetracycline,cpd:C21391,11a-Hydroxytetracycline
Tetracycline,cpd:C21436,4-Methylamino-4-de(dimethylamino)anhydrotetracycline
Tetracycline,cpd:C21438,11a-Hydroxyoxytetracycline
Tetracycline,cpd:C21439,11a-Hydroxy-7-chlortetracycline
Trinexapac,cpd:C18541,Trinexapac-ethyl
coniferaldehyde,cpd:C02666,Coniferyl aldehyde; Coniferaldehyde; 4-Hydroxy-3-methoxycinnamaldehyde; Ferulaldehyde
