Reaction,Pathways,n_reaction
RXN-7657,PWY-5057,2
RXN-7693,PWY-5076,2
RXN-7693,PWY-6871,2
RXN-5424,PWY-3162,2
RXN-13198,PWY-7013,3
RXN-10911,PWY-6342,12
RXN-10915,PWY-6342,12
RXN-7706,PWY-5082,2
RXN-10781,PWY-6313,6
RXN66-478,PWY66-389,4
RXN-2962,PWY-1882,10
RXN-2962,PWY-1801,3
RXN-17884,PWY-7798,1
PYRIDOXINE-4-DEHYDROGENASE-RXN,PWY-7282,5
PYRIDOXINE-4-DEHYDROGENASE-RXN,PLPSAL-PWY,6
PYRIDOXINE-4-DEHYDROGENASE-RXN,PWY0-845,11
PYRIDOXINE-4-DEHYDROGENASE-RXN,PWY-7204,9
RXN-11965,PWY-5488,4
4-NITROPHENOL-2-MONOOXYGENASE-RXN,PWY-5488,4
RXN-8505,3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,7
RXN-8505,PWY-7431,4
RXN-14988,PWY-7398,7
RXN-14990,PWY-7398,7
IMIDAZOLONEPROPIONASE-RXN,HISDEG-PWY,4
IMIDAZOLONEPROPIONASE-RXN,PWY-5030,6
IMIDAZOLONEPROPIONASE-RXN,HISHP-PWY,3
IMIDAZOLONEPROPIONASE-RXN,PWY-5028,5
DAPASYN-RXN,BIOTIN-BIOSYNTHESIS-PWY,13
DAPASYN-RXN,PWY0-1507,2
RXN0-280,ALKANEMONOX-PWY,2
RXN-1082,PWY-8190,4
RXN-1082,P162-PWY,6
MALEATE-ISOMERASE-RXN,PWY-8085,4
MALEATE-ISOMERASE-RXN,PWY-722,6
MALEATE-ISOMERASE-RXN,PWY-6993,6
MALEATE-ISOMERASE-RXN,PWY-5062,13
MALEATE-ISOMERASE-RXN,PWY-5033,2
MALEATE-ISOMERASE-RXN,PWY-7128,6
RXN-17357,PWY-7750,1
4.3.1.15-RXN,PWY-8615,1
BENZOYLFORMATE-DECARBOXYLASE-RXN,PWY-1501,4
BENZOYLFORMATE-DECARBOXYLASE-RXN,PWY-8161,2
BENZOYLFORMATE-DECARBOXYLASE-RXN,PWY-6954,33
BENZOYLFORMATE-DECARBOXYLASE-RXN,PWY-2504,31
BENZOYLFORMATE-DECARBOXYLASE-RXN,PWY-6957,17
RXN-3945,PWY-8087,2
HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN,PWY-6954,33
