Reaction,Pathways,n_reaction
THIAZOLSYN2-RXN,PWY-6895,8
THIAZOLSYN2-RXN,PWY-6892,5
THRESYN-RXN,PWY-724,12
THRESYN-RXN,PWY0-781,24
THRESYN-RXN,P4-PWY,17
THRESYN-RXN,PWY-3001,11
THRESYN-RXN,HOMOSER-THRESYN-PWY,2
THRESYN-RXN,THRESYN-PWY,6
GALACTURIDYLYLTRANS-RXN,PWY-6317,5
GALACTURIDYLYLTRANS-RXN,PWY-6527,6
RXN-12518,PWY-6837,3
RXN-14576,PWY-7291,2
RXN-15977,PWY-7854,10
RXN-15977,PWY-7574,4
RXN-14796,PWY-7340,7
RXN-10706,PWY-735,7
RXN-17113,PWY-7726,4
RXN-10707,PWY-735,7
RXN-14771,PWY-7337,6
RXN-11026,PWY-5136,4
RXN-11026,PWY-7288,3
RXN-11026,PWY66-391,5
RXN-11026,PWY-561,11
RXN-11026,PWY-7007,3
RXN-14775,PWY-7337,6
RXN-14785,PWY-7338,6
RXN-10696,PWY-735,7
RXN-18461,PWY-7858,6
RXN-14789,PWY-7338,6
RXN-12669,PWY-6920,4
RXN-16134,PWY-7606,4
RXN-13615,PWY-7094,5
RXN-13615,PWY0-1337,29
RXN-13615,PWY-8568,19
RXN-14278,PWY0-1337,29
RXN-14278,PWY-8568,19
RXN-14229,PWY0-1337,29
RXN-14229,PWY-8568,19
RXN-14262,PWY-8568,19
RXN-22997,PWY-8354,5
RXN-21775,PWY-8181,13
RXN-10841,PWY-6861,2
RXN-10841,PWY-6857,3
RXN-15561,PWY-7511,3
LYSDECARBOX-RXN,PWY-8558,1
LYSDECARBOX-RXN,PWY-6381,1
LYSDECARBOX-RXN,PWY-6375,1
LYSDECARBOX-RXN,POLYAMSYN-PWY,7
LYSDECARBOX-RXN,PWY0-461,5
LYSDECARBOX-RXN,PWY-5468,2
LYSDECARBOX-RXN,PWY-6376,1
LYSDECARBOX-RXN,PWY-6328,6
LYSDECARBOX-RXN,PWY-5327,22
LYSDECARBOX-RXN,PWY0-1303,2
LYSDECARBOX-RXN,PWY0-1601,1
LYSDECARBOX-RXN,ARG+POLYAMINE-SYN,16
ARGDECARBOX-RXN,PWY-6305,4
ARGDECARBOX-RXN,ARGDEG-PWY,9
ARGDECARBOX-RXN,ARGDEG-III-PWY,3
ARGDECARBOX-RXN,PWY2PN3-14,1
ARGDECARBOX-RXN,POLYAMSYN-PWY,7
ARGDECARBOX-RXN,PWY-43,3
ARGDECARBOX-RXN,POLYAMINSYN3-PWY,7
ARGDECARBOX-RXN,PWY-40,2
ARGDECARBOX-RXN,PWY0-1299,1
ARGDECARBOX-RXN,PWY0-823,2
ARGDECARBOX-RXN,PWY-6834,2
ARGDECARBOX-RXN,ORNARGDEG-PWY,10
ARGDECARBOX-RXN,ARG+POLYAMINE-SYN,16
RXN-8805,PWY-5534,5
4.2.99.19-RXN,PWY-5534,5
RXN-17583,PWY-7776,5
RXN-17582,PWY-7776,5
GLUTAMINESYN-RXN,PWY-6964,2
GLUTAMINESYN-RXN,PWY-8291,2
GLUTAMINESYN-RXN,PWY-6963,2
GLUTAMINESYN-RXN,PWY-8620,1
GLUTAMINESYN-RXN,PWY-5505,6
GLUTAMINESYN-RXN,AMMASSIM-PWY,2
GLUTAMINESYN-RXN,GLNSYN-PWY,1
GLUTAMINESYN-RXN,PWY-3282,3
GLUTAMINESYN-RXN,PWY-8294,2
GLUTAMINESYN-RXN,PWY-2242,1
GLUTAMINESYN-RXN,ARGSYNBSUB-PWY,10
GLUCONOLACT-RXN,PWY-5530,3
GLUCONOLACT-RXN,DHGLUCONATE-PYR-CAT-PWY,5
GLUCONOLACT-RXN,PWY-7165,4
GLUCONOLACT-RXN,NPGLUCAT-PWY,8
GLUCONOLACT-RXN,GLUCOSE1PMETAB-PWY,5
GLUCONOLACT-RXN,PWY-2221,9
RXN-8783,PWY3DJ-35471,1
RXN-8783,PWY-8142,2
RXN-8342,PWY-6823,6
RXN-18694,PWY-7887,2
2.9.1.1-RXN,PWY0-901,3
DTDPGLUCDEHYDRAT-RXN,PWY-7413,4
DTDPGLUCDEHYDRAT-RXN,PWY-7814,3
DTDPGLUCDEHYDRAT-RXN,PWY-7110,8
DTDPGLUCDEHYDRAT-RXN,OANTIGEN-PWY,10
DTDPGLUCDEHYDRAT-RXN,PWY-6808,4
DTDPGLUCDEHYDRAT-RXN,PWY-7317,9
DTDPGLUCDEHYDRAT-RXN,PWY-7414,3
DTDPGLUCDEHYDRAT-RXN,PWY-8504,4
DTDPGLUCDEHYDRAT-RXN,PWY-7104,2
DTDPGLUCDEHYDRAT-RXN,PWY-7318,2
DTDPGLUCDEHYDRAT-RXN,PWY-6953,2
DTDPGLUCDEHYDRAT-RXN,PWY-7315,4
DTDPGLUCDEHYDRAT-RXN,PWY-7438,4
DTDPGLUCDEHYDRAT-RXN,PWY-6976,2
DTDPGLUCDEHYDRAT-RXN,PWY-7657,3
DTDPGLUCDEHYDRAT-RXN,PWY-8227,7
DTDPGLUCDEHYDRAT-RXN,PWY-6974,3
DTDPGLUCDEHYDRAT-RXN,PWY-6942,6
DTDPGLUCDEHYDRAT-RXN,DTDPRHAMSYN-PWY,4
DTDPGLUCDEHYDRAT-RXN,PWY-6973,3
DTDPGLUCDEHYDRAT-RXN,PWY-7440,2
DTDPGLUCDEHYDRAT-RXN,PWY-7316,4
DTDPGLUCDEHYDRAT-RXN,PWY-7688,2
DTDPGLUCDEHYDRAT-RXN,PWY-6404,24
DTDPGLUCDEHYDRAT-RXN,PWY-6977,11
DTDPGLUCDEHYDRAT-RXN,PWY-8369,4
DTDPGLUCDEHYDRAT-RXN,PWY-8380,3
DTDPGLUCDEHYDRAT-RXN,PWY-7301,3
DTDPGLUCDEHYDRAT-RXN,PWY-7312,2
RXN-21563,PWY-8171,2
F16BDEPHOS-RXN,GLYCOLYSIS,12
F16BDEPHOS-RXN,PWY-5484,11
F16BDEPHOS-RXN,HEXITOLDEGSUPER-PWY,16
F16BDEPHOS-RXN,P461-PWY,19
F16BDEPHOS-RXN,PWY-7218,19
F16BDEPHOS-RXN,P185-PWY,11
F16BDEPHOS-RXN,PWY-7345,18
F16BDEPHOS-RXN,PWY-7124,19
F16BDEPHOS-RXN,PWY-6886,19
F16BDEPHOS-RXN,GLYCOLYSIS-TCA-GLYOX-BYPASS,21
F16BDEPHOS-RXN,SUCSYN-PWY,8
F16BDEPHOS-RXN,GLUCONEO-PWY,13
F16BDEPHOS-RXN,PWY66-399,11
F16BDEPHOS-RXN,CALVIN-PWY,12
F16BDEPHOS-RXN,GLYCOLYSIS-E-D,16
F16BDEPHOS-RXN,P441-PWY,21
F16BDEPHOS-RXN,PHOTOALL-PWY,13
MALONYL-COA-ACP-TRANSACYL-RXN,PWY-5156,40
MALONYL-COA-ACP-TRANSACYL-RXN,PWY-6799,1
MALONYL-COA-ACP-TRANSACYL-RXN,PWY-8012,1
MALONYL-COA-ACP-TRANSACYL-RXN,PWY-6285,50
MALONYL-COA-ACP-TRANSACYL-RXN,PWY-4381,3
MALONYL-COA-ACP-TRANSACYL-RXN,PWY-8582,1
MALONYL-COA-ACP-TRANSACYL-RXN,FASYN-INITIAL-PWY,4
MALONYL-COA-ACP-TRANSACYL-RXN,PWY66-429,2
RXN-20482,PWY-8047,2
RXN-20481,PWY-8047,2
RXN-23752,PWY-8438,1
RXN8J2-162,PWY-8489,1
RXN-20490,PWY-8049,2
RXN-20498,PWY-8049,2
RXN185E-16,PWY185E-1,3
2.3.1.180-RXN,PWY-5156,40
2.3.1.180-RXN,PWY-6285,50
2.3.1.180-RXN,PWY-4381,3
2.3.1.180-RXN,FASYN-INITIAL-PWY,4
2.3.1.180-RXN,PWY1A0-6120,21
RXN-21691,PWY-8175,30
RXN-21681,PWY-8175,30
RXN-16630,PWY-7663,4
RXN-21614,PWY-8173,30
RXN-23642,PWY-8427,2
RXN-21631,PWY-8173,30
RXN-11476,BIOTIN-BIOSYNTHESIS-PWY,13
RXN-11476,PWY-6519,11
RXN-11480,BIOTIN-BIOSYNTHESIS-PWY,13
RXN-11480,PWY-6519,11
RXN-21676,PWY-8175,30
RXN-21686,PWY-8175,30
RXN-21645,PWY-8174,30
RXN-21645,PWY-8525,20
RXN-21635,PWY-8173,30
RXN-21655,PWY-8174,30
RXN-21655,PWY-8525,20
RXN0-2142,PWY-7858,6
RXN0-2142,PWY-6285,50
RXN0-2142,PWY-6284,18
RXN0-2142,PWY0-862,6
RXN-21660,PWY-8174,30
RXN-21660,PWY-8525,20
RXN-21650,PWY-8174,30
RXN-21650,PWY-8525,20
RXN-9528,PWY-8279,28
RXN-9528,PWY-5156,40
RXN-9528,PWY66-430,24
RXN-9528,PWY-6285,50
RXN-9528,PWY-5971,30
RXN-9528,PWY1A0-6120,21
RXN-10655,PWY-6285,50
RXN-10655,PWY-6284,18
RXN-10655,PWY-6282,8
RXN-21696,PWY-8175,30
RXN-9514,PWY-8279,28
RXN-9514,PWY-7388,12
RXN-9514,PWY-5156,40
RXN-9514,PWY66-430,24
RXN-9514,PWY-6285,50
RXN-9514,PWY-5971,30
RXN-9514,PWY1A0-6120,21
RXN-21626,PWY-8173,30
RXN-16622,PWY-7664,14
RXN-9532,PWY-8279,28
RXN-9532,PWY-5156,40
RXN-9532,PWY66-430,24
RXN-9532,PWY-6285,50
RXN-9532,PWY-5971,30
RXN-9532,PWY1A0-6120,21
RXN-9556,PWY-6285,50
RXN-9556,PWY-6284,18
RXN-9556,PWY-5973,4
RXN-21618,PWY-8173,30
RXN-22026,PWY-8203,4
RXN1G-469,PWY-6113,82
RXN1G-469,PWYG-321,51
3-OXOACYL-ACP-REDUCT-RXN,FASYN-ELONG-PWY,5
RXN1G-349,PWY-6113,82
RXN1G-349,PWYG-321,51
RXN-21670,PWY-8174,30
RXN-9540,PWY-8279,28
RXN-9540,PWY-5156,40
RXN-9540,PWY-6113,82
RXN-9540,PWY-6285,50
RXN-9540,PWY-5971,30
RXN-9540,PWYG-321,51
RXN-9524,PWY-8279,28
RXN-9524,PWY-7388,12
RXN-9524,PWY-5156,40
RXN-9524,PWY66-430,24
RXN-9524,PWY-6285,50
RXN-9524,PWY-5971,30
RXN-9524,PWY1A0-6120,21
RXN-10659,PWY-6285,50
RXN-10659,PWY-6284,18
RXN-10659,PWY-6282,8
RXN-9536,PWY-8279,28
RXN-9536,PWY-5156,40
RXN-9536,PWY66-430,24
RXN-9536,PWY-6113,82
RXN-9536,PWY-6285,50
RXN-9536,PWY-5971,30
RXN-9536,PWYG-321,51
RXN-16616,PWY-7664,14
RXN-25455,PWY-8595,5
RXN-16626,PWY-7664,14
RXN-9552,PWY-5367,3
RXN-21702,PWY-8175,30
RXN-9518,PWY-8279,28
RXN-9518,PWY-7388,12
RXN-9518,PWY-5156,40
RXN-9518,PWY66-430,24
RXN-9518,PWY-6285,50
RXN-9518,PWY-5971,30
RXN-9518,PWY1A0-6120,21
RXN-21622,PWY-8173,30
RXN-21665,PWY-8174,30
RXN-9633,PWY-5156,40
RXN-9633,PWY-8280,5
RXN-9633,PWY-6113,82
RXN-9633,PWY-5989,5
RXN-9633,PWYG-321,51
RXN-21634,PWY-8173,30
RXN-21685,PWY-8175,30
RXN-11474,BIOTIN-BIOSYNTHESIS-PWY,13
RXN-11474,PWY-6519,11
RXN-9539,PWY-8279,28
RXN-9539,PWY-5156,40
RXN-9539,PWY-6113,82
RXN-9539,PWY-6285,50
RXN-9539,PWY-5971,30
RXN-9539,PWYG-321,51
RXN-21617,PWY-8173,30
RXN-11479,BIOTIN-BIOSYNTHESIS-PWY,13
RXN-11479,PWY-6519,11
RXN-21695,PWY-8175,30
RXN-16625,PWY-7664,14
RXN-21690,PWY-8175,30
RXN-21659,PWY-8174,30
RXN-21659,PWY-8525,20
RXN-21669,PWY-8174,30
RXN-10658,PWY-6285,50
RXN-10658,PWY-6284,18
RXN-10658,PWY-6282,8
RXN-21701,PWY-8175,30
RXN-21649,PWY-8174,30
RXN-21649,PWY-8525,20
3-OXOACYL-ACP-SYNTH-BASE-RXN,PWY-7388,12
3-OXOACYL-ACP-SYNTH-BASE-RXN,FASYN-INITIAL-PWY,4
3-OXOACYL-ACP-SYNTH-BASE-RXN,PWY66-429,2
3-OXOACYL-ACP-SYNTH-RXN,FASYN-ELONG-PWY,5
RXN0-2141,PWY-7858,6
RXN0-2141,PWY-6285,50
RXN0-2141,PWY-6284,18
RXN0-2141,PWY0-862,6
RXN-16615,PWY-7664,14
RXN-21680,PWY-8175,30
RXN-9516,PWY-8279,28
RXN-9516,PWY-7388,12
RXN-9516,PWY-5156,40
RXN-9516,PWY-6285,50
RXN-9516,PWY-5971,30
RXN-9516,PWY1A0-6120,21
2.3.1.179-RXN,PWY-6285,50
2.3.1.179-RXN,PWY-6284,18
2.3.1.179-RXN,PWY-5973,4
RXN-21664,PWY-8174,30
RXN-21625,PWY-8173,30
RXN-21654,PWY-8174,30
RXN-21654,PWY-8525,20
RXN-9531,PWY-8279,28
RXN-9531,PWY-5156,40
RXN-9531,PWY-6285,50
RXN-9531,PWY-5971,30
RXN-9531,PWY1A0-6120,21
RXN-10654,PWY-6285,50
RXN-10654,PWY-6284,18
RXN-10654,PWY-6282,8
RXN-9523,PWY-8279,28
RXN-9523,PWY-7388,12
RXN-9523,PWY-5156,40
RXN-9523,PWY-6285,50
RXN-9523,PWY-5971,30
RXN-9523,PWY1A0-6120,21
RXN-21629,PWY-8173,30
RXN-9527,PWY-8279,28
RXN-9527,PWY-5156,40
RXN-9527,PWY-6285,50
RXN-9527,PWY-5971,30
RXN-9527,PWY1A0-6120,21
RXN-16621,PWY-7664,14
RXN-9535,PWY-8279,28
RXN-9535,PWY-5156,40
RXN-9535,PWY-6285,50
RXN-9535,PWY-5971,30
RXN-8391,PWY-5367,3
RXN-21621,PWY-8173,30
RXN-16629,PWY-7663,4
RXN-21642,PWY-8173,30
RXN-21684,PWY-8175,30
RXN-9521,PWY-8279,28
RXN-9521,PWY-7388,12
RXN-9521,PWY66-430,24
RXN-9515,PWY-8279,28
RXN-9515,PWY-7388,12
RXN-9515,PWY66-430,24
RXN-21668,PWY-8174,30
RXN-21694,PWY-8175,30
ENOYL-ACP-REDUCT-NADPH-RXN,FASYN-ELONG-PWY,5
RXN-21639,PWY-8173,30
RXN-9534,PWY-8279,28
RXN-9534,PWY66-430,24
RXN-21673,PWY-8174,30
RXN-21700,PWY-8175,30
RXN-21705,PWY-8175,30
RXN-9542,PWY-8279,28
RXN-21679,PWY-8175,30
RXN-21641,PWY-8173,30
RXN-21653,PWY-8174,30
RXN-21653,PWY-8525,20
RXN-21643,PWY-8173,30
RXN-21689,PWY-8175,30
RXN-21658,PWY-8174,30
RXN-21658,PWY-8525,20
RXN-21663,PWY-8174,30
RXN-21663,PWY-8525,20
RXN-21640,PWY-8173,30
RXN-9530,PWY-8279,28
RXN-9530,PWY66-430,24
RXN-21644,PWY-8173,30
RXN-9526,PWY-8279,28
RXN-9526,PWY-7388,12
RXN-9526,PWY66-430,24
RXN-9538,PWY-8279,28
RXN-9538,PWY66-430,24
RXN-21648,PWY-8174,30
RXN-21648,PWY-8525,20
RXN-10661,PWY-6285,50
RXN-10661,PWY-6284,18
RXN-10661,PWY-6282,8
RXN-21699,PWY-8175,30
RXN-16620,PWY-7664,14
RXN1G-395,PWY-6113,82
RXN1G-395,PWYG-321,51
RXN-9657,PWY-5156,40
RXN-9657,PWY-6285,50
RXN-9657,PWY-5971,30
RXN-9657,PWY1A0-6120,21
RXN-21647,PWY-8174,30
RXN-21647,PWY-8525,20
RXN-21662,PWY-8174,30
RXN-21662,PWY-8525,20
ENOYL-ACP-REDUCT-NADH-RXN,FASYN-ELONG-PWY,5
RXN-9662,PWY-5156,40
RXN-9662,PWY-6113,82
RXN-9662,PWY-6285,50
RXN-9662,PWY-5971,30
RXN-9662,PWYG-321,51
RXN-21628,PWY-8173,30
RXN-21704,PWY-8175,30
RXN-9661,PWY-5156,40
RXN-9661,PWY-6285,50
RXN-9661,PWY-5971,30
RXN-9661,PWY1A0-6120,21
RXN-21672,PWY-8174,30
RXN-9663,PWY-5156,40
RXN-9663,PWY-6113,82
RXN-9663,PWY-6285,50
RXN-9663,PWY-5971,30
RXN-9663,PWYG-321,51
RXN-9658,PWY-5156,40
RXN-9658,PWY-6285,50
RXN-9658,PWY-5971,30
RXN-9658,PWY1A0-6120,21
RXN-9635,PWY-5156,40
RXN-9635,PWY-6113,82
RXN-9635,PWY-5989,5
RXN-9635,PWYG-321,51
RXN-21693,PWY-8175,30
RXN-16628,PWY-7664,14
RXN-21678,PWY-8175,30
RXN-10657,PWY-6285,50
RXN-10657,PWY-6284,18
RXN-10657,PWY-6282,8
RXN-9660,PWY-5156,40
RXN-9660,PWY-6285,50
RXN-9660,PWY-5971,30
RXN-9660,PWY1A0-6120,21
RXN-21616,PWY-8173,30
RXN-21657,PWY-8174,30
RXN-21657,PWY-8525,20
RXN-21683,PWY-8175,30
RXN-9558,PWY-6285,50
RXN-9558,PWY-6284,18
RXN-9558,PWY-5973,4
RXN-11478,BIOTIN-BIOSYNTHESIS-PWY,13
RXN-11478,PWY-6519,11
RXN-25449,PWY-8595,5
RXN-16624,PWY-7664,14
RXN-16632,PWY-7663,4
RXN-21633,PWY-8173,30
RXN-21624,PWY-8173,30
RXN-11482,BIOTIN-BIOSYNTHESIS-PWY,13
RXN-11482,PWY-6519,11
RXN-21667,PWY-8174,30
RXN-9659,PWY-5156,40
RXN-9659,PWY-6285,50
RXN-9659,PWY-5971,30
RXN-9659,PWY1A0-6120,21
RXN-22024,PWY-8203,4
RXN-21637,PWY-8173,30
RXN-21652,PWY-8174,30
RXN-21652,PWY-8525,20
RXN-21688,PWY-8175,30
RXN-21620,PWY-8173,30
RXN0-2145,PWY-7858,6
RXN0-2145,PWY-6285,50
RXN0-2145,PWY-6284,18
RXN0-2145,PWY0-862,6
RXN-8080,PWY-5199,2
RXN-8081,PWY-5199,2
RXN-21088,PWY-8112,2
RXN-21089,PWY-8112,2
RXN-8078,PWY-5198,1
RXN-21090,PWY-8113,1
RXN-7933,PWY-5154,9
ACETYLORNDEACET-RXN,GLUTORN-PWY,5
ACETYLORNDEACET-RXN,ARGSYN-PWY,9
ACETYLORNDEACET-RXN,ARG+POLYAMINE-SYN,16
SUCCDIAMINOPIMDESUCC-RXN,PWY0-781,24
SUCCDIAMINOPIMDESUCC-RXN,DAPLYSINESYN-PWY,9
SUCCDIAMINOPIMDESUCC-RXN,P4-PWY,17
PEPSYNTH-RXN,PWY-6142,15
PEPSYNTH-RXN,GLYCOLYSIS,12
PEPSYNTH-RXN,PWY-5484,11
PEPSYNTH-RXN,HEXITOLDEGSUPER-PWY,16
PEPSYNTH-RXN,P461-PWY,19
PEPSYNTH-RXN,PWY-6146,46
PEPSYNTH-RXN,PWY-7345,18
PEPSYNTH-RXN,P341-PWY,9
PEPSYNTH-RXN,GLYCOLYSIS-TCA-GLYOX-BYPASS,21
PEPSYNTH-RXN,GLUCONEO-PWY,13
PEPSYNTH-RXN,GLYCOLYSIS-E-D,16
PEPSYNTH-RXN,P441-PWY,21
RXN-11727,PWY-6634,1
RIBOFLAVINKIN-RXN,PWY-6168,9
RIBOFLAVINKIN-RXN,RIBOSYN2-PWY,9
RIBOFLAVINKIN-RXN,PWY-5523,3
RIBOFLAVINKIN-RXN,P381-PWY,26
RIBOFLAVINKIN-RXN,PWY-7863,1
RIBOFLAVINKIN-RXN,PWY66-366,2
FADSYN-RXN,PWY-6168,9
FADSYN-RXN,RIBOSYN2-PWY,9
FADSYN-RXN,PWY-6167,9
FADSYN-RXN,PWY66-366,2
P-PANTOCYSDECARB-RXN,PWY-4221,12
P-PANTOCYSDECARB-RXN,PANTOSYN-PWY,9
P-PANTOCYSDECARB-RXN,PWY-7851,3
P-PANTOCYSDECARB-RXN,COA-PWY,4
P-PANTOCYSDECARB-RXN,PWY-8342,3
P-PANTOCYSDECARB-RXN,COA-PWY-1,4
P-PANTOCYSLIG-RXN,PANTOSYN-PWY,9
P-PANTOCYSLIG-RXN,COA-PWY,4
P-PANTOCYSLIG-RXN,PWY-8342,3
DTMPKI-RXN,PWY-7200,8
DTMPKI-RXN,PWY-7211,18
DTMPKI-RXN,PWY-7187,7
DTMPKI-RXN,PWY-7210,7
DTMPKI-RXN,PWY0-166,14
DTMPKI-RXN,PWY-6545,9
DTMPKI-RXN,PWY-7197,4
DTMPKI-RXN,PWY-7198,5
DTMPKI-RXN,PWY-7184,9
ADPREDUCT-RXN,PWY-6126,7
ADPREDUCT-RXN,PWY-7227,2
ADPREDUCT-RXN,PRPP-PWY,42
ADPREDUCT-RXN,DENOVOPURINE2-PWY,25
ADPREDUCT-RXN,PWY-841,21
ADPREDUCT-RXN,PWY-7229,5
ADPREDUCT-RXN,PWY66-409,17
ADPREDUCT-RXN,PWY-7220,4
RIBONUCLEOSIDE-DIP-REDUCTII-RXN,PWY0-166,14
RXN0-722,PWY0-166,14
RXN0-747,PWY-6126,7
RXN0-747,PRPP-PWY,42
RXN0-747,DENOVOPURINE2-PWY,25
RXN0-747,PWY-7220,4
CDPREDUCT-RXN,PWY-7211,18
CDPREDUCT-RXN,PWY-7210,7
CDPREDUCT-RXN,PWY0-166,14
CDPREDUCT-RXN,PWY-6545,9
CDPREDUCT-RXN,PWY-7198,5
CDPREDUCT-RXN,PWY-7184,9
GDPREDUCT-RXN,PRPP-PWY,42
GDPREDUCT-RXN,DENOVOPURINE2-PWY,25
GDPREDUCT-RXN,PWY-7222,4
GDPREDUCT-RXN,PWY-7226,2
GDPREDUCT-RXN,PWY-7228,6
GDPREDUCT-RXN,PWY-6125,8
GDPREDUCT-RXN,PWY-841,21
UDPREDUCT-RXN,PWY-7211,18
UDPREDUCT-RXN,PWY0-166,14
UDPREDUCT-RXN,PWY-6545,9
UDPREDUCT-RXN,PWY-7184,9
RXN0-748,PRPP-PWY,42
RXN0-748,DENOVOPURINE2-PWY,25
RXN0-748,PWY-7222,4
RXN0-748,PWY-6125,8
RXN-17555,PWY-7772,3
RXN-17555,PWY-7773,4
RXN-10908,PWY-6342,12
RXN-10778,PWY-6313,6
RXN-10817,PWY-5751,3
RXN-10817,2PHENDEG-PWY,2
RXN-10817,PWY-6318,6
RXN-10817,PWY-6071,11
RXN-11067,PWY-6399,1
RXN-11067,PWY-6402,6
RXN-10910,PWY-6342,12
RXN-10907,PWY-6342,12
RXN6666-4,PWY6666-2,5
RXN6666-4,PWY-7431,4
RXN-10913,PWY-6342,12
RXN-5821,PWY-6802,3
RXN-5821,PWY-7431,4
RXN-1401,PWY-3181,2
RXN-1401,PWY-6307,4
RXN-1,PWY-0,3
ALDOSE1EPIM-RXN,PWY-6317,5
ALDOSE-1-EPIMERASE-RXN,PWY0-1466,2
RXN-16649,PWY0-1586,3
RXN-11065,PWY-5265,13
RXN-11351,PWY-6471,11
RXN-16659,PWY0-1586,3
LEUCINE--TRNA-LIGASE-RXN,TRNA-CHARGING-PWY,21
RXN-14065,PWY-7570,1
RXN-14065,PWY-7569,1
HISTCYCLOHYD-RXN,PRPP-PWY,42
HISTCYCLOHYD-RXN,HISTSYN-PWY,7
HISTPRATPHYD-RXN,PRPP-PWY,42
HISTPRATPHYD-RXN,HISTSYN-PWY,7
ANTHRANSYN-RXN,ALL-CHORISMATE-PWY,48
ANTHRANSYN-RXN,PWY-6661,2
ANTHRANSYN-RXN,PWY-6629,12
ANTHRANSYN-RXN,TRPSYN-PWY,5
ANTHRANSYN-RXN,PWY-6662,3
ANTHRANSYN-RXN,COMPLETE-ARO-PWY,17
ANTHRANSYN-RXN,PWY-5958,1
PRTRANS-RXN,ALL-CHORISMATE-PWY,48
PRTRANS-RXN,PWY-6629,12
PRTRANS-RXN,TRPSYN-PWY,5
PRTRANS-RXN,COMPLETE-ARO-PWY,17
IGPSYN-RXN,ALL-CHORISMATE-PWY,48
IGPSYN-RXN,PWY-6629,12
IGPSYN-RXN,TRPSYN-PWY,5
IGPSYN-RXN,COMPLETE-ARO-PWY,17
PRAISOM-RXN,ALL-CHORISMATE-PWY,48
PRAISOM-RXN,PWY-6629,12
PRAISOM-RXN,TRPSYN-PWY,5
PRAISOM-RXN,COMPLETE-ARO-PWY,17
DEPHOSPHOCOAKIN-RXN,PWY-4221,12
DEPHOSPHOCOAKIN-RXN,PANTOSYN-PWY,9
DEPHOSPHOCOAKIN-RXN,PWY-7851,3
DEPHOSPHOCOAKIN-RXN,COA-PWY,4
DEPHOSPHOCOAKIN-RXN,PWY8J2-29,2
DEPHOSPHOCOAKIN-RXN,COA-PWY-1,4
GLUCONATE-5-DEHYDROGENASE-RXN,IDNCAT-PWY,3
GLUCONATE-5-DEHYDROGENASE-RXN,KETOGLUCONMET-PWY,5
NAD-SYNTH-GLN-RXN,PWY-8277,5
NAD-SYNTH-GLN-RXN,PWY-3502,11
NAD-SYNTH-GLN-RXN,PYRIDNUCSAL-PWY,6
NAD-SYNTH-GLN-RXN,PWY0-781,24
NAD-SYNTH-GLN-RXN,PWY3O-4107,4
NAD-SYNTH-GLN-RXN,NADSYN-PWY,8
NAD-SYNTH-GLN-RXN,PYRIDNUCSYN-PWY,6
NAD-SYNTH-GLN-RXN,PWY-7761,5
NAD-SYNTH-GLN-RXN,PWY-5381,7
NAD-SYNTH-GLN-RXN,PWY-5653,3
NAD-SYNTH-GLN-RXN,PWY-8511,5
NAD-SYNTH-GLN-RXN,PWY-8352,5
HOMOCYSMETB12-RXN,PWY-5345,12
HOMOCYSMETB12-RXN,PWY-5347,8
HOMOCYSMETB12-RXN,PWY0-781,24
HOMOCYSMETB12-RXN,MET-SAM-PWY,8
HOMOCYSMETB12-RXN,PWY-5328,11
HOMOCYSMETB12-RXN,P4-PWY,17
HOMOCYSMETB12-RXN,PWY-2201,9
HOMOCYSMETB12-RXN,HOMOSER-METSYN-PWY,4
HOMOCYSMETB12-RXN,PWY-3841,8
HOMOCYSMETB12-RXN,ADENOSYLHOMOCYSCAT-PWY,3
HOMOCYSMETB12-RXN,1CMET2-PWY,7
HOMOCYSMETB12-RXN,HSERMETANA-PWY,4
2-OXOGLUTARATE-SYNTHASE-RXN,P23-PWY,9
2-OXOGLUTARATE-SYNTHASE-RXN,PWY-6146,46
2-OXOGLUTARATE-SYNTHASE-RXN,REDCITCYC,7
2-OXOGLUTARATE-SYNTHASE-RXN,PWY-5392,8
2-OXOGLUTARATE-SYNTHASE-RXN,PWY-6969,7
2-OXOGLUTARATE-SYNTHASE-RXN,P42-PWY,7
2-OXOGLUTARATE-SYNTHASE-RXN,PWY-7254,7
RXN-13141,PWY-8136,2
RXN0-6727,PWY-6938-1,2
RXN-12752,PWY-6938,1
RXN-12752,PWY-6938-1,2
RXN-13142,PWY-8136,2
RXN-13142,PWY-8137,1
ADENPRIBOSYLTRAN-RXN,PWY-7805,7
ADENPRIBOSYLTRAN-RXN,PWY-6605,1
ADENPRIBOSYLTRAN-RXN,PWY66-409,17
ADENPRIBOSYLTRAN-RXN,PWY-6610,3
ADENPRIBOSYLTRAN-RXN,P121-PWY,2
ADENPRIBOSYLTRAN-RXN,PWY-7807,7
RXN0-7012,PWY0-1545,3
RXN0-7012,PWY-8401,11
RXN0-7012,PHOSLIPSYN-PWY,12
CARDIOLIPSYN-RXN,PWY-5668,3
CARDIOLIPSYN-RXN,PWY-8401,11
CARDIOLIPSYN-RXN,PHOSLIPSYN-PWY,12
RXN-8141,PWY-5269,3
RXN-8141,PWY-8401,11
RXN-8141,PWY-7509,3
PROLINE--TRNA-LIGASE-RXN,TRNA-CHARGING-PWY,21
SUPEROX-DISMUT-RXN,PWY-6854,2
SUPEROX-DISMUT-RXN,DETOX1-PWY-1,3
