x,y,name,node_type,xend,yend,May,July_1,July_2,July_3,August,October,May_22,KEGG_name,pathway,path_name,,type
4,5.667,R09446,Reaction absent,5,6,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
5,4.5,R00789,Reaction present,7,4,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
5,4.5,R00789,Reaction present,3,4,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
5,4.167,R00787,Reaction present,7,4,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
5,4.167,R00787,Reaction present,3,4,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
5,3.833,R05712,Reaction present,7,4,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
5,3.833,R05712,Reaction present,3,4,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
5,3.5,R00790,Reaction present,7,4,442.6888719,995.4310768,686.9133247,827.6247246,798.4722361,473.1342589,545.6941339,NA,map00910,Nitrogen metabolism,,edge
5,3.5,R00790,Reaction present,3,4,442.6888719,995.4310768,686.9133247,827.6247246,798.4722361,473.1342589,545.6941339,NA,map00910,Nitrogen metabolism,,edge
4,5.333,R09808,Reaction absent,3,6,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
4,5.333,R09808,Reaction absent,7,6,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
4,5.333,R09808,Reaction absent,5,6,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
5,4.833,R09809,Reaction absent,7,4,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
5,4.833,R09809,Reaction absent,3,6,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
5,4.833,R09809,Reaction absent,5,6,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
4,6.667,R09996,Reaction absent,3,6,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
4,6.667,R09996,Reaction absent,7,6,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
