node_name,connect_to,connect_from,x,y,xend,yend,name,node_type,May,July_1,July_2,July_3,August,October,May_22,KEGG_name,pathway,path_name,,type
R10164,NO2-,R10164,1200,-300,1075,-150,R10164,Reaction present,4.830133788,4.848206266,3.656382458,2.572482005,2.865842038,6.108140249,6.120803144,NA,map00910,Nitrogen metabolism,,edge
R10164,NH2OH,R10164,800,-50,1075,-150,R10164,Reaction present,4.830133788,4.848206266,3.656382458,2.572482005,2.865842038,6.108140249,6.120803144,NA,map00910,Nitrogen metabolism,,edge
R00790,NO2-,R00790,1200,-300,800,-450,R00790,Reaction present,442.6888719,995.4310768,686.9133247,827.6247246,798.4722361,473.1342589,545.6941339,NA,map00910,Nitrogen metabolism,,edge
R00790,NH3,R00790,380,-420,800,-450,R00790,Reaction present,442.6888719,995.4310768,686.9133247,827.6247246,798.4722361,473.1342589,545.6941339,NA,map00910,Nitrogen metabolism,,edge
R00143,NH2OH,R00143,800,-50,500,-250,R00143,Reaction present,138.1635219,186.4945956,199.4279118,188.240965,191.7645468,91.56822465,130.3322555,NA,map00910,Nitrogen metabolism,,edge
R00143,NH3,R00143,380,-420,500,-250,R00143,Reaction present,138.1635219,186.4945956,199.4279118,188.240965,191.7645468,91.56822465,130.3322555,NA,map00910,Nitrogen metabolism,,edge
R00148,NH2OH,R00148,800,-50,400,-150,R00148,Reaction present,1564.536866,881.520089,1370.036413,1065.722928,977.966329,1105.012167,1143.863221,NA,map00910,Nitrogen metabolism,,edge
R00148,NH3,R00148,380,-420,400,-150,R00148,Reaction present,1564.536866,881.520089,1370.036413,1065.722928,977.966329,1105.012167,1143.863221,NA,map00910,Nitrogen metabolism,,edge
R02804,N2O,R02804,800,-800,650,-780,R02804,Reaction present,162.9501901,244.1786149,197.4078421,195.3819992,220.865181,101.953764,120.2740022,NA,map00910,Nitrogen metabolism,,edge
R02804,N2,R02804,480,-700,650,-780,R02804,Reaction present,162.9501901,244.1786149,197.4078421,195.3819992,220.865181,101.953764,120.2740022,NA,map00910,Nitrogen metabolism,,edge
R09799,NO,R09799,1100,-720,700,-500,R09799,Reaction present,5.119785883,9.358799122,8.264220203,6.294548497,6.389916419,6.226448377,6.78890569,NA,map00910,Nitrogen metabolism,,edge
R09799,N2H4,R09799,600,-600,700,-500,R09799,Reaction present,5.119785883,9.358799122,8.264220203,6.294548497,6.389916419,6.226448377,6.78890569,NA,map00910,Nitrogen metabolism,,edge
R09799,NH3,R09799,380,-420,700,-500,R09799,Reaction present,5.119785883,9.358799122,8.264220203,6.294548497,6.389916419,6.226448377,6.78890569,NA,map00910,Nitrogen metabolism,,edge
R05185,NH3,R05185,380,-420,380,-600,R05185,Reaction present,5.429688682,5.939415241,5.457198842,5.56626837,4.947452408,5.505349084,5.562760609,NA,map00910,Nitrogen metabolism,,edge
R05185,N2,R05185,480,-700,380,-600,R05185,Reaction present,5.429688682,5.939415241,5.457198842,5.56626837,4.947452408,5.505349084,5.562760609,NA,map00910,Nitrogen metabolism,,edge
R00248,NH3,R00248,380,-420,290,-525,R00248,Reaction present,18.0563126,71.78659994,71.07949506,72.47782597,74.11483132,17.1933644,25.40791654,NA,map00910,Nitrogen metabolism,,edge
R00248,Glutamate,R00248,50,-550,290,-525,R00248,Reaction present,18.0563126,71.78659994,71.07949506,72.47782597,74.11483132,17.1933644,25.40791654,NA,map00910,Nitrogen metabolism,,edge
R00243,NH3,R00243,380,-420,290,-475,R00243,Reaction present,143.170152,107.5162552,114.2869056,108.9637118,105.1188926,101.1163017,131.0488023,NA,map00910,Nitrogen metabolism,,edge
R00243,Glutamate,R00243,50,-550,290,-475,R00243,Reaction present,143.170152,107.5162552,114.2869056,108.9637118,105.1188926,101.1163017,131.0488023,NA,map00910,Nitrogen metabolism,,edge
R00253,NH3,R00253,380,-420,230,-420,R00253,Reaction present,733.8756362,1811.85343,1851.32185,1794.250985,1917.662407,971.6539599,941.5075739,NA,map00910,Nitrogen metabolism,,edge
R00253,Glutamate,R00253,50,-550,230,-420,R00253,Reaction present,733.8756362,1811.85343,1851.32185,1794.250985,1917.662407,971.6539599,941.5075739,NA,map00910,Nitrogen metabolism,,edge
R00253,Glutamine,R00253,50,-300,230,-420,R00253,Reaction present,733.8756362,1811.85343,1851.32185,1794.250985,1917.662407,971.6539599,941.5075739,NA,map00910,Nitrogen metabolism,,edge
R00540,NH3,R00540,380,-420,300,-650,R00540,Reaction present,10.07466814,15.64228434,14.51145057,14.11926909,14.8196749,5.647197886,14.11686815,NA,map00910,Nitrogen metabolism,,edge
R00540,Nitrile,R00540,180,-700,300,-650,R00540,Reaction present,10.07466814,15.64228434,14.51145057,14.11926909,14.8196749,5.647197886,14.11686815,NA,map00910,Nitrogen metabolism,,edge
R00114,Glutamine,R00114,50,-300,180,-425,R00114,Reaction present,18.0563126,71.78659994,71.07949506,72.47782597,74.11483132,17.1933644,25.40791654,NA,map00910,Nitrogen metabolism,,edge
R00114,Glutamate,R00114,50,-550,180,-425,R00114,Reaction present,18.0563126,71.78659994,71.07949506,72.47782597,74.11483132,17.1933644,25.40791654,NA,map00910,Nitrogen metabolism,,edge
R00524,NH3,R00524,380,-420,500,-325,R00524,Reaction present,164.9402575,162.3507733,297.0486048,325.2437084,343.8210159,123.3453794,111.7253774,NA,map00910,Nitrogen metabolism,,edge
R00524,Formamide,R00524,700,-200,500,-325,R00524,Reaction present,164.9402575,162.3507733,297.0486048,325.2437084,343.8210159,123.3453794,111.7253774,NA,map00910,Nitrogen metabolism,,edge
R00524,Formate,R00524,700,-300,500,-325,R00524,Reaction present,164.9402575,162.3507733,297.0486048,325.2437084,343.8210159,123.3453794,111.7253774,NA,map00910,Nitrogen metabolism,,edge
R00794,R00794,R00794,1350,-150,1350,-150,R03071,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
R00796,R00796,R00796,1350,-100,1350,-100,R00794,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R00798,R00798,R00798,1350,-300,1350,-300,R09497,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R09497,R09497,R09497,1350,-200,1350,-200,R00791,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R00791,R00791,R00791,1350,-250,1350,-250,R00798,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R10388,R10388,R10388,1350,-400,1350,-400,R10388,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R10389,R10389,R10389,1350,-450,1350,-450,R10389,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R00025,R00025,R00025,1350,-500,1350,-500,R00025,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R00785,R00785,R00785,1225,-470,1225,-470,R00785,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R00783,R00783,R00783,1175,-470,1175,-470,R00783,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R10164,R10164,R10164,1075,-150,1075,-150,R10164,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R00790,R00790,R00790,800,-450,800,-450,R00790,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R00143,R00143,R00143,500,-250,500,-250,R00143,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R00148,R00148,R00148,400,-150,400,-150,R00148,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R02804,R02804,R02804,650,-780,650,-780,R02804,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R09799,R09799,R09799,700,-500,700,-500,R09799,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R05185,R05185,R05185,380,-600,380,-600,R05185,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R00248,R00248,R00248,290,-525,290,-525,R00248,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R00243,R00243,R00243,290,-475,290,-475,R00243,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R00253,R00253,R00253,230,-420,230,-420,R00253,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R00540,R00540,R00540,300,-650,300,-650,R00540,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R00114,R00114,R00114,180,-425,180,-425,R00114,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
R00524,R00524,R00524,500,-325,500,-325,R00524,Reaction present,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,node
