module_id,name,definition,orthology,class,pathway,reaction,compound
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","(K00844,K12407,K00845,K25026,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) (K01689,K27394) (K00873,K12406)",hexokinase/glucokinase [EC:2.7.1.1 2.7.1.2] [RN:R01786];polyphosphate glucokinase [EC:2.7.1.63] [RN:R02189];ADP-dependent glucokinase [EC:2.7.1.147] [RN:R09085];glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R13199];6-phosphofructokinase [EC:2.7.1.11] [RN:R00756];ADP-dependent phosphofructokinase [EC:2.7.1.146] [RN:R05805];fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01068];triosephosphate isomerase [EC:5.3.1.1] [RN:R01015];glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063];phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512];glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6] [RN:R07159];phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518];enolase [EC:4.2.1.11] [RN:R00658];pyruvate kinase [EC:2.7.1.40] [RN:R00200],Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Glycolysis / Gluconeogenesis;Carbon metabolism;Metabolic pathways,C00267 -> C00668;C00668 -> C00085;C00085 -> C00354;C00354 -> C00111 + C00118;C00111 -> C00118;C00118 -> C00236;C00236 -> C00197;C00118 -> C00197;C00197 -> C00631;C00631 -> C00074;C00074 -> C00022,"alpha-D-Glucose;alpha-D-Glucose 6-phosphate;D-Fructose 6-phosphate;D-Fructose 1,6-bisphosphate;Glycerone phosphate;D-Glyceraldehyde 3-phosphate;3-Phospho-D-glyceroyl phosphate;3-Phospho-D-glycerate;2-Phospho-D-glycerate;Phosphoenolpyruvate;Pyruvate"
M00002,"Glycolysis, core module involving three-carbon compounds","K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) (K01689,K27394) (K00873,K12406)",triosephosphate isomerase [EC:5.3.1.1] [RN:R01015];glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063];phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512];glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6] [RN:R07159];phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518];enolase [EC:4.2.1.11] [RN:R00658];pyruvate kinase [EC:2.7.1.40] [RN:R00200],Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Glycolysis / Gluconeogenesis;Carbon metabolism;Biosynthesis of amino acids;Metabolic pathways,C00111 -> C00118;C00118 -> C00236;C00236 -> C00197;C00118 -> C00197;C00197 -> C00631;C00631 -> C00074;C00074 -> C00022,Glycerone phosphate;D-Glyceraldehyde 3-phosphate;3-Phospho-D-glyceroyl phosphate;3-Phospho-D-glycerate;2-Phospho-D-glycerate;Phosphoenolpyruvate;Pyruvate
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P","(K01596,K01610) (K01689,K27394) (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)","phosphoenolpyruvate carboxykinase [EC:4.1.1.32 4.1.1.49] [RN:R00431 R00726 R00341];enolase [EC:4.2.1.11] [RN:R00658];phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518];phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512];glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063];triosephosphate isomerase (TIM) [EC:5.3.1.1] [RN:R01015];fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01068];fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R00762];fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11] [RN:R01068 R00762]",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Metabolic pathways,C00036 -> C00074;C00074 -> C00631;C00631 -> C00197;C00197 -> C00236;C00236 -> C00118;C00118 -> C00111;C00111 + C00118 -> C00354;C00354 -> C00085,"Oxaloacetate;Phosphoenolpyruvate;2-Phospho-D-glycerate;3-Phospho-D-glycerate;3-Phospho-D-glyceroyl phosphate;D-Glyceraldehyde 3-phosphate;Glycerone phosphate;D-Fructose 1,6-bisphosphate;D-Fructose 6-phosphate"
M00004,Pentose phosphate pathway (Pentose phosphate cycle),"(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808) K00615 ((K00616 (K01810,K06859,K15916)),K13810)",hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31] [RN:R02736 R02035];glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907];6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035];6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] [RN:R01528 R10221];ribulose-phosphate 3-epimerase [EC:5.1.3.1] [RN:R01529];ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056];transketolase [EC:2.2.1.1] [RN:R01641 R01067];transaldolase [EC:2.2.1.2] [RN:R08575];glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R13199 R02739],Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Pentose phosphate pathway;Carbon metabolism;Metabolic pathways;Microbial metabolism in diverse environments,C01172 -> C01236;C01236 -> C00345;C00345 -> C00199;C00199 -> C00231;C00199 -> C00117;C00117 + C00231 -> C05382 + C00118;C05382 + C00118 -> C00279 + C00085;C00279 + C00231 -> C00085 + C00118;C00085 -> C00668;C00668 -> C01172,"beta-D-Glucose 6-phosphate;D-Glucono-1,5-lactone 6-phosphate;6-Phospho-D-gluconate;D-Ribulose 5-phosphate;D-Xylulose 5-phosphate;D-Ribose 5-phosphate;Sedoheptulose 7-phosphate;D-Glyceraldehyde 3-phosphate;D-Erythrose 4-phosphate;D-Fructose 6-phosphate;alpha-D-Glucose 6-phosphate"
M00005,"PRPP biosynthesis, ribose 5P => PRPP",K00948,ribose-phosphate pyrophosphokinase [EC:2.7.6.1] [RN:R01049],Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Pentose phosphate pathway;Purine metabolism;Carbon metabolism;Biosynthesis of amino acids;Metabolic pathways,C00117 -> C00119,D-Ribose 5-phosphate;5-Phospho-alpha-D-ribose 1-diphosphate
M00006,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P","(K13937,((K00036,K19243) (K01057,K07404))) K00033",hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31] [RN:R02736 R02035];glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907];6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035];6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] [RN:R01528 R10221],Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Pentose phosphate pathway;Carbon metabolism;Metabolic pathways;Microbial metabolism in diverse environments,C01172 -> C01236;C01236 -> C00345;C00345 -> C00199,"beta-D-Glucose 6-phosphate;D-Glucono-1,5-lactone 6-phosphate;6-Phospho-D-gluconate;D-Ribulose 5-phosphate"
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P","K00615 (K00616,K13810) K01783 (K01807,K01808)",transketolase [EC:2.2.1.1] [RN:R01067 R01641];transaldolase [EC:2.2.1.2] [RN:R08575];ribulose-phosphate 3-epimerase [EC:5.1.3.1] [RN:R01529];ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056],Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Pentose phosphate pathway;Carbon metabolism;Biosynthesis of amino acids;Metabolic pathways;Microbial metabolism in diverse environments,C00085 + C00118 -> C00279 + C00231;C00279 + C00085 -> C05382 + C00118;C05382 + C00118 -> C00117 + C00231;C00231 -> C00199;C00199 -> C00117,D-Fructose 6-phosphate;D-Glyceraldehyde 3-phosphate;D-Erythrose 4-phosphate;D-Xylulose 5-phosphate;Sedoheptulose 7-phosphate;D-Ribose 5-phosphate;D-Ribulose 5-phosphate
M00008,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate","K00036 (K01057,K07404) K01690 K01625",glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363] [RN:R02736 R10907];6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035];phosphogluconate dehydratase [EC:4.2.1.12] [RN:R02036];2-dehydro-3-deoxyphosphogluconate aldolase [EC:4.1.2.14] [RN:R05605],Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Pentose phosphate pathway;Carbon metabolism;Metabolic pathways;Microbial metabolism in diverse environments,C01172 -> C01236;C01236 -> C00345;C00345 -> C04442;C04442 -> C00118 + C00022,"beta-D-Glucose 6-phosphate;D-Glucono-1,5-lactone 6-phosphate;6-Phospho-D-gluconate;2-Dehydro-3-deoxy-6-phospho-D-gluconate;D-Glyceraldehyde 3-phosphate;Pyruvate"
M00009,"Citrate cycle (TCA cycle, Krebs cycle)","(K01647,K05942) (K01681,K01682) (K00031,K00030) ((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)","citrate synthase [EC:2.3.3.1] [RN:R00351];citrate (Re)-synthase [EC:2.3.3.3] [RN:R00351];aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900 R01324];isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709];2-oxoglutarate dehydrogenase complex [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R01700 R02570 R07618];2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] [RN:R01197];2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11] [RN:R01197];2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] [RN:R01197];2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3] [RN:R01197];succinyl-CoA synthetase [EC:6.2.1.5] [RN:R00405];succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727];succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18] [RN:R10343];succinate dehydrogenase [EC:1.3.5.1] [RN:R02164];succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164];NA  K00244,K00245,K00246,K00247 fumarate reductase [EC:1.3.5.4] [RN:R02164];fumarate hydratase [EC:4.2.1.2] [RN:R01082];malate dehydrogenase [EC:1.1.1.37] [RN:R00342];malate dehydrogenase (quinone) [EC:1.1.5.4] [RN:R00361]",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Citrate cycle (TCA cycle);Carbon metabolism;Metabolic pathways,C00024 + C00036 -> C00158;C00158 -> C00311;C00311 -> C00026;C00026 + C15972 -> C16254;C16254 -> C00091 + C15973;C15973 -> C15972;C00026 -> C00091;C00091 -> C00042;C00042 -> C00122;C00122 -> C00149;C00149 -> C00036,Acetyl-CoA;Oxaloacetate;Citrate;Isocitrate;2-Oxoglutarate;Enzyme N6-(lipoyl)lysine;[Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine;Succinyl-CoA;Enzyme N6-(dihydrolipoyl)lysine;Succinate;Fumarate;(S)-Malate
M00010,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","(K01647,K05942) (K01681,K01682) (K00031,K00030)",citrate synthase [EC:2.3.3.1] [RN:R00351];citrate (Re)-synthase [EC:2.3.3.3] [RN:R00351];aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900 R01324];isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709],Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Citrate cycle (TCA cycle);Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Metabolic pathways,C00036 + C00024 -> C00158;C00158 -> C00311;C00311 -> C00026,Oxaloacetate;Acetyl-CoA;Citrate;Isocitrate;2-Oxoglutarate
M00011,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)","2-oxoglutarate dehydrogenase [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R01700 R02570 R07618];2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] [RN:R01197];2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11] [RN:R01197];2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] [RN:R01197];2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3] [RN:R01197];succinyl-CoA synthetase [EC:6.2.1.5] [RN:R00405];succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727];succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18] [RN:R10343];succinate dehydrogenase [EC:1.3.5.1] [RN:R02164];succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164];NA  K00244,K00245,K00246,K00247 fumarate reductase [EC:1.3.5.4] [RN:R02164];fumarate hydratase [EC:4.2.1.2] [RN:R01082];malate dehydrogenase [EC:1.1.1.37] [RN:R00342];malate dehydrogenase (quinone) [EC:1.1.5.4] [RN:R00361]",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Citrate cycle (TCA cycle);Carbon metabolism;2-Oxocarboxylic acid metabolism;Metabolic pathways,C00026 + C15972 -> C16254;C16254 -> C00091 + C15973;C15973 -> C15972;C00026 -> C00091;C00091 -> C00042;C00042 -> C00122;C00122 -> C00149;C00149 -> C00036,2-Oxoglutarate;Enzyme N6-(lipoyl)lysine;[Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine;Succinyl-CoA;Enzyme N6-(dihydrolipoyl)lysine;Succinate;Fumarate;(S)-Malate;Oxaloacetate
M00012,Glyoxylate cycle,"K01647 (K01681,K01682) K01637 (K01638,K19282) (K00026,K00025,K00024)",citrate synthase [EC:2.3.3.1] [RN:R00351];aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900];isocitrate lyase [EC:4.1.3.1] [RN:R00479];malate synthase [EC:2.3.3.9] [RN:R00472];bifunctional (S)-malyl-CoA lyase/thioesterase [EC:4.1.3.24 3.1.2.30] [RN:R00473 R10612];malate dehydrogenase [EC:1.1.1.37] [RN:R00342],Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism;Carbon metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,C00024 + C00036 -> C00158;C00158 -> C00417;C00417 -> C00311;C00311 -> C00048;C00024 + C00048 -> C00149;C00149 -> C00036,Acetyl-CoA;Oxaloacetate;Citrate;cis-Aconitate;Isocitrate;Glyoxylate;(S)-Malate
M00013,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA","(K00248,K00232) (K07511,K14729) K05605 K23146 K00140",ACADS; butyryl-CoA dehydrogenase [EC:1.3.8.1] [RN:R04432];E1.3.3.6; acyl-CoA oxidase [EC:1.3.3.6] [RN:R12356];enoyl-CoA hydratase [EC:4.2.1.17] [RN:R03045];multifunctional beta-oxidation protein [EC:4.2.1.-] [RN:R03045];3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4] [RN:R03157 R03158];3-hydroxypropionate dehydrogenase [EC:1.1.1.59] [RN:R01608];malonate-semialdehyde dehydrogenase (acetylating) [EC:1.2.1.18] [RN:R00740],Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism,beta-Alanine metabolism;Propanoate metabolism;Carbon metabolism;Metabolic pathways,C00100 -> C00894;C00894 -> C05668;C05668 -> C01013;C01013 -> C00222;C00222 -> C00024,Propanoyl-CoA;Propenoyl-CoA;3-Hydroxypropionyl-CoA;3-Hydroxypropanoate;3-Oxopropanoate;Acetyl-CoA
M00014,Glucuronate pathway (uronate pathway),"K00012 ((K12447 K16190),(K00699 (K01195,K14756))) K00002 K13247 -- K03331 (K05351,K00008) K00854",UDPglucose 6-dehydrogenase [EC:1.1.1.22] [RN:R00286];UDP-sugar pyrophosphorylase [EC:2.7.7.64] [RN:R01381];glucuronokinase [EC:2.7.1.43] [RN:R01476];glucuronosyltransferase [EC:2.4.1.17] [RN:R01383];beta-glucuronidase [EC:3.2.1.31] [RN:R01478];alcohol dehydrogenase (NADP+) [EC:1.1.1.2] [RN:R01481];L-gulonate 3-dehydrogenase [EC:1.1.1.45] [RN:R02640];L-xylulose reductase [EC:1.1.1.10] [RN:R01904];D-xylulose reductase [EC:1.1.1.9] [RN:R01896];L-iditol 2-dehydrogenase [EC:1.1.1.14] [RN:R01896];xylulokinase [EC:2.7.1.17] [RN:R01639],Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism,Pentose and glucuronate interconversions;Metabolic pathways,C00029 -> C00167;C00167 -> C05385;C05385 -> C00191;C00167 -> C03033;C03033 -> C00191;C00191 -> C00800;C00800 -> C00618;C00618 -> C00312;C00312 -> C00379;C00379 -> C00310;C00310 -> C00231,UDP-glucose;UDP-glucuronate;D-Glucuronate 1-phosphate;D-Glucuronate;beta-D-Glucuronoside;L-Gulonate;3-Dehydro-L-gulonate;L-Xylulose;Xylitol;D-Xylulose;D-Xylulose 5-phosphate
M00015,"Proline biosynthesis, glutamate => proline","((K00931 K00147),K12657) K00286",glutamate 5-kinase [EC:2.7.2.11] [RN:R00239];glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41] [RN:R03313];delta-1-pyrroline-5-carboxylate synthetase [EC:2.7.2.11 1.2.1.41] [RN:R00239 R03313];pyrroline-5-carboxylate reductase [EC:1.5.1.2] [RN:R01251],Pathway modules; Amino acid metabolism; Arginine and proline metabolism,Arginine and proline metabolism;Biosynthesis of amino acids;Metabolic pathways,C00025 -> C03287;C03287 -> C01165;C00077 -> C01165;C01165 -> C03912;C03912 -> C00148,L-Glutamate;L-Glutamyl 5-phosphate;L-Glutamate 5-semialdehyde;L-Ornithine;(S)-1-Pyrroline-5-carboxylate;L-Proline
M00016,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine","(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K00674 (K00821,K14267) K01439 K01778 (K01586,K12526)","aspartate kinase [EC:2.7.2.4] [RN:R00480];aspartate-semialdehyde dehydrogenase [EC:1.2.1.11] [RN:R02291];4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7] [RN:R10147];4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8] [RN:R04198 R04199];2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase [EC:2.3.1.117] [RN:R04365];N-succinyldiaminopimelate aminotransferase [EC:2.6.1.17] [RN:R04475];succinyl-diaminopimelate desuccinylase [EC:3.5.1.18] [RN:R02734];diaminopimelate epimerase [EC:5.1.1.7] [RN:R02735];diaminopimelate decarboxylase [EC:4.1.1.20] [RN:R00451]",Pathway modules; Amino acid metabolism; Lysine metabolism,Lysine biosynthesis;Biosynthesis of amino acids;Metabolic pathways,C00049 -> C03082;C03082 -> C00441;C00441 -> C20258;C20258 -> C03972;C03972 -> C04462;C04462 -> C04421;C04421 -> C00666;C00666 -> C00680;C00680 -> C00047,"L-Aspartate;4-Phospho-L-aspartate;L-Aspartate 4-semialdehyde;(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate;2,3,4,5-Tetrahydrodipicolinate;N-Succinyl-2-L-amino-6-oxoheptanedioate;N-Succinyl-LL-2,6-diaminoheptanedioate;LL-2,6-Diaminoheptanedioate;meso-2,6-Diaminoheptanedioate;L-Lysine"
M00017,"Methionine biosynthesis, aspartate => homoserine => methionine","(K00928,K12524,K12525) K00133 (K00003,K12524,K12525) (K00651,K00641) K01739 (K01760,K14155) (K00548,K24042,K00549)",aspartate kinase [EC:2.7.2.4] [RN:R00480];aspartate-semialdehyde dehydrogenase [EC:1.2.1.11] [RN:R02291];homoserine dehydrogenase [EC:1.1.1.3] [RN:R01773 R01775];homoserine O-succinyltransferase [EC:2.3.1.46] [RN:R01777];cystathionine gamma-synthase [EC:2.5.1.48] [RN:R03260];cysteine-S-conjugate beta-lyase [EC:4.4.1.13] [RN:R01286];methionine synthase [EC:2.1.1.13 2.1.1.14] [RN:R00946 R04405],Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism,Cysteine and methionine metabolism;Biosynthesis of amino acids;Metabolic pathways,C00049 -> C03082;C03082 -> C00441;C00441 -> C00263;C00263 -> C01118;C01118 -> C02291;C02291 -> C00155;C00155 -> C00073,L-Aspartate;4-Phospho-L-aspartate;L-Aspartate 4-semialdehyde;L-Homoserine;O-Succinyl-L-homoserine;L-Cystathionine;L-Homocysteine;L-Methionine
M00018,"Threonine biosynthesis, aspartate => homoserine => threonine","(K00928,K12524,K12525,K12526) K00133 (K00003,K12524,K12525) (K00872,K02204,K02203) K01733",aspartate kinase [EC:2.7.2.4] [RN:R00480];aspartate-semialdehyde dehydrogenase [EC:1.2.1.11] [RN:R02291];homoserine dehydrogenase [EC:1.1.1.3] [RN:R01773 R01775];homoserine kinase [EC:2.7.1.39] [RN:R01771];threonine synthase [EC:4.2.3.1] [RN:R01466],Pathway modules; Amino acid metabolism; Serine and threonine metabolism,"Glycine, serine and threonine metabolism;Biosynthesis of amino acids;Metabolic pathways;Biosynthesis of secondary metabolites",C00049 -> C03082;C03082 -> C00441;C00441 -> C00263;C00263 -> C01102;C01102 -> C00188,L-Aspartate;4-Phospho-L-aspartate;L-Aspartate 4-semialdehyde;L-Homoserine;O-Phospho-L-homoserine;L-Threonine
M00019,"Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine","K01652+(K01653,K11258) K00053 K01687 K00826",acetolactate synthase [EC:2.2.1.6] [RN:R00226 R08648];ketol-acid reductoisomerase [EC:1.1.1.86] [RN:R05071 R04440 R04439 R05069 R05068];dihydroxy-acid dehydratase [EC:4.2.1.9] [RN:R04441 R05070];branched-chain amino acid aminotransferase [EC:2.6.1.42] [RN:R01214 R02199],Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism,"Valine, leucine and isoleucine biosynthesis;Pantothenate and CoA biosynthesis;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Metabolic pathways;Biosynthesis of secondary metabolites",C00022 -> C06010;C06010 -> C04181;C04181 -> C04272;C06010 -> C04272;C04272 -> C00141;C00141 -> C00183;C00109 -> C06006;C06006 -> C14463;C14463 -> C06007;C06007 -> C00671;C00671 -> C00407,"Pyruvate;(S)-2-Acetolactate;3-Hydroxy-3-methyl-2-oxobutanoic acid;(R)-2,3-Dihydroxy-3-methylbutanoate;3-Methyl-2-oxobutanoic acid;L-Valine;2-Oxobutanoate;(S)-2-Aceto-2-hydroxybutanoate;(R)-3-Hydroxy-3-methyl-2-oxopentanoate;(R)-2,3-Dihydroxy-3-methylpentanoate;(S)-3-Methyl-2-oxopentanoic acid;L-Isoleucine"
M00020,"Serine biosynthesis, glycerate-3P => serine","K00058 K00831 (K01079,K02203,K22305,K25528)",D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95] [RN:R01513];phosphoserine aminotransferase [EC:2.6.1.52] [RN:R04173];phosphoserine phosphatase [EC:3.1.3.3] [RN:R00582],Pathway modules; Amino acid metabolism; Serine and threonine metabolism,"Glycine, serine and threonine metabolism;Methane metabolism;Carbon metabolism;Biosynthesis of amino acids;Metabolic pathways",C00197 -> C03232;C03232 -> C01005;C01005 -> C00065,3-Phospho-D-glycerate;3-Phosphonooxypyruvate;O-Phospho-L-serine;L-Serine
M00021,"Cysteine biosynthesis, serine => cysteine","(K00640,K23304) (K01738,K13034,K17069)",serine O-acetyltransferase [EC:2.3.1.30] [RN:R00586];cysteine synthase [EC:2.5.1.47] [RN:R00897],Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism,Cysteine and methionine metabolism;Sulfur metabolism;Carbon metabolism;Biosynthesis of amino acids;Metabolic pathways;Biosynthesis of secondary metabolites,C00065 -> C00979;C00979 + C00283 -> C00097,L-Serine;O-Acetyl-L-serine;Hydrogen sulfide;L-Cysteine
M00022,"Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate","(K01626,K03856,K13853) (((K01735,K13829) ((K03785,K03786) K00014,K13832)),K13830) ((K00891,K13829) (K00800,K24018),K13830) K01736",3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54] [RN:R01826];3-dehydroquinate synthase [EC:4.2.3.4] [RN:R03083];3-dehydroquinate dehydratase [EC:4.2.1.10] [RN:R03084];shikimate 5-dehydrogenase [EC:1.1.1.25] [RN:R02413];shikimate kinase [EC:2.7.1.71] [RN:R02412];3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19] [RN:R03460];chorismate synthase [EC:4.2.3.5] [RN:R01714],Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of amino acids;Metabolic pathways;Biosynthesis of secondary metabolites",C00074 + C00279 -> C04691;C04691 -> C00944;C00944 -> C02637;C02637 -> C00493;C00493 -> C03175;C03175 -> C01269;C01269 -> C00251,Phosphoenolpyruvate;D-Erythrose 4-phosphate;2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate;3-Dehydroquinate;3-Dehydroshikimate;Shikimate;Shikimate 3-phosphate;5-O-(1-Carboxyvinyl)-3-phosphoshikimate;Chorismate
M00023,"Tryptophan biosynthesis, chorismate => tryptophan","(((K01657+K01658,K13503,K13501,K01656) K00766),K13497) (((K01817,K24017) (K01656,K01609)),K13498,K13501) (K01695+(K01696,K06001),K01694)",anthranilate synthase [EC:4.1.3.27] [RN:R00985 R00986];anthranilate phosphoribosyltransferase [EC:2.4.2.18] [RN:R01073];phosphoribosylanthranilate isomerase [EC:5.3.1.24] [RN:R03509];indole-3-glycerol phosphate synthase [EC:4.1.1.48] [RN:R03508];tryptophan synthase [EC:4.2.1.20] [RN:R02722],Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of amino acids;Metabolic pathways;Biosynthesis of secondary metabolites",C00251 -> C00108;C00108 -> C04302;C04302 -> C01302;C01302 -> C03506;C03506 -> C00078,Chorismate;Anthranilate;N-(5-Phospho-D-ribosyl)anthranilate;1-(2-Carboxyphenylamino)-1'-deoxy-D-ribulose 5'-phosphate;Indoleglycerol phosphate;L-Tryptophan
