module_id,name,definition,orthology,class,pathway,reaction,compound
M00144,"NADH:quinone oxidoreductase, prokaryotes","K00330+(K00331+K00332+K00333,K00331+K13378,K13380)+K00334+K00335+K00336+K00337+K00338+K00339+K00340+(K00341+K00342)+K00343",nuoA; NADH-quinone oxidoreductase subunit A [EC:7.1.1.2];nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2];nuoC; NADH-quinone oxidoreductase subunit C [EC:7.1.1.2];nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2];nuoCD; NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2];nuoBCD; NADH-quinone oxidoreductase subunit B/C/D [EC:7.1.1.2];nuoE; NADH-quinone oxidoreductase subunit E [EC:7.1.1.2];nuoF; NADH-quinone oxidoreductase subunit F [EC:7.1.1.2];nuoG; NADH-quinone oxidoreductase subunit G [EC:7.1.1.2];nuoH; NADH-quinone oxidoreductase subunit H [EC:7.1.1.2];nuoI; NADH-quinone oxidoreductase subunit I [EC:7.1.1.2];nuoJ; NADH-quinone oxidoreductase subunit J [EC:7.1.1.2];nuoK; NADH-quinone oxidoreductase subunit K [EC:7.1.1.2];nuoL; NADH-quinone oxidoreductase subunit L [EC:7.1.1.2];nuoM; NADH-quinone oxidoreductase subunit M [EC:7.1.1.2];nuoN; NADH-quinone oxidoreductase subunit N [EC:7.1.1.2],Pathway modules; Energy metabolism; ATP synthesis,Oxidative phosphorylation;Metabolic pathways,C00399 + C00004 + C00080 -> C00390 + C00003,Ubiquinone;NADH;H+;Ubiquinol;NAD+
M00145,"NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria",K05574+K05582+K05581+K05579+K05572+K05580+K05578+K05576+K05577+K05575+K05573-K05583-K05584-K05585,ndhC; NAD(P)H-quinone oxidoreductase subunit 3 [EC:7.1.1.2];ndhK; NAD(P)H-quinone oxidoreductase subunit K [EC:7.1.1.2];ndhJ; NAD(P)H-quinone oxidoreductase subunit J [EC:7.1.1.2];ndhH; NAD(P)H-quinone oxidoreductase subunit H [EC:7.1.1.2];ndhA; NAD(P)H-quinone oxidoreductase subunit 1 [EC:7.1.1.2];ndhI; NAD(P)H-quinone oxidoreductase subunit I [EC:7.1.1.2];ndhG; NAD(P)H-quinone oxidoreductase subunit 6 [EC:7.1.1.2];ndhE; NAD(P)H-quinone oxidoreductase subunit 4L [EC:7.1.1.2];ndhF; NAD(P)H-quinone oxidoreductase subunit 5 [EC:7.1.1.2];ndhD; NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2];ndhB; NAD(P)H-quinone oxidoreductase subunit 2 [EC:7.1.1.2];ndhL; NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2];ndhM; NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2];ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2],Pathway modules; Energy metabolism; ATP synthesis,Oxidative phosphorylation;Metabolic pathways,C00399 + C00004 + C00080 -> C00390 + C00003,Ubiquinone;NADH;H+;Ubiquinol;NAD+
M00146,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,K03945+K03946+K03947+K03948+K03949+K03950+K03951+K03952+K03953+K03954+K03955+K03956+K11352+K11353,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 1;NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 2;NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 3;NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 4;NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 5;NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 6;NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 7;NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 8;NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 9;NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10;NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1;NADH-ubiquinone oxidoreductase subunit;NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 12;NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 13,Pathway modules; Energy metabolism; ATP synthesis,Oxidative phosphorylation;Metabolic pathways,C00399 + C00004 + C00080 -> C00390 + C00003,Ubiquinone;NADH;H+;Ubiquinol;NAD+
M00147,NADH dehydrogenase (ubiquinone) 1 beta subcomplex,K03957+K03958+K03959+K03960+K03961+K03962+K03963+K03964+K03965+K03966+K11351+K03967+K03968,NADH dehydrogenase (ubiquinone) 1 beta subcomplex 1;NADH dehydrogenase (ubiquinone) 1 beta subcomplex 2;NADH dehydrogenase (ubiquinone) 1 beta subcomplex 3;NADH dehydrogenase (ubiquinone) 1 beta subcomplex 4;NADH dehydrogenase (ubiquinone) 1 beta subcomplex 5;NADH dehydrogenase (ubiquinone) 1 beta subcomplex 6;NADH dehydrogenase (ubiquinone) 1 beta subcomplex 7;NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8;NADH dehydrogenase (ubiquinone) 1 beta subcomplex 9;NADH dehydrogenase (ubiquinone) 1 beta subcomplex 10;NADH dehydrogenase (ubiquinone) 1 beta subcomplex 11;NADH dehydrogenase (ubiquinone) 1 subcomplex unknown 1;NADH dehydrogenase (ubiquinone) 1 subcomplex unknown 2,Pathway modules; Energy metabolism; ATP synthesis,Oxidative phosphorylation;Metabolic pathways,C00399 + C00004 + C00080 -> C00390 + C00003,Ubiquinone;NADH;H+;Ubiquinol;NAD+
M00148,Succinate dehydrogenase (ubiquinone),"K00236+(K00237,K25801)+K00234+K00235",SDHC; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit;SDHD; succinate dehydrogenase (ubiquinone) membrane anchor subunit;SDHA; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1];SDHB; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1],Pathway modules; Energy metabolism; ATP synthesis,Oxidative phosphorylation;Metabolic pathways,C00399 + C00042 -> C00390 + C00122,Ubiquinone;Succinate;Ubiquinol;Fumarate
M00149,"Succinate dehydrogenase, prokaryotes","K00241+(K00242,K18859,K18860)+K00239+K00240",sdhC; succinate dehydrogenase cytochrome b556 subunit;sdhD; succinate dehydrogenase membrane anchor subunit;sdhA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1];sdhB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1],Pathway modules; Energy metabolism; ATP synthesis,Oxidative phosphorylation;Metabolic pathways,C00042 + C15602 -> C00122 + C15603,Succinate;Quinone;Fumarate;Hydroquinone
M00150,"Fumarate reductase, prokaryotes",K00244+K00245+K00246+K00247,frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.1];frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.1];frdC; fumarate reductase subunit C;frdD; fumarate reductase subunit D,Pathway modules; Energy metabolism; ATP synthesis,Oxidative phosphorylation;Metabolic pathways,C00042 + C15602 -> C00122 + C15603,Succinate;Quinone;Fumarate;Hydroquinone
M00151,Cytochrome bc1 complex respiratory unit,"((K00412+K00413,K00410)+K00411),K03886+K03887+K03888,K03890+K03891+K03889","fbcH; ubiquinol-cytochrome c reductase cytochrome b/c1 subunit;UQCRFS1; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8];CYTB; ubiquinol-cytochrome c reductase cytochrome b subunit;CYC1; ubiquinol-cytochrome c reductase cytochrome c1 subunit;qcrA; quinol---cytochrome c reductase iron-sulfur subunit, bacillus type [EC:7.1.1.8];qcrB; quinol---cytochrome c reductase cytochrome b subunit, bacillus type [EC:7.1.1.8];qcrC; quinol---cytochrome c reductase cytochrome c subunit, bacillus type [EC:7.1.1.8];qcrA; quinol---cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8];qcrB; quinol---cytochrome-c reductase cytochrome b subunit [EC:7.1.1.8];qcrC; quinol---cytochrome-c reductase cytochrome c subunit [EC:7.1.1.8]",Pathway modules; Energy metabolism; ATP synthesis,Oxidative phosphorylation;Metabolic pathways,C15603 + 2 C00125 -> C15602 + 2 C00126 + 2 C00080,Hydroquinone;Ferricytochrome c;Quinone;Ferrocytochrome c;H+
M00152,Cytochrome bc1 complex,K00411+K00412+K00413+K00414+K00415+K00416+K00417+K00418+K00419+K00420,UQCRFS1; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8];CYTB; ubiquinol-cytochrome c reductase cytochrome b subunit;CYC1; ubiquinol-cytochrome c reductase cytochrome c1 subunit;QCR1; ubiquinol-cytochrome c reductase core subunit 1;QCR2; ubiquinol-cytochrome c reductase core subunit 2;QCR6; ubiquinol-cytochrome c reductase subunit 6;QCR7; ubiquinol-cytochrome c reductase subunit 7;QCR8; ubiquinol-cytochrome c reductase subunit 8;QCR9; ubiquinol-cytochrome c reductase subunit 9;QCR10; ubiquinol-cytochrome c reductase subunit 10,Pathway modules; Energy metabolism; ATP synthesis,Oxidative phosphorylation;Metabolic pathways,C00390 + 2 C00125 -> C00399 + 2 C00126 + 2 C00080,Ubiquinol;Ferricytochrome c;Ubiquinone;Ferrocytochrome c;H+
M00153,Cytochrome bd ubiquinol oxidase,"K00425+K00426+(K00424,K22501)",cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7];cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7];cytochrome bd-I ubiquinol oxidase subunit X [EC:7.1.1.7];cytochrome bd-II ubiquinol oxidase subunit AppX [EC:7.1.1.7],Pathway modules; Energy metabolism; ATP synthesis,Oxidative phosphorylation,2 C00390 + C00007 -> 2 C00399 + 2 C00001,Ubiquinol;Oxygen;H+;Ubiquinone;H2O
M00154,Cytochrome c oxidase,(K02257+K02262+K02256+K02261+K02263+K02264+K02265+K02266+K02267+K02268+K02270-K02271+K02272-K02273+K02258+K02259+K02260),COX10; protoheme IX farnesyltransferase [EC:2.5.1.141];COX3; cytochrome c oxidase subunit 3;COX1; cytochrome c oxidase subunit 1 [EC:7.1.1.9];COX2; cytochrome c oxidase subunit 2;COX4; cytochrome c oxidase subunit 4;COX5A; cytochrome c oxidase subunit 5a;COX5B; cytochrome c oxidase subunit 5b;COX6A; cytochrome c oxidase subunit 6a;COX6B; cytochrome c oxidase subunit 6b;COX6C; cytochrome c oxidase subunit 6c;COX7A; cytochrome c oxidase subunit 7a;COX7B; cytochrome c oxidase subunit 7b;COX7C; cytochrome c oxidase subunit 7c;COX8; cytochrome c oxidase subunit 8;COX11; cytochrome c oxidase assembly protein subunit 11;COX15; cytochrome c oxidase assembly protein subunit 15;COX17; cytochrome c oxidase assembly protein subunit 17,Pathway modules; Energy metabolism; ATP synthesis,Oxidative phosphorylation;Metabolic pathways,C00007 + 4 C00126 + 4 C00080 -> 4 C00125 + 2 C00001,Oxygen;Ferrocytochrome c;H+;Ferricytochrome c;H2O
