compound,kegg_cid
D-Mannosamine,C01170
D-Mannosamine,C03521
D-Mannosamine,C03570
D-Mannosamine,C04257
D-Mannosamine,C04336
L-Phenylalanine,C00079
D-Phenylalanine,C02265
D-Raffinose,C00492
L-Serine,C00065
D-Serine,C00740
L-Threonine,C00188
D-Threonine,C00820
Dulcitol,C01697
L-Valine,C00183
D-Valine,C06417
Enterodiol,C18166
Esculetin,C09263
"Estradiol-3,4-quinone",C22358
Estriol,C05141
Ethylbenzene,C07111
Eucalyptol,C09844
Euparin methyl ether,C08762
Eupatoriochromene,C09006
Ferulic acid,C01494
Gallocatechin,C12127
gamma-Glutamylglutamate,C05282
gamma-Glutamylglutamate,C20948
gamma-Glutamylglutamine,C05283
Genipin,C09780
Glycitein,C14536
Guanine,C00242
Guanine,C01977
Guanosine,C00387
Hexadecanedioic acid,C19615
Hypaphorine,C09213
Hypoxanthine,C00262
Hypoxanthine,C20451
Hypoxanthine,C22574
γ-Aminobutyric acid,C00334
Inosine,C00294
inosinum,C00294
Isoferulic acid,C10470
Isoleucine,C00407
Isoleucine,C06418
Isoleucine,C16434
Isophorone,C14743
Jasmonic acid,C08491
Laurenoniolide,C09492
D-Carnitine,C15025
L-Carnitine,C00318
L-Citrulline,C00327
D-Glutamine,C00819
L-Glutamine,C00064
L-Homocitrulline,C02427
L-Methionine,C00073
D-Proline,C00763
L-Proline,C00148
D-Pyroglutamic acid,C02237
L-Pyroglutamic acid,C01879
D-Tryptophan,C00525
L-Tryptophan,C00078
L-Tyrosine,C00082
Maleic acid,C01384
Maltotetraose,C02052
Maltotriose,C01835
Mannitol,C00392
melitose,C00492
Methyl 3-hydroxybutyrate,C14861
"Methyl 5-(but-3-en-1-yl)amino-1,3,4-oxadiazole-2-carboxylate",C12245
Mevalonic acid,C00418
Mevalonic acid,C02104
Miglitol,C07708
mycophenolate,C20380
N6-Acetyl-L-lysine,C01997
N6-Acetyl-L-lysine,C02727
N6-Acetyl-L-lysine,C04149
N6-Acetyl-L-lysine,C20743
N-Acetyl-D-galactosamine,C01132
N-Acetyl-D-mannosamine,C00645
N-acetylmuramic acid 6-phosphate,C16698
N-acetylornithine,C00437
Nevirapine,C07263
N-Glycosyl-L-asparagine,C03411
Nicotianamine,C05324
Nicotinic acid,C00253
Nivalenol,C06080
O-Acetyl-L-carnitine,C02571
Obacunone,C08775
O-Phospho-L-tyrosine,C06501
Palmitoleic acid,C08362
Palmitoleic Acid,C08362
p-Coumaryl alcohol 4-O-glucoside,C05855
Penicillic acid,C16804
Penicillic acid,C19495
Phloretin,C00774
Phloroglucinol,C02183
Picein,C10720
Pipecolic acid,C00408
Piperaduncin B,C09829
poly(galactosylglycerol phosphate),C04641
Prolylglycine,C10378
Propyl gallate,C11155
Prosulfocarb,C18760
Protoanemonin,C07090
Pyrogallol,C01108
Resorcinol diglycidyl ether,C19228
Rotenalone,C10464
Sarcosine,C00213
Scoparone,C09311
Scopoletin,C01752
Sinapic acid,C00482
Stigmatellin Y,C12150
Succinic acid,C00042
Sucrose,C00089
Sulfometuron,C18895
Sumatrol,C10532
Syringic acid,C10833
Tetracenomycin A2,C12371
Tetracycline,C06570
Tetrahydrocortisone,C05470
Thymine,C00178
Toxin B1,C20018
Toxol,C08979
trans-Urocanic Acid,C00785
Trehalose 2-sulfate,C20985
Triethanolamine,C06771
Triethylenephosphoramide,C19543
Trigonelline,C01004
Trinexapac,C18541
Triptolide,C09204
Tris(2-butoxyethyl) phosphate,C14446
Tromethamine,C07182
Tutin,C09570
Umbelliferone,C09315
Uracil,C00106
Uracil,C00868
Uridine,C00299
urocanate,C00785
Vanillic acid,C06672
Veraguensin,C10892
Viloxazine,D08673
