MAG,KO,dry,wet,Contrib.dry,Contrib.wet,Contrib,GroupContrib,color,importance,component,Domain,Phylum,Class,Order,Family,Genus,Species,name,pathway,reaction,brite,db_links
DNA-6_bin_31_1,K16710,1.2880203925933398,-0.6440101962966699,TRUE,FALSE,FALSE,dry,#388ECC,-0.13851923615785083,comp1,Bacteria,Desulfobacterota,"Unassigned Class 
of Desulfobacterota",NA,NA,NA,NA,colanic acid/amylovoran biosynthesis protein WcaK/AmsJ,Exopolysaccharide biosynthesis,NA,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09107 Glycan biosynthesis and metabolism;   00543 Exopolysaccharide biosynthesis;    K16710  wcaK, amsJ; colanic acid/amylovoran biosynthesis protein WcaK/AmsJ",COG: COG2327
bcn_bin_29_1,K00527,1.346614662703522,-0.673307331351761,TRUE,FALSE,FALSE,dry,#388ECC,-0.13781624332789255,comp1,Bacteria,Actinomycetota,UBA4738,CADDZG01,WHSQ01,NA,NA,NA,NA,NA,NA,NA
bco_bin_115,K00034,1.350973742145471,-0.6754868710727355,TRUE,FALSE,FALSE,dry,#388ECC,-0.13004623771779664,comp1,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,JACVRW01,NA,glucose 1-dehydrogenase [EC:1.1.1.47],Pentose phosphate pathway;Metabolic pathways;Microbial metabolism in diverse environments;Carbon metabolism,beta-D-glucose:NAD+ 1-oxoreductase;beta-D-glucose:NADP+ 1-oxoreductase,KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09101 Carbohydrate metabolism;   00030 Pentose phosphate pathway;    K00034  gdh; glucose 1-dehydrogenase;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.1  Acting on the CH-OH group of donors;   1.1.1  With NAD+ or NADP+ as acceptor;    1.1.1.47  glucose 1-dehydrogenase [NAD(P)+];     K00034  gdh; glucose 1-dehydrogenase,COG: COG1028;GO: 0047936
bco_bin_3,K00527,1.3599500134871632,-0.6799750067435816,TRUE,FALSE,FALSE,dry,#388ECC,-0.1298988933277757,comp1,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,NA,NA,NA,NA,NA,NA,NA,NA
bco_bin_199,K04564,1.346701901691398,-0.673350950845699,TRUE,FALSE,FALSE,dry,#388ECC,-0.12817201866948502,comp1,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,JACVRW01,NA,"superoxide dismutase, Fe-Mn family [EC:1.15.1.1]",MAPK signaling pathway - fly;FoxO signaling pathway;Peroxisome;Longevity regulating pathway;Longevity regulating pathway - worm;Longevity regulating pathway - multiple species;Huntington disease;Chemical carcinogenesis - reactive oxygen species;Lipid and atherosclerosis,NA,"KEGG Orthology (KO) [BR:ko00001]; 09130 Environmental Information Processing;  09132 Signal transduction;   04013 MAPK signaling pathway - fly;    K04564  SOD2; superoxide dismutase, Fe-Mn family;   04068 FoxO signaling pathway;    K04564  SOD2; superoxide dismutase, Fe-Mn family; 09140 Cellular Processes;  09141 Transport and catabolism;   04146 Peroxisome;    K04564  SOD2; superoxide dismutase, Fe-Mn family; 09150 Organismal Systems;  09149 Aging;   04211 Longevity regulating pathway;    K04564  SOD2; superoxide dismutase, Fe-Mn family;   04212 Longevity regulating pathway - worm;    K04564  SOD2; superoxide dismutase, Fe-Mn family;   04213 Longevity regulating pathway - multiple species;    K04564  SOD2; superoxide dismutase, Fe-Mn family; 09160 Human Diseases;  09161 Cancer: overview;   05208 Chemical carcinogenesis - reactive oxygen species;    K04564  SOD2; superoxide dismutase, Fe-Mn family;  09164 Neurodegenerative disease;   05016 Huntington disease;    K04564  SOD2; superoxide dismutase, Fe-Mn family;  09166 Cardiovascular disease;   05417 Lipid and atherosclerosis;    K04564  SOD2; superoxide dismutase, Fe-Mn family;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.15  Acting on superoxide as acceptor;   1.15.1  Acting on superoxide as acceptor (only sub-subclass identified to date);    1.15.1.1  superoxide dismutase;     K04564  SOD2; superoxide dismutase, Fe-Mn family",COG: COG0605;GO: 0008384
bcn_bin_43,K07636,-1.321105254362158,0.6605526271810789,FALSE,TRUE,FALSE,wet,#F68B33,0.11976892542228024,comp1,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,NA,NA,NA,"two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]",Two-component system,NA,"KEGG Orthology (KO) [BR:ko00001]; 09130 Environmental Information Processing;  09132 Signal transduction;   02020 Two-component system;    K07636  phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01001 Protein kinases;    K07636  phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR;  09183 Protein families: signaling and cellular processes;   02022 Two-component system;    K07636  phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR;Enzymes [BR:ko01000]; 2. Transferases;  2.7  Transferring phosphorus-containing groups;   2.7.13  Protein-histidine kinases;    2.7.13.3  histidine kinase;     K07636  phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR;Protein kinases [BR:ko01001]; Histidine kinases;  OmpR family;   K07636  phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR;Two-component system [BR:ko02022]; OmpR family;  PhoR-PhoB (phosphate starvation response);   K07636  phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR",COG: COG0642;GO: 0000155
bcn_bin_156_1,K11927,-1.3481725516500458,0.6740862758250231,FALSE,TRUE,FALSE,wet,#F68B33,0.11937204727129656,comp1,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomicrobium,NA,ATP-dependent RNA helicase RhlE [EC:3.6.4.13],RNA degradation,NA,"KEGG Orthology (KO) [BR:ko00001]; 09120 Genetic Information Processing;  09123 Folding, sorting and degradation;   03018 RNA degradation;    K11927  rhlE; ATP-dependent RNA helicase RhlE; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03019 Messenger RNA biogenesis;    K11927  rhlE; ATP-dependent RNA helicase RhlE;Enzymes [BR:ko01000]; 3. Hydrolases;  3.6  Acting on acid anhydrides;   3.6.4  Acting on acid anhydrides to facilitate cellular and subcellular movement;    3.6.4.13  RNA helicase;     K11927  rhlE; ATP-dependent RNA helicase RhlE;Messenger RNA biogenesis [BR:ko03019]; Prokaryotic type;  Bacterial mRNA degradation factors;   RNA degradosome components;    Helicases;     K11927  rhlE; ATP-dependent RNA helicase RhlE",COG: COG0513
bcn_bin_97,K02650,-1.33722304930202,0.6686115246510098,FALSE,TRUE,FALSE,wet,#F68B33,0.11540417214670456,comp1,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,NA,type IV pilus assembly protein PilA,Two-component system,NA,KEGG Orthology (KO) [BR:ko00001]; 09130 Environmental Information Processing;  09132 Signal transduction;   02020 Two-component system;    K02650  pilA; type IV pilus assembly protein PilA; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   02044 Secretion system;    K02650  pilA; type IV pilus assembly protein PilA;   02035 Bacterial motility proteins;    K02650  pilA; type IV pilus assembly protein PilA;Secretion system [BR:ko02044]; Type II secretion system;  Pilin secretion/fimbrial assembly protein;   K02650  pilA; type IV pilus assembly protein PilA;Bacterial motility proteins [BR:ko02035]; Pilus system;  Pilus assembly proteins;   K02650  pilA; type IV pilus assembly protein PilA,COG: COG2165;TC: 3.A.15.2
bcn_bin_14_1,K04564,1.358159963204214,-0.6790799816021069,TRUE,FALSE,FALSE,dry,#388ECC,-0.11514483437421193,comp1,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA,"superoxide dismutase, Fe-Mn family [EC:1.15.1.1]",MAPK signaling pathway - fly;FoxO signaling pathway;Peroxisome;Longevity regulating pathway;Longevity regulating pathway - worm;Longevity regulating pathway - multiple species;Huntington disease;Chemical carcinogenesis - reactive oxygen species;Lipid and atherosclerosis,NA,"KEGG Orthology (KO) [BR:ko00001]; 09130 Environmental Information Processing;  09132 Signal transduction;   04013 MAPK signaling pathway - fly;    K04564  SOD2; superoxide dismutase, Fe-Mn family;   04068 FoxO signaling pathway;    K04564  SOD2; superoxide dismutase, Fe-Mn family; 09140 Cellular Processes;  09141 Transport and catabolism;   04146 Peroxisome;    K04564  SOD2; superoxide dismutase, Fe-Mn family; 09150 Organismal Systems;  09149 Aging;   04211 Longevity regulating pathway;    K04564  SOD2; superoxide dismutase, Fe-Mn family;   04212 Longevity regulating pathway - worm;    K04564  SOD2; superoxide dismutase, Fe-Mn family;   04213 Longevity regulating pathway - multiple species;    K04564  SOD2; superoxide dismutase, Fe-Mn family; 09160 Human Diseases;  09161 Cancer: overview;   05208 Chemical carcinogenesis - reactive oxygen species;    K04564  SOD2; superoxide dismutase, Fe-Mn family;  09164 Neurodegenerative disease;   05016 Huntington disease;    K04564  SOD2; superoxide dismutase, Fe-Mn family;  09166 Cardiovascular disease;   05417 Lipid and atherosclerosis;    K04564  SOD2; superoxide dismutase, Fe-Mn family;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.15  Acting on superoxide as acceptor;   1.15.1  Acting on superoxide as acceptor (only sub-subclass identified to date);    1.15.1.1  superoxide dismutase;     K04564  SOD2; superoxide dismutase, Fe-Mn family",COG: COG0605;GO: 0008384
DNA-1_bin_54,K14393,1.312450357221853,-0.6562251786109267,TRUE,FALSE,FALSE,dry,#388ECC,-0.11089089430332943,comp1,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,JACVRW01,NA,cation/acetate symporter,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   02000 Transporters;    K14393  actP; cation/acetate symporter;Transporters [BR:ko02000]; Other transporters;  Electrochemical potential-driven transporters;   K14393  actP; cation/acetate symporter,COG: COG4147;GO: 0015123;TC: 2.A.21.7
