FeatureID,dry,wet,Contrib.dry,Contrib.wet,Contrib,GroupContrib,color,importance,component,Name,Formula,Annotation_level,use_Sirius_class
FT_1.310_180.08674,0.842257648374719,-0.42112882418736486,TRUE,FALSE,FALSE,dry,#388ECC,-0.06309071013423372,comp1,"(3S)-2-hydroxy-2,3-dimethylbutanedioic acid",C6H10O5,L2.2,no
FT_1.774_72.08080,-0.8406158458470111,0.4203079229235035,FALSE,TRUE,FALSE,wet,#F68B33,0.06126458055840731,comp1,3-Buten-1-amine,C4H9N,L2.2,no
FT_6.845_166.08628,-0.837794512323471,0.41889725616173606,FALSE,TRUE,FALSE,wet,#F68B33,0.060739551234230645,comp1,D-Phenylalanine,C9H11NO2,L1,no
FT_1.745_204.12300,0.8705214510967583,-0.43526072554837975,TRUE,FALSE,FALSE,dry,#388ECC,-0.060451162398571616,comp1,Acetylcarnitine,C9H17NO4,L2.1,no
FT_18.821_297.24243,-0.8506457953203095,0.4253228976601539,FALSE,TRUE,FALSE,wet,#F68B33,0.06016561340078633,comp1,NP-008993,C18H34O4,L2.1,no
FT_1.155_335.07393,0.8379961086353281,-0.41899805431766024,TRUE,FALSE,FALSE,dry,#388ECC,-0.05912605931399706,comp1,no name,C9H19O11P,L3.3,yes
FT_1.141_162.11250,-0.8227076194834113,0.4113538097417056,FALSE,TRUE,FALSE,wet,#F68B33,0.05902857348907509,comp1,L-Carnitine,C7H15NO3,L1,no
FT_1.774_118.08621,-0.8339890153132246,0.4169945076566125,FALSE,TRUE,FALSE,wet,#F68B33,0.05882794916492126,comp1,D-Valine,C5H11NO2,L1,no
FT_1.412_522.20299,0.7811230285662789,-0.3905615142831399,TRUE,FALSE,FALSE,dry,#388ECC,-0.05872067749254451,comp1,Maltotriose,C18H32O16,L1,no
FT_1.413_522.20300,0.7811230285662789,-0.3905615142831399,TRUE,FALSE,FALSE,dry,#388ECC,-0.05872067749254451,comp1,D-(+)-Raffinose,C18H32O16,L1,no
FT_4.181_267.05877,0.8376906409438548,-0.4188453204719285,TRUE,FALSE,FALSE,dry,#388ECC,-0.057059148263511744,comp1,6-(3-hydroxybutan-2-yl)-5-(hydroxymethyl)-4-methoxy-2H-pyran-2-one,C11H16O5,L2.3,no
FT_7.703_266.12479,-0.8501074269277054,0.42505371346385595,FALSE,TRUE,FALSE,wet,#F68B33,0.05672181306506448,comp1,N6-Me-dA,C11H15N5O3,L2.1,no
FT_1.774_469.09629,0.8140218692006836,-0.4070109346003434,TRUE,FALSE,FALSE,dry,#388ECC,-0.056623316026118885,comp1,Neocretanin,C20H20O13,L2.3,no
FT_1.222_313.14287,-0.7993699020068324,0.39968495100341517,FALSE,TRUE,FALSE,wet,#F68B33,0.0554218439373794,comp1,N-(2-methoxyphenyl)-N~3~-9H-purin-6-yl-beta-alaninamide,C15H16N6O2,L2.3,no
FT_12.931_209.08086,0.8152045295753363,-0.4076022647876622,TRUE,FALSE,FALSE,dry,#388ECC,-0.053420882979164,comp1,"6-Hydroxy-8-methoxy-3-methyl-3,4-dihydro-1H-isochromen-1-one",C11H12O4,L2.1,no
FT_1.420_246.14481,0.7487900366803182,-0.3743950183401611,TRUE,FALSE,FALSE,dry,#388ECC,-0.052876861785621176,comp1,Gln-Val,C10H19N3O4,L2.3,no
FT_18.213_277.21623,-0.7842209532469091,0.39211047662345655,FALSE,TRUE,FALSE,wet,#F68B33,0.051753363129998425,comp1,"1,4a,7-Trimethyl-2,3,4,4b,5,6,7,9,10,10a-decahydrophenanthrene-1-carboxylic acid",C18H28O2,L2.3,no
FT_18.816_279.23187,-0.8057897434759188,0.402894871737962,FALSE,TRUE,FALSE,wet,#F68B33,0.051019726991511395,comp1,Pinolenic acid,C18H30O2,L2.1,no
FT_17.117_249.11211,0.7621170159174591,-0.3810585079587333,TRUE,FALSE,FALSE,dry,#388ECC,-0.05094953228776554,comp1,NP-021018,C12H18O4,L2.1,no
FT_1.676_349.11061,0.7786053766933593,-0.3893026883466805,TRUE,FALSE,FALSE,dry,#388ECC,-0.05083428136271861,comp1,no name,C10H16N6O8,L3.2,no
FT_1.264_374.12946,0.8423715900291047,-0.4211857950145495,TRUE,FALSE,FALSE,dry,#388ECC,-0.05036086256016933,comp1,no name,C12H23NO12,L3.3,no
FT_10.539_209.11480,-0.758544502328467,0.3792722511642326,FALSE,TRUE,FALSE,wet,#F68B33,0.05014518366791539,comp1,NP-011223,C10H18O3,L2.1,no
FT_1.786_448.16613,0.7779465847053393,-0.38897329235266964,TRUE,FALSE,FALSE,dry,#388ECC,-0.04955963912181412,comp1,no name,C23H21N5O6,L3.3,no
FT_1.310_325.11303,0.744150449280127,-0.37207522464006076,TRUE,FALSE,FALSE,dry,#388ECC,-0.048041784918118266,comp1,"3,6-Anhydro-l-lactose",C12H20O10,L2.2,no
FT_7.691_227.12538,-0.7506354079401926,0.3753177039700949,FALSE,TRUE,FALSE,wet,#F68B33,0.047424723040237114,comp1,2-[(3S)-1-(cyclohexylmethyl)pyrrolidin-3-yl]-3H-benzimidazole-5-carbonitrile,C19H24N4,L2.3,no
FT_1.310_360.15014,0.7342176567722092,-0.367108828386111,TRUE,FALSE,FALSE,dry,#388ECC,-0.04678506699806931,comp1,D-(+)-Cellobiose,C12H22O11,L1,no
FT_10.758_207.09912,-0.7411897056134394,0.37059485280672505,FALSE,TRUE,FALSE,wet,#F68B33,0.044646833373408475,comp1,Senkyunolide H,C12H16O4,L2.1,no
FT_6.817_282.08332,-0.7970284086587706,0.398514204329385,FALSE,TRUE,FALSE,wet,#F68B33,0.04441554813871684,comp1,Guanosine dialdehyde,C10H11N5O5,L2.3,no
FT_1.432_453.12162,0.7376070383053048,-0.3688035191526489,TRUE,FALSE,FALSE,dry,#388ECC,-0.04379085762237384,comp1,no name,C17H24O14,L3.3,no
FT_2.389_184.05804,0.7132063927641157,-0.35660319638206195,TRUE,FALSE,FALSE,dry,#388ECC,-0.04336505760790367,comp1,"7-methylpyrimido[4,5-d]pyrimidin-4-amine",C7H7N5,L2.1,no
FT_8.058_227.12537,-0.7240816874740896,0.3620408437370469,FALSE,TRUE,FALSE,wet,#F68B33,0.041644736842962576,comp1,"(6R)-2-amino-6-(aminomethyl)-4-oxo-1,2,3,4a,6,7-hexahydropteridine-5-carbaldehyde",C8H14N6O2,L2.3,no
FT_10.898_185.11722,-0.7188015480722928,0.3594007740361445,FALSE,TRUE,FALSE,wet,#F68B33,0.041593017737186454,comp1,"(2,2,3-Trimethyl-4-oxocyclopentyl)acetic acid",C10H16O3,L2.3,no
FT_15.224_219.10156,-0.7216524861012452,0.3608262430506241,FALSE,TRUE,FALSE,wet,#F68B33,0.04141132575144243,comp1,"1-(4-Hydroxy-2-prop-1-en-2-yl-2,3-dihydro-1-benzofuran-5-yl)ethanone",C13H14O3,L2.3,no
FT_1.124_522.20317,0.7310024005625084,-0.36550120028125366,TRUE,FALSE,FALSE,dry,#388ECC,-0.04065913097225595,comp1,D-Melezitose,C18H32O16,L1,no
FT_11.565_223.09649,0.7292333079400353,-0.36461665397001847,TRUE,FALSE,FALSE,dry,#388ECC,-0.040323194608263474,comp1,"3-(3,4,5-trimethoxyphenyl)propanoic acid",C12H16O5,L2.1,no
FT_7.372_192.10192,-0.7770440668674171,0.3885220334337086,FALSE,TRUE,FALSE,wet,#F68B33,0.040314905594093044,comp1,"Acetic acid, 2-(p-(allylamino)phenyl)-",C11H13NO2,L2.3,no
FT_6.231_137.04577,0.7654159929327382,-0.3827079964663702,TRUE,FALSE,FALSE,dry,#388ECC,-0.03980609255953883,comp1,Hypoxanthine,C5H4N4O,L2.1,no
FT_1.309_85.02847,0.7353372082022978,-0.36766860410115365,TRUE,FALSE,FALSE,dry,#388ECC,-0.03945481790243826,comp1,2(5H)-Furanone,C4H4O2,L2.2,no
FT_1.386_218.14992,0.7349240815010427,-0.36746204075052274,TRUE,FALSE,FALSE,dry,#388ECC,-0.038081118105940594,comp1,(2S)-2-amino-6-[[(2S)-2-aminopropanoyl]amino]hexanoic acid,C9H19N3O3,L2.3,no
