month,genome,geTMM_month,mean_zs,order,Domain,Phylum,Class,Order,Family,Genus,Species
October,DNA-1_bin_47_1,294.03167276830175,-0.7648175209416233,3,Bacteria,Chloroflexota,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,NA,NA
October,DNA-1_bin_49_1,65.2150253402817,-1.041046066114805,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,13-2-20CM-66-19,NA
October,DNA-1_bin_50,74.04075270785674,-0.9643237470686925,2,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,SZUA-265,NA
October,DNA-1_bin_51_1,421.5034229478943,-1.5341026421545267,2,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,NA,NA
October,DNA-1_bin_52_1,333.7447310109592,-0.5604997230800329,3,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,70-9,AC-56,NA
October,DNA-1_bin_53_1,18241.711436933558,0.8430649698883023,1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,NA
October,DNA-1_bin_54,8149.872447287767,-0.13638136599459116,1,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,JACVRW01,NA
October,DNA-1_bin_55_1,864.6018544588904,-1.3631792633549888,2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-465,NA
October,DNA-1_bin_59_1,2575.530039972177,1.1077963052846607,1,Bacteria,Actinomycetota,UBA4738,UBA4738,NA,NA,NA
October,DNA-1_bin_7,363.9129914545742,-1.5112373431038533,2,Bacteria,Actinomycetota,UBA4738,UBA4738,JACQTL01,NA,NA
October,DNA-1_bin_8,20956.889991879332,1.6455131830998464,3,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,NA,NA
October,DNA-4_bin_11,1443.4121319538617,-1.2179674423995057,2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA
October,DNA-4_bin_12_1,10519.957757723765,-1.0966779016886463,2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Natronosporangium,NA
October,DNA-4_bin_14_1,24362.66591101621,1.0348000625735654,1,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,JALYGY01,NA
October,DNA-4_bin_15_1,363.7950078335642,-1.2385935890573039,2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,3-1-20CM-4-69-9,NA
October,DNA-4_bin_17,16055.818364008477,-1.2891461056274196,2,Bacteria,Actinomycetota,NA,NA,NA,NA,NA
October,DNA-4_bin_18,699.6843247949536,-1.0807044023980847,2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,70-9,NA,NA
October,DNA-4_bin_1_1,823.7385156260268,-0.9935384500816165,2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA
October,DNA-4_bin_27_1,1162.8182113610696,-1.0124260589253793,1,Bacteria,Actinomycetota,Nitriliruptoria,Euzebyales,NA,NA,NA
October,DNA-4_bin_7_1,482.97545558709453,-1.1152118885004279,2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,NA,NA
October,DNA-6_bin_10_1,21109.371947542964,-0.8420503683102335,2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Pseudonocardia,NA
October,DNA-6_bin_14_1,247.6068942850033,-0.8518766107364542,2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,NA,NA
October,DNA-6_bin_18_1,597.593463795966,1.9955991842354532,1,Bacteria,Chloroflexota,UBA6077,UBA6077,NA,NA,NA
October,DNA-6_bin_19_1,83.55569479194767,-0.7536449215496769,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella_B,NA
October,DNA-6_bin_31_1,1285.033291639002,-2.0060898321862024,2,Bacteria,Desulfobacterota,NA,NA,NA,NA,NA
October,DNA-6_bin_33_1,200.29260300328502,-1.5054945342649195,2,Bacteria,Desulfobacterota_B,Binatia,UBA9968,UBA9968,DP-1,NA
October,DNA-6_bin_34_1,20.47305960545788,-0.883034685065816,2,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,NA
October,DNA-6_bin_35_1,139.38597631090605,-1.067718551685494,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,13-2-20CM-66-19,NA
October,DNA-6_bin_37_1,1064.1341341982609,-1.1171780327304788,2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA
October,DNA-6_bin_38_1,312.5071577088773,-1.59804096782754,2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA
October,DNA-6_bin_42_1,175.37756378952233,-1.013491318794119,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Trinickia,NA
October,DNA-6_bin_44_1,4172.28602250868,-1.4653664237626096,2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,NA
October,DNA-6_bin_48_1,8021.422863882804,1.0377107306699231,1,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,GCA-003244245,NA
October,DNA-6_bin_5_1,2410.909380468497,-1.3786473478218602,2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,JACVRW01,NA
October,DNA-8_bin_11_1,1676.3582259753687,0.9363642821358753,3,Bacteria,Pseudomonadota,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,NA
October,DNA-8_bin_14,283.51655055331486,-1.4146115324996629,2,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,NA,NA
October,DNA-8_bin_19,621.5479000668176,-0.01749608321092752,1,Bacteria,Pseudomonadota,Gammaproteobacteria,JACCYU01,JACCYU01,NA,NA
October,DNA-8_bin_23_1,1281.0985425107954,-1.23915351469919,2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA
October,DNA-8_bin_28,5896.298377030896,-0.794028466949496,2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Pseudonocardia,NA
October,DNA-8_bin_29,982.6904941259644,-1.0532460663538221,2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA
October,DNA-8_bin_30_1,11378.53155566199,-1.1270902268463068,2,Bacteria,Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA
October,DNA-8_bin_35_1,4636.218370507027,-0.9522200995687198,2,Bacteria,Actinomycetota,Actinomycetes,NA,NA,NA,NA
October,DNA-8_bin_39_1,1080.7791341378381,0.9653375877900697,1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,TH5893,NA
October,DNA-8_bin_7_1,2913.722516188396,-0.6513852379402488,2,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,NA,NA
October,bcn_bin_10,1029.4843110844497,-1.8849993385644555,2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA
October,bcn_bin_100_1,4717.581146985366,1.3956536446456052,1,Bacteria,Chloroflexota,Dehalococcoidia,CAUJGQ01,CAUJGQ01,NA,NA
October,bcn_bin_103_1,677.1206891698514,-0.8486305847629908,2,Bacteria,Myxococcota,Polyangia,Polyangiales,JAFGIB01,NA,NA
October,bcn_bin_105_1,260.78964917147516,0.5284834577581439,1,Bacteria,Actinomycetota,UBA4738,CADDZG01,WHSQ01,NA,NA
October,bcn_bin_106_1,1412.8784424359865,-1.6077229721254631,2,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,QHXN01,NA
October,bcn_bin_110_1,817.4706578652728,-1.3914961250247218,2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA
October,bcn_bin_114,642.9714306791769,-1.041941828645581,3,Bacteria,Chloroflexota,UBA6077,UBA6077,CF-72,CF-72,NA
October,bcn_bin_115,3241.469728289192,-1.5180166833369546,2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,NA,NA
October,bcn_bin_116,635.7299593001959,-1.4992040618915785,2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA
October,bcn_bin_123,99.9941085116229,-1.2435662111249297,2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA
October,bcn_bin_124,8713.392600145016,0.11009015537143405,1,Bacteria,Chloroflexota,UBA6077,UBA6077,JACCZL01,NA,NA
October,bcn_bin_125_1,538.1566082286929,-1.0647712604582151,2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,NA,NA
October,bcn_bin_126,131.19879204671903,-1.2861271318536993,2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA
October,bcn_bin_130_1,209.89422957986105,-0.8695696566374341,2,Bacteria,Actinomycetota,Acidimicrobiia,IMCC26256,JACDBD01,NA,NA
October,bcn_bin_131_1,353.79766391153333,-1.154405290581645,2,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,CSP1-6,NA,NA
October,bcn_bin_133,2898.3299158701075,-0.3893697497212189,2,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,JAJTCL01,NA
