FeatureID,Formula_CD,Potential_fragment,Formula_sirius,Formula_cmmrt,zscore_cmmrt,name_cmmrt,cd_vs_sirius,cd_vs_cmmrt,cmmrt_vs_sirius,Notes_name,Sirius_structure_percentage,use_Sirius_class,Final_name,Keep_formula,Final_annotation_comment
FT_11.492_225.07575,C11 H12 O5,NA,C11 H12 O5,C11 H12 O5,1.8492812,Reticulone,TRUE,TRUE,TRUE,keeping SIRIUS,67.84,na,"1-(3-Acetyl-2,4-dihydroxy-6-methoxyphenyl)ethan-1-one",C11 H12 O5,L3.3
FT_11.492_253.07066,C12 H12 O6,NA,C12 H12 O6,C12 H12 O6,2.3488522,2-O-(Z-p-Hydroxycinnamoyl)-(x)-glyceric acid,TRUE,TRUE,TRUE,keeping SIRIUS,49.36,na,Phloroglucinol triacetate,C12 H12 O6,L3.3
FT_11.492_253.07066,C12 H12 O6,NA,C12 H12 O6,C12 H12 O6,1.4455746,"3-(4,7-Dimethoxy-1,3-benzodioxol-5-yl)prop-2-enoic acid",TRUE,TRUE,TRUE,keeping SIRIUS,49.36,na,Phloroglucinol triacetate,C12 H12 O6,L3.3
FT_11.492_253.07066,C12 H12 O6,NA,C12 H12 O6,C12 H12 O6,1.2794667,"(Z)-3-(6,7-dimethoxy-1,3-benzodioxol-5-yl)-2-hydroxyprop-2-enal",TRUE,TRUE,TRUE,keeping SIRIUS,49.36,na,Phloroglucinol triacetate,C12 H12 O6,L3.3
FT_11.524_210.11004,C7 H11 N7 O,NA,C7 H11 N7 O,NA,NA,NA,TRUE,FALSE,FALSE,na,na,na,no name,C7 H11 N7 O,L4.1
FT_11.579_197.04447,C9 H8 O5,NA,C9 H8 O5,C9 H8 O5,2.644917,"3-(2,4-Dihydroxyphenyl)-2-oxopropanoic acid",TRUE,TRUE,TRUE,keeping SIRIUS,75.32,na,Haematommic acid,C9 H8 O5,L3.3
FT_11.579_197.04447,C9 H8 O5,NA,C9 H8 O5,C9 H8 O5,2.6406496,"3-(3,5-Dihydroxyphenyl)-2-oxopropanoic acid",TRUE,TRUE,TRUE,keeping SIRIUS,75.32,na,Haematommic acid,C9 H8 O5,L3.3
FT_11.579_197.04447,C9 H8 O5,NA,C9 H8 O5,C9 H8 O5,2.581147,"3,4-Dihydroxyphenylpyruvic acid",TRUE,TRUE,TRUE,keeping SIRIUS,75.32,na,Haematommic acid,C9 H8 O5,L3.3
FT_11.592_167.10668,C10 H14 O2,NA,C10 H14 O2,C10 H14 O2,2.3378823,Piquerol A,TRUE,TRUE,TRUE,keeping SIRIUS,69.66,na,Camphorquinone,C10 H14 O2,L3.3
FT_11.592_167.10668,C10 H14 O2,NA,C10 H14 O2,C10 H14 O2,1.5718853,"5-Hydroxy-p-mentha-6,8-dien-2-one",TRUE,TRUE,TRUE,keeping SIRIUS,69.66,na,Camphorquinone,C10 H14 O2,L3.3
FT_11.592_167.10668,C10 H14 O2,NA,C10 H14 O2,C10 H14 O2,1.257259,6-Hydroxycarvone,TRUE,TRUE,TRUE,keeping SIRIUS,69.66,na,Camphorquinone,C10 H14 O2,L3.3
FT_11.593_149.09609,C10 H12 O,NA,C10 H12 O,C10 H12 O,1.5596614,trans-Lachnophyllol,TRUE,TRUE,TRUE,keeping SIRIUS,57.14,na,"2-Methyl-5-prop-1-en-2-ylcyclohexa-2,4-dien-1-one",C10 H12 O,L3.3
FT_11.593_149.09609,C10 H12 O,NA,C10 H12 O,C10 H12 O,1.0117128,"5,6,7,8-Tetrahydro-2-naphthol",TRUE,TRUE,TRUE,keeping SIRIUS,57.14,na,"2-Methyl-5-prop-1-en-2-ylcyclohexa-2,4-dien-1-one",C10 H12 O,L3.3
FT_11.593_149.09609,C10 H12 O,NA,C10 H12 O,C10 H12 O,0.7789693,Benzylacetone,TRUE,TRUE,TRUE,keeping SIRIUS,57.14,na,"2-Methyl-5-prop-1-en-2-ylcyclohexa-2,4-dien-1-one",C10 H12 O,L3.3
FT_11.593_391.20921,C18 H26 N6 O4,NA,C17 H30 N2 O8,C22 H30 O6,0.91572917,"(1S,2S,6S,8S,12R,14S,15S,19S,20S)-17-methoxy-7,15,19,20-tetramethyl-3,5,11-trioxapentacyclo[10.7.1.02,6.08,20.014,19]icos-16-ene-10,18-dione",FALSE,FALSE,FALSE,na,na,na,no name,C18 H26 N6 O4,L4.3
FT_11.593_391.20921,C18 H26 N6 O4,NA,C17 H30 N2 O8,C22 H30 O6,0.846236,Megaphone,FALSE,FALSE,FALSE,na,na,na,no name,C18 H26 N6 O4,L4.3
FT_11.593_391.20921,C18 H26 N6 O4,NA,C17 H30 N2 O8,C22 H30 O6,0.79574424,Ochraceopone E,FALSE,FALSE,FALSE,na,na,na,no name,C18 H26 N6 O4,L4.3
FT_11.685_208.11791,C8 H17 N O5,NA,C9 H13 N5 O,C8 H17 N O5,3.2435663,Miglitol,FALSE,TRUE,FALSE,na,na,na,"alpha-D-Glucopyranose, 2-deoxy-2-(dimethylamino)",C8 H17 N O5,L3.3
FT_11.685_208.11791,C8 H17 N O5,NA,C9 H13 N5 O,C8 H17 N O5,3.0146122,"alpha-D-Glucopyranose, 2-deoxy-2-(dimethylamino)",FALSE,TRUE,FALSE,na,na,na,"alpha-D-Glucopyranose, 2-deoxy-2-(dimethylamino)",C8 H17 N O5,L3.3
FT_11.686_163.09650,C7 H14 O4,NA,C7 H14 O4,C7 H14 O4,2.2199242,beta-L-Oleandropyranose,TRUE,TRUE,TRUE,"match name cmmrt, sirius (not first option)",51.8,na,beta-Cymaropyranose,C7 H14 O4,L3.1
FT_11.686_163.09650,C7 H14 O4,NA,C7 H14 O4,C7 H14 O4,2.2199242,beta-Cymaropyranose,TRUE,TRUE,TRUE,"match name cmmrt, sirius (not first option)",51.8,na,beta-Cymaropyranose,C7 H14 O4,L3.1
FT_11.686_163.09650,C7 H14 O4,NA,C7 H14 O4,C7 H14 O4,1.3655629,2-(1-Ethoxyethoxy)propanoic acid,TRUE,TRUE,TRUE,"match name cmmrt, sirius (not first option)",51.8,na,beta-Cymaropyranose,C7 H14 O4,L3.1
FT_11.686_213.07331,C6 H8 N6 O3,NA,C6 H16 N2 O2 S2,NA,NA,NA,FALSE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_11.686_213.07332,C8 H14 O5,NA,C9 H10 N4 O,C8 H14 O5,2.975839,(2-Hydroxyethyl) hydrogen adipate,FALSE,TRUE,FALSE,na,na,na,3-Hydroxysuberic acid,C8 H14 O5,L3.3
FT_11.686_213.07332,C8 H14 O5,NA,C9 H10 N4 O,C8 H14 O5,2.9493783,3-Hydroxysuberic acid,FALSE,TRUE,FALSE,na,na,na,3-Hydroxysuberic acid,C8 H14 O5,L3.3
FT_11.686_213.07332,C8 H14 O5,NA,C9 H10 N4 O,C8 H14 O5,2.1419961,Diethyl malate,FALSE,TRUE,FALSE,na,na,na,3-Hydroxysuberic acid,C8 H14 O5,L3.3
FT_11.689_213.02368,C10 H10 Cl O P,NA,C9 H8 O4 S,NA,NA,NA,FALSE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_11.693_171.10169,C9 H14 O3,NA,C9 H14 O3,C9 H14 O3,2.911087,Epiaspinonediol,TRUE,TRUE,TRUE,keeping cmmrt,56.71,na,Aspinonediol,C9 H14 O3,L3.3
FT_11.693_171.10169,C9 H14 O3,NA,C9 H14 O3,C9 H14 O3,2.911087,Aspinonediol,TRUE,TRUE,TRUE,keeping cmmrt,56.71,na,Aspinonediol,C9 H14 O3,L3.3
FT_11.693_171.10169,C9 H14 O3,NA,C9 H14 O3,C9 H14 O3,1.7615058,"1,4-Ipomeadiol",TRUE,TRUE,TRUE,keeping cmmrt,56.71,na,Aspinonediol,C9 H14 O3,L3.3
FT_11.741_384.18062,C22 H25 N O5,NA,C22 H25 N O5,C22 H25 N O5,0.77429485,Peniprequinolone,TRUE,TRUE,TRUE,keeping cmmrt,59.04,na,Peniprequinolone,C22 H25 N O5,L3.3
FT_11.793_209.08088,C11 H12 O4,NA,C11 H12 O4,C11 H12 O4,2.3568375,"5-(3',5'-Dihydroxyphenyl)-gamma-valerolactone",TRUE,TRUE,TRUE,keeping sirius,61.5,na,methyl (E)-3-(5-methyl-6-oxopyran-2-yl)but-2-enoate,C11 H12 O4,L3.3
FT_11.793_209.08088,C11 H12 O4,NA,C11 H12 O4,C11 H12 O4,2.2413387,"5-[(3,4-Dihydroxyphenyl)methyl]oxolan-2-one",TRUE,TRUE,TRUE,keeping sirius,61.5,na,methyl (E)-3-(5-methyl-6-oxopyran-2-yl)but-2-enoate,C11 H12 O4,L3.3
FT_11.793_209.08088,C11 H12 O4,NA,C11 H12 O4,C11 H12 O4,2.1863801,NA,TRUE,TRUE,TRUE,keeping sirius,61.5,na,methyl (E)-3-(5-methyl-6-oxopyran-2-yl)but-2-enoate,C11 H12 O4,L3.3
FT_11.794_197.08092,C10 H12 O4,NA,C10 H12 O4,C10 H12 O4,2.3687537,Homoveratric acid,TRUE,TRUE,TRUE,keeping sirius,75.46,na,"Methyl 2,4-dihydroxy-3,6-dimethylbenzoate",C10 H12 O4,L3.3
FT_11.794_197.08092,C10 H12 O4,NA,C10 H12 O4,C10 H12 O4,2.3371553,Acetosyringone,TRUE,TRUE,TRUE,keeping sirius,75.46,na,"Methyl 2,4-dihydroxy-3,6-dimethylbenzoate",C10 H12 O4,L3.3
FT_11.794_197.08092,C10 H12 O4,NA,C10 H12 O4,C10 H12 O4,2.277464,"1,2-Propanediol, 3-(1,3-benzodioxol-5-yl)-",TRUE,TRUE,TRUE,keeping sirius,75.46,na,"Methyl 2,4-dihydroxy-3,6-dimethylbenzoate",C10 H12 O4,L3.3
FT_11.834_119.07021,C5 H10 O3,NA,C5 H10 O3,C5 H10 O3,3.011059,5-Hydroxypentanoic acid,TRUE,TRUE,TRUE,keeping sirius,64.49,na,Methyl 3-hydroxybutyrate,C5 H10 O3,L3.3
FT_11.834_119.07021,C5 H10 O3,NA,C5 H10 O3,C5 H10 O3,3.0017223,2-Hydroxy-2-methylbutyric acid,TRUE,TRUE,TRUE,keeping sirius,64.49,na,Methyl 3-hydroxybutyrate,C5 H10 O3,L3.3
FT_11.834_119.07021,C5 H10 O3,NA,C5 H10 O3,C5 H10 O3,3.00172,2-Hydroxypentanoic acid,TRUE,TRUE,TRUE,keeping sirius,64.49,na,Methyl 3-hydroxybutyrate,C5 H10 O3,L3.3
FT_11.929_277.06831,C11 H19 O2 P3,NA,C14 H12 O6,C14 H12 O6,2.0957177,Dehydrocitreoisocoumarin,FALSE,FALSE,TRUE,na,na,na,Dehydrocitreoisocoumarin,C14 H12 O6,L3.3
FT_11.929_277.06831,C11 H19 O2 P3,NA,C14 H12 O6,C14 H12 O6,1.6041151,O-Demethylfonsecin,FALSE,FALSE,TRUE,na,na,na,Dehydrocitreoisocoumarin,C14 H12 O6,L3.3
FT_11.929_277.06831,C11 H19 O2 P3,NA,C14 H12 O6,C14 H12 O6,1.1130929,"3,4-Dihydroxy-5-(3-hydroxy-5-methylphenoxy)benzoic acid",FALSE,FALSE,TRUE,na,na,na,Dehydrocitreoisocoumarin,C14 H12 O6,L3.3
FT_11.931_237.07573,C12 H12 O5,NA,C12 H12 O5,C12 H12 O5,2.3062973,Austidiol,TRUE,TRUE,TRUE,keeping sirius,75.78,na,5-acetyl-2-(acetyloxy)phenyl acetate,C12 H12 O5,L3.3
FT_11.931_237.07573,C12 H12 O5,NA,C12 H12 O5,C12 H12 O5,1.921055,"(S)-2,3-Dihydro-7-hydroxy-2-methyl-4-oxo-4H-1-benzopyran-5-acetic acid",TRUE,TRUE,TRUE,keeping sirius,75.78,na,5-acetyl-2-(acetyloxy)phenyl acetate,C12 H12 O5,L3.3
FT_11.931_237.07573,C12 H12 O5,NA,C12 H12 O5,C12 H12 O5,1.8539047,Aspergillusol B,TRUE,TRUE,TRUE,keeping sirius,75.78,na,5-acetyl-2-(acetyloxy)phenyl acetate,C12 H12 O5,L3.3
FT_11.951_219.10167,C13 H14 O3,NA,C13 H14 O3,C13 H14 O3,1.7267771,Asperfuran,TRUE,TRUE,TRUE,"match name cmmrt, sirius",68.15,na,Eupatoriochromene,C13 H14 O3,L3.1
FT_11.951_219.10167,C13 H14 O3,NA,C13 H14 O3,C13 H14 O3,1.6673486,(R)-Bitalin A,TRUE,TRUE,TRUE,"match name cmmrt, sirius",68.15,na,Eupatoriochromene,C13 H14 O3,L3.1
FT_11.951_219.10167,C13 H14 O3,NA,C13 H14 O3,C13 H14 O3,0.90690184,Toxol,TRUE,TRUE,TRUE,"match name cmmrt, sirius",68.15,na,Eupatoriochromene,C13 H14 O3,L3.1
FT_11.963_202.14373,C10 H19 N O3,NA,C10 H19 N O3,C10 H19 N O3,2.91477,2-[(5-Methyl-3-oxohexyl)amino]propionic acid,TRUE,TRUE,TRUE,keeping sirius (cmmrt matches lower %),64.57,na,"Decanoic acid, 2-amino-8-oxo-, (2S)-",C10 H19 N O3,L3.3
FT_11.963_202.14373,C10 H19 N O3,NA,C10 H19 N O3,C10 H19 N O3,2.0347314,2-(2-propylpentanoylamino)acetic Acid,TRUE,TRUE,TRUE,keeping sirius (cmmrt matches lower %),64.57,na,"Decanoic acid, 2-amino-8-oxo-, (2S)-",C10 H19 N O3,L3.3
FT_11.963_202.14373,C10 H19 N O3,NA,C10 H19 N O3,C10 H19 N O3,1.6873649,2-Octanamidoacetic acid,TRUE,TRUE,TRUE,keeping sirius (cmmrt matches lower %),64.57,na,"Decanoic acid, 2-amino-8-oxo-, (2S)-",C10 H19 N O3,L3.3
FT_11.964_265.07067,C13 H12 O6,NA,C13 H12 O6,C13 H12 O6,1.000197,Banksiamarin A,TRUE,TRUE,TRUE,keeping sirius,67.11,na,"3,3'-Methylenebis(4-hydroxy-6-methyl-2H-pyran-2-one)",C13 H12 O6,L3.3
FT_11.998_324.14413,C16 H21 N O6,NA,C16 H21 N O6,C16 H21 N O6,1.8288249,Acremoauxin A,TRUE,TRUE,TRUE,keeping sirius,45.35,na,Boc-Asp(OBzl)-OH,C16 H21 N O6,L3.3
FT_12.022_269.10197,C13 H16 O6,NA,C13 H16 O6,C14 H12 N4 O2,2.4534237,Disperse blue 1,TRUE,FALSE,FALSE,keeping sirius,65.89,na,"2-(3-Butanoyl-2,6-dihydroxy-4-methoxyphenyl)acetic acid",C13 H16 O6,L3.3
FT_12.022_269.10197,C13 H16 O6,NA,C13 H16 O6,C13 H16 O6,1.4431276,Methyl 4-methoxy-3-(3'-hydroxy-2'-methyl)propionyloxy-benzoate,TRUE,TRUE,TRUE,keeping sirius,65.89,na,"2-(3-Butanoyl-2,6-dihydroxy-4-methoxyphenyl)acetic acid",C13 H16 O6,L3.3
FT_12.079_109.10113,C8 H12,NA,C8 H12,C8 H12,0.9348112,"1,3,6-Octatriene",TRUE,TRUE,TRUE,keeping sirius (cmmrt matches lower %),50.91,na,"5-Methylhepta-1,3,6-triene",C8 H12,L3.3
FT_12.079_109.10113,C8 H12,NA,C8 H12,C8 H12,0.85147274,4-Vinylcyclohexene,TRUE,TRUE,TRUE,keeping sirius (cmmrt matches lower %),50.91,na,"5-Methylhepta-1,3,6-triene",C8 H12,L3.3
FT_12.079_109.10113,C8 H12,NA,C8 H12,C8 H12,0.74397767,"(z)-1,3-Octadiene",TRUE,TRUE,TRUE,keeping sirius (cmmrt matches lower %),50.91,na,"5-Methylhepta-1,3,6-triene",C8 H12,L3.3
FT_12.079_169.12233,C10 H16 O2,NA,C10 H16 O2,C10 H16 O2,1.42312,5-Hydroxycamphor,TRUE,TRUE,TRUE,keeping sirius,59.75,na,"2-Cyclohexen-1-one, 4-hydroxy-3-methyl-6-(1-methylethyl)-",C10 H16 O2,L3.3
FT_12.079_169.12233,C10 H16 O2,NA,C10 H16 O2,C10 H16 O2,1.1941015,Diosphenol,TRUE,TRUE,TRUE,keeping sirius,59.75,na,"2-Cyclohexen-1-one, 4-hydroxy-3-methyl-6-(1-methylethyl)-",C10 H16 O2,L3.3
FT_12.079_169.12233,C10 H16 O2,NA,C10 H16 O2,C10 H16 O2,1.0830328,(+)-Iridodial,TRUE,TRUE,TRUE,keeping sirius,59.75,na,"2-Cyclohexen-1-one, 4-hydroxy-3-methyl-6-(1-methylethyl)-",C10 H16 O2,L3.3
FT_12.081_83.04916,C5 H6 O,NA,C5 H6 O,C5 H6 O,2.3099964,"cis-2,4-Pentadienal",TRUE,TRUE,TRUE,"match name cmmrt, sirius",55,na,"cis-2,4-Pentadienal",C5 H6 O,L3.1
FT_12.081_83.04916,C5 H6 O,NA,C5 H6 O,C5 H6 O,1.4685086,2-Methylfuran,TRUE,TRUE,TRUE,"match name cmmrt, sirius",55,na,"cis-2,4-Pentadienal",C5 H6 O,L3.1
FT_12.112_202.14371,C10 H19 N O3,NA,C10 H19 N O3,C10 H19 N O3,2.9356804,2-[(5-Methyl-3-oxohexyl)amino]propionic acid,TRUE,TRUE,TRUE,keeping sirius (cmmrt matches lower %),76.88,na,8(S)-Amino-2(R)-methyl-7-oxononanoic acid,C10 H19 N O3,L3.3
FT_12.112_202.14371,C10 H19 N O3,NA,C10 H19 N O3,C10 H19 N O3,2.0531979,2-(2-propylpentanoylamino)acetic Acid,TRUE,TRUE,TRUE,keeping sirius (cmmrt matches lower %),76.88,na,8(S)-Amino-2(R)-methyl-7-oxononanoic acid,C10 H19 N O3,L3.3
FT_12.112_202.14371,C10 H19 N O3,NA,C10 H19 N O3,C10 H19 N O3,1.7049732,2-Octanamidoacetic acid,TRUE,TRUE,TRUE,keeping sirius (cmmrt matches lower %),76.88,na,8(S)-Amino-2(R)-methyl-7-oxononanoic acid,C10 H19 N O3,L3.3
FT_12.135_171.10176,C9 H14 O3,NA,C9 H14 O3,C9 H14 O3,2.9740763,Epiaspinonediol,TRUE,TRUE,TRUE,keeping sirius (cmmrt matches lower %),52.02,na,3-(2-Oxocyclohexyl)propanoic acid,C9 H14 O3,L3.3
FT_12.135_171.10176,C9 H14 O3,NA,C9 H14 O3,C9 H14 O3,2.9740763,Aspinonediol,TRUE,TRUE,TRUE,keeping sirius (cmmrt matches lower %),52.02,na,3-(2-Oxocyclohexyl)propanoic acid,C9 H14 O3,L3.3
FT_12.135_171.10176,C9 H14 O3,NA,C9 H14 O3,C9 H14 O3,1.8150194,"1,4-Ipomeadiol",TRUE,TRUE,TRUE,keeping sirius (cmmrt matches lower %),52.02,na,3-(2-Oxocyclohexyl)propanoic acid,C9 H14 O3,L3.3
FT_12.162_209.08087,C11 H12 O4,NA,C11 H12 O4,C11 H12 O4,2.405125,"5-(3',5'-Dihydroxyphenyl)-gamma-valerolactone",TRUE,TRUE,TRUE,keeping sirius,82.04,na,"3-(3,5-dimethoxyphenyl)prop-2-enoic acid",C11 H12 O4,L3.3
FT_12.162_209.08087,C11 H12 O4,NA,C11 H12 O4,C11 H12 O4,2.2888386,"5-[(3,4-Dihydroxyphenyl)methyl]oxolan-2-one",TRUE,TRUE,TRUE,keeping sirius,82.04,na,"3-(3,5-dimethoxyphenyl)prop-2-enoic acid",C11 H12 O4,L3.3
FT_12.162_209.08087,C11 H12 O4,NA,C11 H12 O4,C11 H12 O4,2.233507,NA,TRUE,TRUE,TRUE,keeping sirius,82.04,na,"3-(3,5-dimethoxyphenyl)prop-2-enoic acid",C11 H12 O4,L3.3
FT_12.206_109.10113,C8 H12,NA,C8 H12,C8 H12,0.94978577,"1,3,6-Octatriene",TRUE,TRUE,TRUE,keeping sirius,49.21,na,"1,2-Dimethyl-1,4-cyclohexadiene",C8 H12,L3.3
FT_12.206_109.10113,C8 H12,NA,C8 H12,C8 H12,0.8658811,4-Vinylcyclohexene,TRUE,TRUE,TRUE,keeping sirius,49.21,na,"1,2-Dimethyl-1,4-cyclohexadiene",C8 H12,L3.3
FT_12.206_109.10113,C8 H12,NA,C8 H12,C8 H12,0.75912964,"(z)-1,3-Octadiene",TRUE,TRUE,TRUE,keeping sirius,49.21,na,"1,2-Dimethyl-1,4-cyclohexadiene",C8 H12,L3.3
FT_12.206_169.12233,C10 H16 O2,NA,C10 H16 O2,C10 H16 O2,1.4376265,5-Hydroxycamphor,TRUE,TRUE,TRUE,keeping sirius,59.75,na,"2-Cyclohexen-1-one, 4-hydroxy-3-methyl-6-(1-methylethyl)-",C10 H16 O2,L3.3
FT_12.206_169.12233,C10 H16 O2,NA,C10 H16 O2,C10 H16 O2,1.2086147,Diosphenol,TRUE,TRUE,TRUE,keeping sirius,59.75,na,"2-Cyclohexen-1-one, 4-hydroxy-3-methyl-6-(1-methylethyl)-",C10 H16 O2,L3.3
FT_12.206_169.12233,C10 H16 O2,NA,C10 H16 O2,C10 H16 O2,1.097685,"Cyclopentaneacetaldehyde, 2-formyl-alpha,3-dimethyl-",TRUE,TRUE,TRUE,keeping sirius,59.75,na,"2-Cyclohexen-1-one, 4-hydroxy-3-methyl-6-(1-methylethyl)-",C10 H16 O2,L3.3
FT_12.219_197.11725,C11 H16 O3,NA,C11 H16 O3,C11 H16 O3,1.2427206,4-(3-Hydroxybutyl)-2-methoxyphenol,TRUE,TRUE,TRUE,keeping sirius,59.62,na,Trichocyalide B,C11 H16 O3,L3.3
FT_12.219_197.11725,C11 H16 O3,NA,C11 H16 O3,C11 H16 O3,1.0333332,"2,6-Dimethoxy-4-propylphenol",TRUE,TRUE,TRUE,keeping sirius,59.62,na,Trichocyalide B,C11 H16 O3,L3.3
FT_12.219_197.11725,C11 H16 O3,NA,C11 H16 O3,C11 H16 O3,0.93212235,Hexyl 2-furoate,TRUE,TRUE,TRUE,keeping sirius,59.62,na,Trichocyalide B,C11 H16 O3,L3.3
FT_12.220_269.10198,C13 H16 O6,NA,C13 H16 O6,C14 H12 N4 O2,2.4792664,Disperse blue 1,TRUE,FALSE,FALSE,keeping sirius,73.63,na,"(3S,4S)-3,4,8-trihydroxy-7-(1-hydroxyethyl)-6-methoxy-3,4-dihydro-2H-naphthalen-1-one",C13 H16 O6,L3.3
FT_12.220_269.10198,C13 H16 O6,NA,C13 H16 O6,C13 H16 O6,1.4658166,Methyl 4-methoxy-3-(3'-hydroxy-2'-methyl)propionyloxy-benzoate,TRUE,TRUE,TRUE,keeping sirius,73.63,na,"(3S,4S)-3,4,8-trihydroxy-7-(1-hydroxyethyl)-6-methoxy-3,4-dihydro-2H-naphthalen-1-one",C13 H16 O6,L3.3
FT_12.227_199.09657,C10 H14 O4,NA,C10 H14 O4,C11 H10 N4,3.0479434,"2-Amino-6-methyldipyrido[1,2-a:3',2'-d]imidazole",TRUE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_12.227_199.09657,C10 H14 O4,NA,C10 H14 O4,C10 H14 O4,2.8896046,"1-(3,4-Dimethoxyphenyl)ethane-1,2-diol",TRUE,TRUE,TRUE,delete,delete,delete,delete,delete,delete
FT_12.227_199.09657,C10 H14 O4,NA,C10 H14 O4,C11 H10 N4,2.792083,"3-methyl-3H-imidazo[4,5-f]quinolin-2-amine",TRUE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_12.241_179.07033,C10 H10 O3,NA,C10 H10 O3,C10 H10 O3,3.0724537,"(E)-10-Hydroxy-2-decene-4,6-diynoic acid",TRUE,TRUE,TRUE,keeping sirius,88.76,na,4-Hydroxy-3-methoxycinnamaldehyde,C10 H10 O3,L3.3
FT_12.241_179.07033,C10 H10 O3,NA,C10 H10 O3,C10 H10 O3,3.0255694,"(Z)-10-Hydroxy-8-decene-4,6-diynoic acid",TRUE,TRUE,TRUE,keeping sirius,88.76,na,4-Hydroxy-3-methoxycinnamaldehyde,C10 H10 O3,L3.3
FT_12.241_179.07033,C10 H10 O3,NA,C10 H10 O3,C10 H10 O3,2.2507405,Vermelone,TRUE,TRUE,TRUE,keeping sirius,88.76,na,4-Hydroxy-3-methoxycinnamaldehyde,C10 H10 O3,L3.3
FT_12.260_235.06014,C6 H11 N4 O4 P,NA,C12 H10 O5,C12 H10 O5,2.1786103,7-Hydroxy-2-methyl-4-oxo-4H-1-benzopyran-5-acetic acid,FALSE,FALSE,TRUE,na,81.46,na,Hexaketide pyrone,C12 H10 O5,L3.3
FT_12.260_235.06014,C6 H11 N4 O4 P,NA,C12 H10 O5,C12 H10 O5,2.0216553,"3-(2-Oxopropyl)-6,8-dihydroxyisocoumarin",FALSE,FALSE,TRUE,na,81.46,na,Hexaketide pyrone,C12 H10 O5,L3.3
FT_12.260_235.06014,C6 H11 N4 O4 P,NA,C12 H10 O5,C12 H10 O5,1.7432925,NA,FALSE,FALSE,TRUE,na,81.46,na,Hexaketide pyrone,C12 H10 O5,L3.3
FT_12.299_283.11761,C14 H18 O6,NA,C14 H18 O6,C10 H14 N6 O4,3.086364,2-Aminoadenosine,TRUE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_12.299_283.11761,C14 H18 O6,NA,C14 H18 O6,C15 H14 N4 O2,3.0803978,12-Hydroxynevirapine,TRUE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_12.299_283.11761,C14 H18 O6,NA,C14 H18 O6,C15 H14 N4 O2,2.9962013,8-Hydroxynevirapine,TRUE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_12.324_183.06534,C9 H10 O4,NA,C9 H10 O4,C9 H10 O4,2.939819,(2R)-2-hydroxy-3-(4-hydroxyphenyl)propanoic acid,TRUE,TRUE,TRUE,keeping sirius,82.23,na,"Methyl 2,4-dihydroxy-6-methylbenzoate",C9 H10 O4,L3.3
FT_12.324_183.06534,C9 H10 O4,NA,C9 H10 O4,C9 H10 O4,2.939819,2-Hydroxy-3-(4-hydroxyphenyl)propanoic acid,TRUE,TRUE,TRUE,keeping sirius,82.23,na,"Methyl 2,4-dihydroxy-6-methylbenzoate",C9 H10 O4,L3.3
FT_12.324_183.06534,C9 H10 O4,NA,C9 H10 O4,C9 H10 O4,2.888697,Meta-hydroxyphenylhydracrylic acid,TRUE,TRUE,TRUE,keeping sirius,82.23,na,"Methyl 2,4-dihydroxy-6-methylbenzoate",C9 H10 O4,L3.3
FT_12.335_291.15676,C14 H29 P3,NA,C17 H22 O4,C17 H22 O4,1.0450877,Laurenoniolide,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
FT_12.335_291.15676,C14 H29 P3,NA,C17 H22 O4,C17 H22 O4,1.0450877,Laurenobiolide,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
FT_12.335_291.15676,C14 H29 P3,NA,C17 H22 O4,C17 H22 O4,1.0393474,(-)-Odemasin A,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
FT_12.342_223.09646,C12 H14 O4,NA,C12 H14 O4,C12 H14 O4,2.0661693,Dihydrodeoxy-8-epiaustdiol,TRUE,TRUE,TRUE,keeping cmmrt,na,na,Dihydrodeoxy-8-epiaustdiol,C12 H14 O4,L3.3
FT_12.342_223.09646,C12 H14 O4,NA,C12 H14 O4,C12 H14 O4,1.8254608,Asperunguisone B,TRUE,TRUE,TRUE,keeping cmmrt,na,na,Dihydrodeoxy-8-epiaustdiol,C12 H14 O4,L3.3
FT_12.342_223.09646,C12 H14 O4,NA,C12 H14 O4,C12 H14 O4,1.8254606,Asperunguisone A,TRUE,TRUE,TRUE,keeping cmmrt,na,na,Dihydrodeoxy-8-epiaustdiol,C12 H14 O4,L3.3
FT_12.343_165.05466,C9 H8 O3,NA,C9 H8 O3,C9 H8 O3,1.8373432,3-Oxo-3-phenylpropanoic acid,TRUE,TRUE,TRUE,keeping sirius,58.64,na,"3-(2,5-Dihydroxyphenyl)prop-2-enal",C9 H8 O3,L3.3
