FeatureID,Formula_CD,Potential_fragment,Formula_sirius,Formula_cmmrt,zscore_cmmrt,name_cmmrt,cd_vs_sirius,cd_vs_cmmrt,cmmrt_vs_sirius,Notes_name,Sirius_structure_percentage,use_Sirius_class,Final_name,Keep_formula,Final_annotation_comment
FT_0.892_218.98361,C3 H7 Cl N2 O5 S,NA,C3 H8 O7 P2,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C3 H8 O7 P2,L4.3
FT_0.892_232.92815,C H3 N2 O6 P3,NA,C6 H2 N O3 S3,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C6 H2 N O3 S3,L4.3
FT_0.892_232.99927,C4 H9 Cl N2 O5 S,NA,C4 H10 O7 P2,NA,NA,NA,FALSE,FALSE,FALSE,"low confidence, class gui",na,yes,no name,C7H6NO6S,L4.3
FT_0.892_284.92547,C4 H4 Cl N4 O3 P3,NA,C5 H2 N O9 S2,NA,NA,NA,FALSE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_0.892_344.87556,C10 H3 O4 P3 S2,NA,C6 H4 N O6 P2 S3,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C6 H4 N O6 P2 S3,L4.3
FT_0.892_414.88353,C12 H3 Cl N4 O3 S4,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
FT_0.893_182.96245,C3 H3 Cl N2 O3 S,NA,C2 H3 N2 O4 P S,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C2 H3 N2 O4 P S,L4.3
FT_0.894_416.91645,C3 H5 Cl N6 O12 S2,NA,NA,C14 H11 Cl4 O4 P,2.379734,Phosdiphen,FALSE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_0.895_143.99682,C2 H N5 O S,NA,C H5 N O5 S,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C H5 N O5 S,L4.3
FT_0.895_302.93617,C5 H2 Cl N8 P3,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
FT_0.895_348.94174,C6 H4 Cl N8 O2 P3,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
FT_0.896_528.86411,C18 H4 Cl N6 P3 S3,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
FT_0.904_189.00708,C4 H4 N4 O3 S,NA,C4 H4 N4 O3 S,NA,NA,NA,TRUE,FALSE,FALSE,low confidence,na,yes,no name,C4 H4 N4 O3 S,L4.3
FT_0.927_282.90504,C8 H N2 O2 P3 S,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
FT_0.969_288.92204,C4 H O13 P,NA,C7 N2 O7 S2,NA,NA,NA,FALSE,FALSE,FALSE,no structure Sirius,na,yes,no name,C7 N2 O7 S2,L4.3
FT_0.976_304.89561,C H2 Cl O14 P,NA,C9 H5 O2 P S4,NA,NA,NA,FALSE,FALSE,FALSE,na,na,na,no name,C9 H5 O2 P S4,L4.3
FT_0.979_226.95148,C3 H3 N2 O6 P S,NA,NA,C6 H4 Cl2 O5,1.9097933,"2,5-Dichloro-4-oxohex-2-enedioate",FALSE,FALSE,FALSE,cmmrt prediction,na,na,no name,C3 H3 N2 O6 P S,L4.3
FT_0.980_362.92643,C4 H3 N4 O12 P S,NA,C8 H13 O4 P3 S3,NA,NA,NA,FALSE,FALSE,FALSE,na,na,na,no name,C4 H3 N4 O12 P S,L4.3
FT_0.980_430.91383,C8 H4 N2 O15 P2,NA,C5 H9 N2 O13 P3 S,NA,NA,NA,FALSE,FALSE,FALSE,na,na,na,no name,C8 H4 N2 O15 P2,L4.3
FT_0.980_498.90137,C8 H9 N2 O15 P3 S,NA,C9 H13 N2 O10 P3 S3,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C9 H13 N2 O10 P3 S3,L4.3
FT_0.980_90.97665,C2 H3 P S,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,no name,C2 H3 P S,L4.3
FT_0.981_242.92541,C4 H2 O8 S2,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,no name,C4 H2 O8 S2,L4.3
FT_0.981_294.93894,C7 H4 O9 P2,NA,C8 H8 O4 P2 S2,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C8 H8 O4 P2 S2,L4.3
FT_0.981_310.91292,C4 H N4 O7 P3,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,na,na,yes,no name,C4 H N4 O7 P3,L4.3
FT_0.981_378.90035,C6 H5 O13 P3,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,0,na,yes,no name,C6 H5 O13 P3,L4.3
FT_0.981_446.88778,C3 H4 N4 O16 P2 S,NA,C5 H9 N2 O12 P3 S2,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C5 H9 N2 O12 P3 S2,L4.3
FT_0.981_514.87531,C3 H9 N4 O16 P3 S2,NA,C10 H14 O10 P4 S3,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C10 H14 O10 P4 S3,L4.3
FT_0.981_530.84929,C4 H8 N2 O18 P2 S3,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,no name,C4 H8 N2 O18 P2 S3,L4.3
FT_0.981_566.88882,C7 H5 N8 O15 P3 S,NA,C14 H8 N4 O11 P2 S3,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C14 H8 N4 O11 P2 S3,L4.3
FT_0.981_582.86283,C8 H4 N6 O17 P2 S2,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,na,na,na,no name,C8 H4 N6 O17 P2 S2,L4.3
FT_0.981_598.83677,C6 H5 N10 O10 P3 S4,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,no name,C6 H5 N10 O10 P3 S4,L4.3
FT_0.981_666.82426,C8 H N10 O17 P3 S2,NA,C11 H14 N4 O11 S9,NA,NA,NA,FALSE,FALSE,FALSE,na,na,na,no name,C8 H N10 O17 P3 S2,L4.3
FT_0.981_682.79804,C3 H9 N8 O17 P3 S5,NA,C11 H14 N4 O10 S10,NA,NA,NA,FALSE,FALSE,FALSE,na,na,na,no name,C3 H9 N8 O17 P3 S5,L4.3
FT_0.981_734.81146,C14 H5 N6 O18 P3 S3,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,no name,C14 H5 N6 O18 P3 S3,L4.3
FT_0.981_750.78520,C25 H5 O14 P3 S4,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,no name,C25 H5 O14 P3 S4,L4.3
FT_0.982_394.87427,C9 H O12 P3,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,no name,C9 H O12 P3,L4.3
FT_0.982_462.86176,C7 H4 N4 O10 P2 S3,NA,C8 H5 N2 O11 P3 S2,NA,NA,NA,FALSE,FALSE,FALSE,na,na,na,no name,C7 H4 N4 O10 P2 S3,L4.3
FT_0.982_614.81064,C14 H2 Cl N2 O16 P3 S,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,na,"halogenated,unknown",L5
FT_0.982_650.85025,C5 H5 N10 O18 P3 S2,NA,C10 H13 N4 O15 P3 S4,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C10 H13 N4 O15 P3 S4,L4.3
FT_0.982_718.83752,C19 H5 N4 O17 P3 S2,NA,C14 H18 N4 O10 P4 S6,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C14 H18 N4 O10 P4 S6,L4.3
FT_0.982_766.75913,C20 H5 N2 O15 P3 S5,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
