FeatureID,Name,Formula,Notes,Action_decision,Other_mzcloud_match,Sirus_notes,Sirius_formula,Correlation_duplicated annotations,Final_decision
FT_1.223_397.12956,"(2E)-7-methyl-6-(2-oxopropoxy)-2-[(3,4,5-trimethoxyphenyl)methylidene]-1-benzofuran-3-one",C22H22O7,halogenated,keep sirius,,"(2E)-7-methyl-6-(2-oxopropoxy)-2-[(3,4,5-trimethoxyphenyl)methylidene]-1-benzofuran-3-one",C22H22O7,0,L3.3
FT_1.207_313.18107,Aldosterone,C21 H28 O5,low quality,,,,,0,DELETE
FT_2.030_187.09752,Azelaic acid,C9 H16 O4,,isomer,,,,0,L2
FT_2.136_187.09750,Azelaic acid,C9 H16 O4,,isomer,,,,0,L2
FT_11.355_259.01294,d-Galactopyranose-2-sulfate,C6H12O9S,halogenated,keep sirius,,d-Galactopyranose-2-sulfate,C6H12O9S,0,L3.3
FT_12.284_259.01291,d-Galactopyranose-2-sulfate,C6H12O9S,halogenated,keep sirius,,d-Galactopyranose-2-sulfate,C6H12O9S,0,L3.3
FT_1.037_437.08811,4-hydroxytetracenomycin A2,C23H18O9,halogenated,keep sirius,,4-hydroxytetracenomycin A2,C23H18O9,0,L3.3
FT_1.183_207.06610,Genipin,C11 H14 O5,adduct -18DA,,,,,0,L2
FT_1.237_207.06609,Genipin,C11 H14 O5,adduct -18DA,,,,,0,L2
FT_2.740_113.02448,Glutaric anhydride,C5 H6 O3,,"sirius no result, keep CD",,,,0,L2
FT_1.162_283.06126,Glycitein,C16 H12 O5,,,,,,0,L2
FT_8.083_282.08449,Guanosine,C10 H13 N5 O5,,,,,,0,L2
FT_13.751_341.10903,alpha-alpha-Trehalose,C12 H22 O11,,,,,,0,L2
FT_1.168_527.15599,F13459,C27H28O11,,keep sirius,,F13459,C27H28O11,0,L3.3
FT_1.148_193.05068,Isoferulic acid,C10 H10 O4,"good, isomer ",,,,,"good, isomer ",L2
FT_1.815_193.05064,Isoferulic acid,C10 H10 O4,"low quality peak, high correction with FT_2.065_193.05",,,,,"low quality peak, high correction with FT_2.065_193.05",delete
FT_2.065_193.05064,Isoferulic acid,C10 H10 O4,"good, isomer ",,,,,"good, isomer ",L2
FT_1.223_257.08202,Isorhapontigenin,C15 H14 O4,,,,,,0,L2
FT_8.843_316.94801,no name,no formula,"synthetic drug, no name accepeted, no good formula predicted",no sirius results,NA,,,0,L5
FT_1.601_165.05563,Methyl 4-hydroxyphenylacetate,C9 H10 O3,,,,,,0,L2
