FeatureID,Formula_CD,Potential_fragment,Formula_sirius,cd_vs_sirius,Notes_name,Sirius_structure_percentage,Final_name,Keep_formula,use_Sirius_class,Final_annotation_comment
FT_1.674_463.19756,C17 H32 N6 O7 S,NA,C24 H32 O9,FALSE,na,na,na,C24 H32 O9,yes,L4.3
FT_1.674_469.15143,C12 H27 N10 O6 P S,NA,C25 H26 O9,FALSE,na,na,na,C25 H26 O9,yes,L4.3
FT_1.675_467.22887,C18 H37 N4 O8 P,NA,C24 H36 O9,FALSE,na,na,na,C24 H36 O9,yes,L4.3
FT_1.672_435.20253,C24 H28 N4 O4,NA,NA,FALSE,,,no name,C24 H28 N4 O4,,L4.3
FT_1.672_443.13496,C23 H24 O9,NA,NA,FALSE,,,no name,C23 H24 O9,,L4.3
FT_1.672_457.11489,C16 H16 N10 O2 S,NA,NA,FALSE,,,no name,C16 H16 N10 O2 S,,L4.3
FT_1.672_461.18210,C16 H36 N2 O9 P2,NA,NA,FALSE,,,no name,C16 H36 N2 O9 P2,,L4.3
FT_1.682_311.07737,C15 H20 O3 S2,NA,C14 H16 O8,FALSE,na,na,na,C14 H16 O8,yes,L4.3
FT_1.673_235.06131,C12 H12 O5,NA,C12 H12 O5,TRUE,na,na,na,C12 H12 O5,na,L4.1
FT_1.673_299.15064,C16 H20 N4 O2,NA,NA,FALSE,,,no name,C16 H20 N4 O2,,L4.3
FT_1.673_377.16086,C20 H26 O7,NA,C20 H26 O7,TRUE,na,na,na,C20 H26 O7,na,L4.1
FT_1.673_405.11927,C9 H28 N8 O2 P2 S2,NA,NA,FALSE,,,no name,C9 H28 N8 O2 P2 S2,,L4.3
FT_1.700_283.11875,C7 H20 N6 O4 S,NA,C14 H20 O6,FALSE,na,na,na,C14 H20 O6,yes,L4.3
FT_1.673_473.18140,C21 H36 N2 O4 P2 S,NA,NA,FALSE,,,no name,C21 H36 N2 O4 P2 S,,L4.3
FT_1.673_483.16567,C26 H28 O9,NA,C26 H28 O9,TRUE,na,na,na,na,na,delete
FT_1.673_531.18803,C29 H24 N8 O3,NA,NA,FALSE,,,no name,C29 H24 N8 O3,,L4.3
FT_1.674_339.14516,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_1.674_395.13575,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_1.707_319.05735,C14 H12 N2 O7,NA,C19 H12 O5,FALSE,na,na,na,C19 H12 O5,yes,L4.3
FT_1.818_379.01296,C17 H8 N4 O5 S,NA,C16 H12 O9 S,FALSE,na,na,na,C16 H12 O9 S,yes,L4.3
FT_1.674_487.19764,C20 H28 N10 O3 S,NA,NA,FALSE,,,no name,C20 H28 N10 O3 S,,L4.3
FT_1.674_515.15663,C24 H24 N10 S2,NA,NA,FALSE,,,no name,C24 H24 N10 S2,,L4.3
FT_1.674_527.15629,C32 H26 N4 P2,NA,NA,FALSE,,,no name,C32 H26 N4 P2,,L4.3
FT_1.675_207.06611,C11 H12 O4,NA,C11 H12 O4,TRUE,"formula match, name sirius",82.67,"1-(2,4-Dihydroxy-6-methoxyphenyl)but-2-en-1-one",C11 H12 O4,na,L3.3
FT_1.675_349.16541,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_1.675_421.18688,C26 H32 O P2,NA,NA,FALSE,,,no name,C26 H32 O P2,,L4.3
FT_1.844_199.97823,C3 H8 N O5 P S,NA,C7 H7 O3 P2,FALSE,na,na,na,C7 H7 O3 P2,yes,L4.3
FT_1.676_277.07167,C14 H14 O6,NA,C14 H14 O6,TRUE,na,na,na,C14 H14 O6,na,L4.1
FT_1.676_279.12381,C15 H20 O5,NA,C15 H20 O5,TRUE,na,na,na,C15 H20 O5,na,L4.1
FT_1.676_437.21851,C23 H34 O8,NA,NA,FALSE,,,no name,C23 H34 O8,,L4.3
FT_1.678_295.08240,C13 H14 O5,NA,C13 H14 O5,TRUE,na,na,na,C13 H14 O5,na,L4.1
FT_1.680_217.05042,C12 H10 O4,NA,C12 H10 O4,TRUE,"formula match, name sirius",92.69,8-Acetyl-7-deuteriooxy-4-methylchromen-2-one,C12 H10 O4,na,L3.3
FT_1.680_265.07184,C13 H14 O6,NA,C13 H14 O6,TRUE,na,na,na,na,na,delete
FT_1.681_237.04042,C10 H8 O4,NA,C10 H8 O4,TRUE,na,na,na,C10 H8 O4,na,L4.1
FT_1.681_295.08240,C14 H16 O7,NA,C14 H16 O7,TRUE,na,na,na,C14 H16 O7,na,L4.1
FT_1.682_237.04043,C11 H10 O6,fragment,C11 H10 O6,TRUE,,,,,,delete
FT_1.682_265.07181,C12 H12 O4,NA,C12 H12 O4,TRUE,na,na,na,na,na,delete
FT_1.845_216.98085,C3 H4 N6 O2 P2,NA,C7 H8 O4 P2,FALSE,na,na,na,C7 H8 O4 P2,yes,L4.3
FT_1.686_261.04054,C13 H10 O6,NA,C13 H10 O6,TRUE,na,na,na,C13 H10 O6,yes,L4.1
FT_1.689_283.11872,C13 H18 O4,NA,C13 H18 O4,TRUE,na,na,na,C13 H18 O4,yes,L4.1
FT_1.690_203.03465,C11 H8 O4,NA,C11 H8 O4,TRUE,na,na,na,C11 H8 O4,yes,L4.1
FT_1.697_187.06115,C8 H12 O5,NA,C8 H12 O5,TRUE,na,na,na,C8 H12 O5,yes,L4.1
