FeatureID,Formula_CD,Potential_fragment,Formula_sirius,cd_vs_sirius,Notes_name,Sirius_structure_percentage,Final_name,Keep_formula,use_Sirius_class,Final_annotation_comment
FT_14.753_132.92351,NA,NA,NA,TRUE,,,,,,delete
FT_14.754_114.98873,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_14.754_386.93952,C17 H6 Cl2 N2 O3 S,fragment,C6 H4 N4 O14 S,FALSE,,,,,,delete
FT_15.006_711.21974,C20 H41 N8 O18 P,NA,C32 H40 O18,FALSE,na,na,na,C32 H40 O18,yes,L4.3
FT_15.255_647.13409,C25 H35 N2 O12 P3,NA,C21 H33 N2 O19 P,FALSE,na,na,na,C21 H33 N2 O19 P,yes,L4.3
FT_16.005_304.91409,C4 H9 N2 O4 P3 S2,NA,C2 H2 N4 O10 S2,FALSE,na,na,na,C2 H2 N4 O10 S2,yes,L4.3
FT_14.760_130.98372,C3 H5 N2 P S,fragment,C N4 O4,FALSE,,,,,,delete
FT_16.005_564.82986,C10 H4 N2 O18 P2 S2,NA,C13 H5 N4 O10 P3 S3,FALSE,na,na,na,C13 H5 N4 O10 P3 S3,yes,L4.3
FT_14.760_159.97896,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_14.761_421.88802,C5 H8 Cl N7 O4 P2 S3,NA,C3 H2 N7 O12 P S2,FALSE,na,na,na,na,na,delete
FT_14.765_262.93015,C6 H3 Cl2 N4 O2 P,NA,C2 H4 N2 O9 S2,FALSE,na,na,na,na,na,delete
FT_14.768_307.90717,C3 H10 N3 O2 P3 S3,NA,C5 H2 N4 O6 P S2,FALSE,na,na,na,na,na,delete
FT_14.771_289.94915,C4 H6 Cl N3 O8 S,NA,C5 H3 N5 O6 P2,FALSE,na,na,na,na,na,delete
FT_14.809_297.87833,C4 H2 Cl2 N5 O P3,NA,C2 N5 O5 P3 S,FALSE,na,na,na,na,na,delete
FT_2.068_379.01299,C17 H8 N4 O5 S,NA,C10 H13 N4 O8 P S,FALSE,na,na,na,C10 H13 N4 O8 P S,yes,L4.3
FT_14.983_196.88536,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_14.984_179.88246,NA,fragment,NA,TRUE,,,,,,delete
FT_14.984_276.84223,NA,NA,NA,TRUE,,,,,,delete
FT_14.985_96.96012,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_14.987_194.92751,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_14.988_197.88548,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_15.002_294.83128,NA,NA,NA,TRUE,,,,,,delete
FT_2.098_286.98634,C10 H8 O8 S,NA,C10 H10 O6 P2,FALSE,na,na,na,C10 H10 O6 P2,yes,L4.3
FT_15.006_763.18139,C23 H43 N8 O13 P3 S,NA,NA,FALSE,,,no name,C23 H43 N8 O13 P3 S,,L4.3
FT_15.009_711.21976,C21 H34 N10 O15,NA,C24 H42 O21,FALSE,keep sirius name,81.31,Isomaltotetraose,C24 H42 O21,na,L3.3
FT_15.112_462.10202,C14 H26 N O14 P,NA,C14 H26 N O14 P,TRUE,"formula match, name sirius",90.97,"[3-Acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl] (3,4,5,6-tetrahydroxyoxan-2-yl)methyl hydrogen phosphate",C14 H26 N O14 P,na,L3.3
FT_2.202_278.99668,C14 H5 N2 O3 P,NA,C12 H10 O4 P2,FALSE,na,na,na,C12 H10 O4 P2,yes,L4.3
FT_2.225_247.05869,C10 H19 O P3,NA,C10 H17 O3 P S,FALSE,na,na,na,C10 H17 O3 P S,yes,L4.3
FT_16.005_434.87212,C12 H7 O8 P3 S2,fragment,C6 H4 N4 O11 S4,FALSE,,,,,,delete
FT_2.240_171.02745,C3 H4 N6 O3,NA,C5 H6 N3 O4,FALSE,na,na,na,C5 H6 N3 O4,yes,L4.3
FT_16.007_132.92352,NA,NA,NA,TRUE,,,,,,delete
FT_16.041_873.27215,C35 H50 N4 O15 P2,NA,C30 H52 O26,FALSE,keep sirius name,83.96,Laminaripentaose,C30 H52 O26,yes,L3.3
FT_16.807_989.31879,C48 H53 N10 O8 P3,NA,C36 H62 O31,FALSE,keep sirius name,94.89,Glc(b1-4)Glc(b1-3)Glc(b1-4)Glc(b1-4)Glc(b1-3)Glc,C36 H62 O31,na,L3.3
FT_2.025_225.04042,C10 H10 O6,NA,C10 H10 O6,TRUE,na,na,na,C10 H10 O6,yes,L4.1
FT_2.027_263.05621,C13 H12 O6,NA,C13 H12 O6,TRUE,na,na,na,na,na,delete
FT_2.028_311.11385,C15 H20 O7,NA,C15 H20 O7,TRUE,na,na,na,C15 H20 O7,yes,L4.1
FT_2.039_319.05733,C14 H12 N2 O7,NA,C14 H12 N2 O7,TRUE,na,na,na,C14 H12 N2 O7,yes,L4.1
FT_2.062_279.08747,C14 H16 O6,NA,C14 H16 O6,TRUE,na,na,na,C14 H16 O6,yes,L4.1
FT_2.241_202.96511,C8 H N2 O3 P,NA,C6 H6 O4 P2,FALSE,na,na,na,C6 H6 O4 P2,yes,L4.3
FT_2.245_287.08846,C10 H14 N2 O5,NA,C8 H19 O6 P,FALSE,na,na,na,C8 H19 O6 P,yes,L4.3
FT_2.130_202.96513,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_2.134_309.06182,C14 H14 O8,NA,C14 H14 O8,TRUE,na,na,na,C14 H14 O8,yes,L4.1
FT_2.168_281.06672,C13 H14 O7,NA,C13 H14 O7,TRUE,na,na,na,C13 H14 O7,yes,L4.1
FT_2.182_269.10307,C13 H18 O6,NA,C13 H18 O6,TRUE,na,na,na,C13 H18 O6,yes,L4.1
FT_2.313_265.91220,C4 H4 N3 O3 P3 S,NA,C4 H N2 O8 P2,FALSE,na,na,na,C4 H N2 O8 P2,yes,L4.3
FT_2.215_83.02511,C3 H4 N2 O,NA,C3 H4 N2 O,TRUE,na,na,na,C3 H4 N2 O,yes,L4.1
FT_2.319_282.90214,C3 H3 N4 O4 P3 S,NA,C6 H7 N O2 P S4,FALSE,na,na,na,C6 H7 N O2 P S4,yes,L4.3
FT_2.229_264.04908,C8 H15 N3 O3 S2,NA,C7 H11 N3 O8,FALSE,na,na,na,na,na,delete
FT_2.321_304.07877,C8 H20 N O9 P,NA,C10 H15 N3 O8,FALSE,na,na,na,C10 H15 N3 O8,yes,L4.3
FT_2.472_395.00774,C17 H8 N4 O6 S,NA,C16 H12 O10 S,FALSE,na,na,na,C16 H12 O10 S,yes,L4.3
FT_2.242_215.07315,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_2.243_155.03505,C7 H8 O4,NA,C7 H8 O4,TRUE,na,na,na,C7 H8 O4,yes,L4.1
FT_2.243_271.99940,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_2.492_289.00213,C2 H6 N6 O11,NA,C10 H10 O8 S,FALSE,na,na,na,C10 H10 O8 S,yes,L4.3
FT_2.283_221.87435,NA,NA,NA,TRUE,,,,,,delete
FT_2.283_281.13939,C15 H22 O5,NA,C15 H22 O5,TRUE,na,na,na,na,na,delete
FT_2.311_224.87098,NA,NA,NA,TRUE,,,,,,delete
FT_2.312_146.96601,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_2.312_336.87937,C2 H5 N4 O6 P3 S2,NA,C4 H8 N2 O4 P2 S4,FALSE,na,na,na,na,na,delete
FT_2.313_222.87398,C2 H3 Cl3 N2 S2,NA,NA,FALSE,,,,,,delete
FT_2.313_248.89358,NA,NA,NA,TRUE,,,,,,delete
FT_2.688_253.06373,C5 H15 N6 O2 P S,NA,C12 H15 O4 P,FALSE,na,na,na,C12 H15 O4 P,yes,L4.3
FT_2.313_486.87654,NA,NA,NA,TRUE,,,,,,delete
FT_2.314_244.89710,C6 H O5 P3,NA,NA,FALSE,,,,,,delete
FT_2.314_249.89280,C H3 Cl N3 O4 P S2,NA,NA,FALSE,,,,,,delete
FT_2.315_243.89932,NA,NA,NA,TRUE,,,,,,delete
FT_2.316_162.91378,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_2.318_186.90600,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_2.319_197.90621,NA,NA,NA,TRUE,,,,,,delete
FT_2.709_318.95529,C16 H5 N2 P S2,NA,C9 H8 N2 O5 S3,FALSE,na,na,na,C9 H8 N2 O5 S3,yes,L4.3
FT_2.320_161.91358,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_2.320_248.92177,C H3 N2 O9 P S,NA,NA,FALSE,,,no name,C H3 N2 O9 P S,,L4.3
FT_2.321_226.90889,C3 H4 N2 O2 S4,NA,C2 H2 N2 O5 P2 S,FALSE,na,na,na,na,na,delete
FT_2.710_287.01750,C10 H12 N2 O4 S2,NA,C7 H13 O10 P,FALSE,na,na,na,C7 H13 O10 P,yes,L4.3
FT_2.326_194.90595,NA,NA,NA,TRUE,,,,,,delete
FT_2.330_381.02859,C16 H14 O9 S,NA,C12 H14 O14,FALSE,na,na,na,na,na,delete
FT_2.340_134.89472,NA,NA,NA,TRUE,,,,,,delete
FT_2.343_241.08319,C10 H14 N2 O5,NA,C10 H14 N2 O5,TRUE,na,na,na,na,na,delete
FT_2.345_253.03532,C11 H10 O7,NA,C11 H10 O7,TRUE,"formula match, name sirius",83,(+/-)-strobide B,C11 H10 O7,na,L3.3
FT_2.350_155.03503,C7 H8 O4,NA,C7 H8 O4,TRUE,"formula match, name sirius",80.43,2-methyl-muconate,C7 H8 O4,na,L3.3
FT_2.351_380.99229,C15 H10 O10 S,NA,C15 H10 O10 S,TRUE,na,na,na,C15 H10 O10 S,yes,L4.1
FT_2.352_221.87440,NA,NA,NA,TRUE,,,,,,delete
FT_2.357_195.02996,C9 H8 O5,NA,C9 H8 O5,TRUE,na,na,na,C9 H8 O5,yes,L4.1
FT_2.358_397.02350,C16 H14 O10 S,NA,C16 H14 O10 S,TRUE,na,na,na,na,na,delete
FT_2.416_253.07181,C12 H14 O6,NA,C12 H14 O6,TRUE,na,na,na,na,na,delete
FT_2.455_253.03537,C11 H10 O7,NA,C11 H10 O7,TRUE,na,na,na,C11 H10 O7,yes,L4.1
FT_3.855_594.16781,C17 H39 N7 O8 P2 S2,NA,C19 H37 N3 O14 S2,FALSE,na,na,na,C19 H37 N3 O14 S2,yes,L4.3
FT_2.474_209.04539,C10 H10 O5,fragment,C10 H10 O5,TRUE,na,na,na,C10 H10 O5,na,L4.1
FT_2.475_295.08237,C14 H16 O7,NA,C14 H16 O7,TRUE,na,na,na,C14 H16 O7,yes,L4.1
FT_2.479_397.02372,C17 H10 N4 O6 S,NA,C16 H14 O10 S,FALSE,na,na,na,na,na,delete
FT_2.491_189.07685,C8 H14 O5,NA,C8 H14 O5,TRUE,na,na,na,C8 H14 O5,yes,L4.1
FT_3.856_296.04220,C5 H11 N7 O6 S,NA,C13 H7 N5 O4,FALSE,na,na,na,C13 H7 N5 O4,yes,L4.3
FT_2.501_183.06629,C9 H12 O4,NA,C9 H12 O4,TRUE,na,na,na,C9 H12 O4,yes,L4.1
FT_2.519_263.05620,C13 H12 O6,NA,C13 H12 O6,TRUE,na,na,na,na,na,delete
FT_2.544_219.02978,C11 H8 O5,NA,C11 H8 O5,TRUE,"formula match, name sirius",91.59,7-Hydroxycoumarin-4-acetic acid,C11 H8 O5,na,L3.3
FT_2.553_318.95531,C5 H10 N2 O8 P2 S,NA,C9 H10 N2 O3 P2 S2,FALSE,na,na,na,na,na,delete
FT_2.618_368.99204,C14 H10 O10 S,NA,C13 H11 N2 O7 P S,FALSE,na,na,na,na,na,delete
FT_2.623_269.06672,C12 H14 O7,NA,C12 H14 O7,TRUE,na,na,na,C12 H14 O7,yes,L4.1
FT_2.626_183.02982,C8 H8 O5,fragment,C8 H8 O5,TRUE,"formula match, name sirius",98.46,3-O-methylgallate,C8 H8 O5,na,L3.3
FT_3.967_357.05539,C14 H17 O4 P S,NA,C7 H12 N4 O10,FALSE,na,na,na,C7 H12 N4 O10,yes,L4.3
FT_6.178_335.06127,C11 H13 N8 O P S,NA,C13 H12 N4 O7,FALSE,na,na,na,C13 H12 N4 O7,yes,L4.3
FT_7.677_632.72756,C7 H6 Cl O18 P3 S4,NA,C8 H4 N4 O12 P2 S7,FALSE,na,na,na,C8 H4 N4 O12 P2 S7,yes,L4.3
FT_2.713_219.02977,C11 H8 O5,NA,C11 H8 O5,TRUE,"formula match, name sirius",96.62,7-Hydroxycoumarin-4-acetic acid,C11 H8 O5,na,L3.3
FT_2.893_242.07043,C7 H17 N O6 S,NA,C7 H17 N O6 S,TRUE,na,na,na,C7 H17 N O6 S,yes,L4.1
FT_2.965_200.94972,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_3.015_202.96512,C H N8 O P S,NA,NA,FALSE,,,,,,delete
FT_3.024_246.99165,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_3.056_211.02467,C9 H8 O6,NA,C9 H8 O6,TRUE,na,na,na,C9 H8 O6,yes,L4.1
FT_3.102_195.02996,C9 H8 O5,NA,C9 H8 O5,TRUE,na,na,na,C9 H8 O5,yes,L4.1
FT_3.208_173.04552,C7 H10 O5,NA,C7 H10 O5,TRUE,na,na,na,C7 H10 O5,yes,L4.1
FT_3.516_178.84406,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_3.571_216.94452,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_3.854_228.05468,C6 H15 N O6 S,NA,C6 H15 N O6 S,TRUE,na,na,na,C6 H15 N O6 S,yes,L4.1
FT_3.855_168.03357,C4 H11 N O4 S,NA,C4 H11 N O4 S,TRUE,na,na,na,C4 H11 N O4 S,yes,L4.1
FT_3.855_411.11151,C12 H24 N6 O6 S2,fragment,C20 H20 N4 O4 S,FALSE,,,,,,delete
FT_7.681_548.76647,C7 H6 Cl N2 O11 P3 S4,NA,C10 H4 N2 O9 P2 S6,FALSE,na,na,na,C10 H4 N2 O9 P2 S6,yes,L4.3
FT_7.848_240.95581,C H3 N6 O5 P S,NA,C4 H6 N O7 P2,FALSE,na,na,na,C4 H6 N O7 P2,yes,L4.3
FT_3.883_312.09517,C11 H15 N5 O6,NA,C11 H15 N5 O6,TRUE,na,na,na,C11 H15 N5 O6,yes,L4.1
FT_3.966_306.05808,C7 H18 N O10 P,NA,NA,FALSE,,,no name,C7 H18 N O10 P,,L4.3
FT_8.842_520.91024,C12 H3 N4 O18 P,NA,C5 H8 N4 O21 P2,FALSE,na,na,na,C5 H8 N4 O21 P2,yes,L4.3
FT_8.842_588.89767,C18 H9 O17 P3,NA,C11 H10 N8 O11 S5,FALSE,na,na,na,C11 H10 N8 O11 S5,yes,L4.3
FT_6.446_349.90268,C H4 N7 O7 P3 S,NA,C9 H8 N O4 P3 S2,FALSE,na,na,na,na,na,delete
FT_6.564_226.07544,C7 H17 N O5 S,NA,C7 H17 N O5 S,TRUE,na,na,na,C7 H17 N O5 S,yes,L4.1
FT_6.565_166.05427,C5 H13 N O3 S,fragment,C5 H13 N O3 S,TRUE,,,,,,delete
FT_6.774_297.73349,NA,NA,NA,TRUE,,,,,,delete
FT_6.799_193.81569,NA,NA,NA,TRUE,,,,,,delete
FT_6.801_195.81099,NA,NA,NA,TRUE,,,,,,delete
FT_6.806_162.84249,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_6.806_230.80145,NA,NA,NA,TRUE,,,,,,delete
FT_6.807_163.84027,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_6.807_221.90284,C H3 Cl N O6 P S,NA,C4 H2 O5 P3,FALSE,na,na,na,na,na,delete
FT_6.807_92.92804,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_6.808_153.86863,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_6.808_160.84182,NA,NA,NA,TRUE,,,,,,delete
FT_6.809_315.85469,C6 H Cl2 N O6 S2,NA,NA,FALSE,,,,,,delete
FT_6.810_205.83966,NA,NA,NA,TRUE,,,,,,delete
FT_6.810_268.80094,NA,NA,NA,TRUE,,,,,,delete
FT_6.811_154.86879,NA,NA,NA,TRUE,,,,,,delete
FT_6.811_169.83435,NA,NA,NA,TRUE,,,,,,delete
FT_6.811_172.84240,NA,NA,NA,TRUE,,,,,,delete
FT_6.811_259.81612,NA,NA,NA,TRUE,,,,,,delete
FT_6.812_164.83945,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_6.813_180.85980,NA,NA,NA,TRUE,,,,,,delete
FT_6.813_197.80802,NA,NA,NA,TRUE,,,,,,delete
FT_6.815_255.82224,C H Cl3 N O2 P3,NA,C3 O2 P3 S3,FALSE,na,na,na,na,na,delete
FT_6.817_253.79389,NA,NA,NA,TRUE,,,,,,delete
FT_6.820_295.73641,NA,NA,NA,TRUE,,,,,,delete
FT_6.829_200.80550,NA,NA,NA,TRUE,,,,,,delete
FT_6.843_297.73341,NA,NA,NA,TRUE,,,,,,delete
FT_7.117_152.03873,C4 H11 N O3 S,fragment,C4 H11 N O3 S,TRUE,"formula match, name sirius",100,2-(Dimethylamino)ethanesulfonic acid,C4 H11 N O3 S,na,L3.3
FT_7.117_212.05976,C6 H15 N O5 S,NA,C6 H15 N O5 S,TRUE,na,na,na,C6 H15 N O5 S,yes,L4.1
FT_8.843_452.92293,C7 H8 N2 O17 P2,NA,C8 H4 N6 O13 P2,FALSE,na,na,na,C8 H4 N6 O13 P2,yes,L4.3
FT_7.681_296.88234,C2 H6 Cl N2 O5 P3 S,NA,NA,FALSE,,,no name,no formula,,L5
FT_8.844_248.96047,C3 H5 N6 O2 P3,NA,C4 H4 N4 O5 P2,FALSE,na,na,na,C4 H4 N4 O5 P2,yes,L4.3
FT_7.682_128.95964,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_7.682_380.84388,C5 H Cl O14 P2,fragment,NA,FALSE,,,,,,delete
FT_7.682_464.80511,C5 H4 Cl O15 P S3,NA,NA,FALSE,,,no name,no formula,,L5
FT_7.683_130.95772,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_7.683_146.92628,NA,NA,NA,TRUE,,,,,,delete
FT_8.844_384.93558,C3 H9 N4 O12 P3,NA,C5 H4 N6 O11 P2,FALSE,na,na,na,C5 H4 N6 O11 P2,yes,L4.3
FT_0.997_560.01525,C20 H30 Cl2 N O3 P S4,NA,C26 H16 N3 O6 P S2,FALSE,"no match, sirius formula priority",na,na,C26 H16 N3 O6 P S2,yes,L4.3
FT_1.003_473.94210,C15 H20 Cl2 N O2 P S4,NA,C12 H16 N O9 P3 S2,FALSE,"no match, sirius formula priority",na,na,C12 H16 N O9 P3 S2,yes,L4.3
FT_1.008_695.28631,C35 H45 N4 O9 P,NA,C36 H44 N2 O12,FALSE,"no match, sirius formula priority",na,na,C36 H44 N2 O12,yes,L4.3
FT_8.843_656.88486,NA,NA,NA,TRUE,,,no name,no formula,,L5
FT_1.051_422.78092,C13 H3 Cl3 S5,NA,C7 H6 N O2 S9,FALSE,"no match, sirius formula priority",na,na,C7 H6 N O2 S9,yes,L4.3
FT_1.184_319.11876,C10 H19 N4 O3 P,NA,C16 H18 O4,FALSE,na,na,na,C16 H18 O4,yes,L4.3
FT_8.845_724.87206,NA,NA,NA,TRUE,,,no name,no formula,,L5
