FeatureID,Name,Formula,Annotation MW,Calc. MW,# mzCloud Results,# mzVault Results,mzCloud Best Match,KEGG ID,Potential_fragment,Notes,Action_decision,Sirus_notes,Sirius_percentage,Sirius_name,Sirius_formula,CMMRT_name,CMMRT_formula,Correlation_duplicated annotations,Final_name,Final_formula,Final_decision
FT_19.830_493.22235,"(2S,3R,4S,5S,6R)-2-{[(2R,3R,4S,5S,6R)-4,5-dihydroxy-2-[(3-hydroxy-6-methylheptyl)oxy]-6-(hydroxymethyl)oxan-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol",C20 H38 O12,470.23633,492.21514,1,0,65.1,NA,NA,"Adduct 21.98 Da, low quality",check with sirius,low confidence,na,na,na,na,na,0.91,"(2S,3R,4S,5S,6R)-2-{[(2R,3R,4S,5S,6R)-4,5-dihydroxy-2-[(3-hydroxy-6-methylheptyl)oxy]-6-(hydroxymethyl)oxan-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol",C20 H38 O12,L2
FT_19.866_305.24740,NP-016095,C20 H34 O3,322.25079,304.2402,8,0,87.1,NA,NA,"Adduct -18 Da, low quality",check with sirius,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_19.885_285.24246,"16-Heptadecyne-1,2,4-triol",C17 H32 O3,284.23514,284.23525,1,0,98.8,NA,NA,low quality,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_19.899_343.22463,"5-(1,2,4a,5-tetramethyl-7-oxo-1,2,3,4,4a,7,8,8a-octahydronaphthalen-1-yl)-3-methylpentanoic acid",C20 H32 O3,320.23514,342.21735,3,0,98.4,NA,NA,"Adduct 21.98 Da, low quality",delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_2.023_144.10191,1-Aminocyclohexanecarboxylic acid,C7 H13 N O2,143.09463,143.09463,2,0,98.2,NA,NA,0,L2,na,na,same name,same formula,Crotonic acid betaine,C7H13NO2,0,Crotonic acid betaine,C7H13NO2,L3.1
FT_2.050_247.12881,"(3aR,7aS,8S,9aR)-5,8-dimethyl-3-methylidene-2H,3H,3aH,4H,6H,7H,7aH,8H,9H,9aH-azuleno[6,5-b]furan-2,6-dione",C15 H18 O3,246.12559,246.12153,6,0,77.2,NA,NA,Adduct -16.51 ppm,check with sirius,na,na,same name,same formula,Glutamylvaline,C10H18N2O5,0,Glutamylvaline,C10H18N2O5,L3.1
FT_2.163_260.16048,Propranolol,C16 H21 N O2,259.15723,259.1532,3,0,89.6,NA,NA,Adduct -15.53 ppm,check with sirius,0,66.96,Isoleucylglutamine,C11H21N3O4,similar names,same formula,0,Isoleucylglutamine,C11H21N3O4,L3.1
FT_2.375_162.07610,"7-methylpyrimido[4,5-d]pyrimidin-4-amine",C7 H7 N5,161.07015,161.06883,2,0,78.8,NA,NA,"Adduct -8.17 ppm, DUPLICATED",check with sirius,0,na,same name,same formula,4-Methyl-L-glutamate,C6H11NO4,0,4-Methyl-L-glutamate,C6H11NO4,L3.1
FT_2.382_126.05492,NP-019811,C6 H7 N O2,125.04768,125.04764,1,0,60.8,NA,NA,0,keep sirius,0,74.12,5-Hydroxy-2-methoxypyridine,C6H7NO2,different name,same formula,0,5-Hydroxy-2-methoxypyridine,C6H7NO2,L3.3
FT_2.389_184.05804,"7-methylpyrimido[4,5-d]pyrimidin-4-amine",C7 H7 N5,161.07015,183.05076,2,0,81.8,NA,NA,"Adduct 21.98 DA, duplicated",na,na,na,na,na,na,na,0.97,"7-methylpyrimido[4,5-d]pyrimidin-4-amine",C7 H7 N5,L2
