FeatureID,Name,Formula,Annotation MW,Calc. MW,# mzCloud Results,# mzVault Results,mzCloud Best Match,KEGG ID,Potential_fragment,Notes,Action_decision,Sirus_notes,Sirius_percentage,Sirius_name,Sirius_formula,CMMRT_name,CMMRT_formula,Correlation_duplicated annotations,Final_name,Final_formula,Final_decision
FT_9.043_195.06277,NP-019360,C8 H12 O4,172.07356,172.07356,5,0,98.7,NA,NA,Duplicated,check with sirius,na,na,differente name,same formula,"(4R,5R)-4,5-dihydroxy-3-methoxy-5-methyl-cyclohex-2-en-1-one",C8H12O4,0.98,"(4R,5R)-4,5-dihydroxy-3-methoxy-5-methyl-cyclohex-2-en-1-one",C8H12O4,L3.3
FT_9.044_155.07035,NP-019360,C8 H12 O4,172.07356,154.06307,3,0,95.6,NA,NA,Duplicated,check with sirius,0,delete,delete,delete,delete,delete,0.98,,,delete
FT_9.159_223.09407,"2-[4-(tert-butyl)-2,3-dihydro-1,3-thiazol-2-yliden]-3-oxobutanenitrile",C11 H14 N2 O S,222.08268,222.08679,1,0,94.1,NA,NA,Adduct 18.49 ppm,check with sirius,no result,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_9.209_429.13675,"methyl (1S,4aS,6R,7R,7aR)-5,6-dihydroxy-7-methyl-1-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-1H,4aH,5H,6H,7H,7aH-cyclopenta[c]pyran-4-carboxylate",C17 H26 O11,406.14751,428.12947,3,0,95.3,NA,NA,"Adduct 21.98 DA, low quality",check with sirius,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_9.352_183.10168,NP-018661,C8 H16 O3,160.10994,182.0944,1,0,68.1,NA,NA,Adduct 21.98 Da,L2,na,na,na,na,na,na,na,NP-018661,C8 H16 O3,L2
FT_9.409_201.11222,"2-[4-(tert-butyl)-2,3-dihydro-1,3-thiazol-2-yliden]-3-oxobutanenitrile",C11 H14 N2 O S,222.08268,200.10491,1,0,94.4,NA,NA,"Adduct -21.98 Da, low quality",check with sirius,low confidence,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_9.455_485.16311,"(1R,9S)-11-(4-Methoxybenzoyl)-5-[4-(trifluoromethoxy)phenyl]-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one",C26 H23 F3 N2 O4,484.16099,484.15583,1,0,99.7,NA,NA,halogenated,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_9.676_167.10667,6-Pentyl-2H-pyran-2-one,C10 H14 O2,166.09938,166.09939,1,0,60.3,NA,NA,0,L2,na,na,na,na,na,na,0,6-Pentyl-2H-pyran-2-one,C10 H14 O2,L2
FT_9.682_185.11727,Senkyunolide H,C12 H16 O4,224.10486,184.10993,2,0,91.9,NA,NA,Adduct -39.99 DA,delete,delete,delete,delete,delete,delete,delete,higher 0.9,delete,delete,delete
FT_9.727_295.12883,Aspartame,C14 H18 N2 O5,294.12157,294.12155,1,0,65.9,D02381,NA,"Drug, likely contaminant",L2,na,na,na,na,na,na,0,no name,C14 H18 N2 O5,L4.3
FT_9.785_279.08392,"2-methyl-5-pyridin-2-yl-7-(trifluoromethyl)pyrazolo[1,5-a]pyrimidine",C13 H9 F3 N4,278.07793,278.07664,2,0,86.7,NA,NA,halogenated,keep second hit,no result,na,na,na,na,na,0.81,"3-(5,7-Dimethoxy-4-oxochromen-2-yl)propanoic acid",C14H14O6,L2
FT_9.983_340.13913,(4-methoxyphenyl)(4-phenyl-3-quinolinyl)methanone,C23 H17 N O2,339.12593,339.13185,1,0,77.1,NA,NA,Adduct 17.46 ppm,L2,0,na,similar structure,same formula,5-Hydroxytryptophol glucuronide,C16H21NO7,0,5-Hydroxytryptophol glucuronide,C16H21NO7,L3.3
