ko_id,name,pathway,reaction,brite,db_links
K09936,bacterial/archaeal transporter family-2 protein,Quorum sensing,NA,KEGG Orthology (KO) [BR:ko00001]; 09140 Cellular Processes;  09145 Cellular community - prokaryotes;   02024 Quorum sensing;    K09936  TC.BAT2; bacterial/archaeal transporter family-2 protein; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   02000 Transporters;    K09936  TC.BAT2; bacterial/archaeal transporter family-2 protein;Transporters [BR:ko02000]; Other transporters;  Electrochemical potential-driven transporters;   K09936  TC.BAT2; bacterial/archaeal transporter family-2 protein,COG: COG3238;TC: 2.A.7.21
K06996,uncharacterized protein,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09194 Poorly characterized;   99997 Function unknown;    K06996  K06996; uncharacterized protein,COG: COG3324
K15866,"2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase [EC:5.3.3.18]",Phenylalanine metabolism;Metabolic pathways;Microbial metabolism in diverse environments,"2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase;2,3-didehydroadipoyl-CoA:acetyl-CoA C-didehydroadipoyltransferase (double bond migration)","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09105 Amino acid metabolism;   00360 Phenylalanine metabolism;    K15866  paaG; 2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase;Enzymes [BR:ko01000]; 5. Isomerases;  5.3  Intramolecular oxidoreductases;   5.3.3  Transposing C=C bonds;    5.3.3.18  2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase;     K15866  paaG; 2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase",COG: COG1024
K02612,"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD",Phenylalanine metabolism;Metabolic pathways;Microbial metabolism in diverse environments,"phenylacetyl-CoA:oxygen oxidoreductase (1,2-epoxidizing)","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09105 Amino acid metabolism;   00360 Phenylalanine metabolism;    K02612  paaD; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD",COG: COG2151
K02611,"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC [EC:1.14.13.149]",Phenylalanine metabolism;Metabolic pathways;Microbial metabolism in diverse environments,"phenylacetyl-CoA:oxygen oxidoreductase (1,2-epoxidizing)","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09105 Amino acid metabolism;   00360 Phenylalanine metabolism;    K02611  paaC; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen;   1.14.13  With NADH or NADPH as one donor, and incorporation of one atom of oxygen into the other donor;    1.14.13.149  phenylacetyl-CoA 1,2-epoxidase;     K02611  paaC; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC",COG: COG3396
K02610,"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB",Phenylalanine metabolism;Metabolic pathways;Microbial metabolism in diverse environments,"phenylacetyl-CoA:oxygen oxidoreductase (1,2-epoxidizing)","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09105 Amino acid metabolism;   00360 Phenylalanine metabolism;    K02610  paaB; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB",COG: COG3460
K02609,"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]",Phenylalanine metabolism;Metabolic pathways;Microbial metabolism in diverse environments,"phenylacetyl-CoA:oxygen oxidoreductase (1,2-epoxidizing)","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09105 Amino acid metabolism;   00360 Phenylalanine metabolism;    K02609  paaA; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen;   1.14.13  With NADH or NADPH as one donor, and incorporation of one atom of oxygen into the other donor;    1.14.13.149  phenylacetyl-CoA 1,2-epoxidase;     K02609  paaA; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA",COG: COG3396
K18890,"ATP-binding cassette, subfamily B, multidrug efflux pump",ABC transporters,NA,"KEGG Orthology (KO) [BR:ko00001]; 09130 Environmental Information Processing;  09131 Membrane transport;   02010 ABC transporters;    K18890  mdlB, smdB; ATP-binding cassette, subfamily B, multidrug efflux pump; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   02000 Transporters;    K18890  mdlB, smdB; ATP-binding cassette, subfamily B, multidrug efflux pump;Transporters [BR:ko02000]; ABC transporters, eukaryotic type;  ABCB (MDR/TAP) subfamily;   ABCB-BAC subgroup;    K18890  mdlB, smdB; ATP-binding cassette, subfamily B, multidrug efflux pump",COG: COG1132;TC: 3.A.1.106.5 3.A.1.106.13
K09163,uncharacterized protein,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09194 Poorly characterized;   99997 Function unknown;    K09163  K09163; uncharacterized protein,COG: COG3294
K07090,uncharacterized protein,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09194 Poorly characterized;   99997 Function unknown;    K07090  K07090; uncharacterized protein,COG: COG0730
K13770,"TetR/AcrR family transcriptional regulator, fatty acid metabolism regulator protein",NA,NA,"KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03000 Transcription factors;    K13770  ysiA, fadR; TetR/AcrR family transcriptional regulator, fatty acid metabolism regulator protein;Transcription factors [BR:ko03000]; Prokaryotic type;  Helix-turn-helix;   TetR/AcrR family;    K13770  ysiA, fadR; TetR/AcrR family transcriptional regulator, fatty acid metabolism regulator protein",COG: COG1309
K03924,MoxR-like ATPase [EC:3.6.3.-],NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09191 Unclassified: metabolism;   99980 Enzymes with EC numbers;    K03924  moxR; MoxR-like ATPase,COG: COG0714
K00940,nucleoside-diphosphate kinase [EC:2.7.4.6],Purine metabolism;Pyrimidine metabolism;Drug metabolism - other enzymes;Metabolic pathways;Biosynthesis of secondary metabolites;Nucleotide metabolism;Biosynthesis of cofactors;MAPK signaling pathway - plant,ATP:ADP phosphatransferase;ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase;ATP:UDP phosphotransferase;ATP:GDP phosphotransferase;ATP:nucleoside-diphosphate phosphotransferase;ATP:CDP phosphotransferase;ATP:IDP phosphotransferase;ATP:dADP phosphotransferase;ATP:dGDP phosphotransferase;ATP:dTDP phosphotransferase;ATP:dCDP phosphotransferase;ATP:dUDP phosphotransferase;ATP:dIDP phosphotransferase;ATP:5-fluorouridine-diphosphate phosphotransferase;ATP:5-fluorodeoxyuridine-diphosphate phosphotransferase;nucleoside-diphosphate kinase,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09104 Nucleotide metabolism;   00230 Purine metabolism;    K00940  ndk, NME; nucleoside-diphosphate kinase;   00240 Pyrimidine metabolism;    K00940  ndk, NME; nucleoside-diphosphate kinase;  09111 Xenobiotics biodegradation and metabolism;   00983 Drug metabolism - other enzymes;    K00940  ndk, NME; nucleoside-diphosphate kinase; 09130 Environmental Information Processing;  09132 Signal transduction;   04016 MAPK signaling pathway - plant;    K00940  ndk, NME; nucleoside-diphosphate kinase; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   04131 Membrane trafficking;    K00940  ndk, NME; nucleoside-diphosphate kinase;Enzymes [BR:ko01000]; 2. Transferases;  2.7  Transferring phosphorus-containing groups;   2.7.4  Phosphotransferases with a phosphate group as acceptor;    2.7.4.6  nucleoside-diphosphate kinase;     K00940  ndk, NME; nucleoside-diphosphate kinase;Membrane trafficking [BR:ko04131]; Exocytosis;  Calcium ion-dependent exocytosis;   Kinases and associated proteins;    K00940  ndk, NME; nucleoside-diphosphate kinase",COG: COG0105;GO: 0004550
K07491,REP-associated tyrosine transposase,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09192 Unclassified: genetic information processing;   99976 Replication and repair;    K07491  rayT; REP-associated tyrosine transposase,COG: COG1943
K03569,rod shape-determining protein MreB and related proteins,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03036 Chromosome and associated proteins;    K03569  mreB; rod shape-determining protein MreB and related proteins;  09183 Protein families: signaling and cellular processes;   04812 Cytoskeleton proteins;    K03569  mreB; rod shape-determining protein MreB and related proteins;   02048 Prokaryotic defense system;    K03569  mreB; rod shape-determining protein MreB and related proteins;Chromosome and associated proteins [BR:ko03036]; Prokaryotic type;  Chromosome partitioning proteins;   Other chromosome partitioning proteins;    K03569  mreB; rod shape-determining protein MreB and related proteins;Cytoskeleton proteins [BR:ko04812]; Prokaryotic cytoskeleton proteins;  Actin homologs;   Actins;    K03569  mreB; rod shape-determining protein MreB and related proteins;Prokaryotic defense system [BR:ko02048]; Toxin-antitoxin system (TA system);  Type II TA system;   Type II TA system related factors;    K03569  mreB; rod shape-determining protein MreB and related proteins,COG: COG1077;TC: 1.A.33.1 9.B.157.1
K03570,rod shape-determining protein MreC,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03036 Chromosome and associated proteins;    K03570  mreC; rod shape-determining protein MreC;Chromosome and associated proteins [BR:ko03036]; Prokaryotic type;  Chromosome partitioning proteins;   Other chromosome partitioning proteins;    K03570  mreC; rod shape-determining protein MreC,COG: COG1792;TC: 9.B.157.1
K03571,rod shape-determining protein MreD,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03036 Chromosome and associated proteins;    K03571  mreD; rod shape-determining protein MreD;Chromosome and associated proteins [BR:ko03036]; Prokaryotic type;  Chromosome partitioning proteins;   Other chromosome partitioning proteins;    K03571  mreD; rod shape-determining protein MreD,COG: COG2891;TC: 9.B.157.1
K05515,penicillin-binding protein 2 [EC:3.4.16.4],Peptidoglycan biosynthesis;Metabolic pathways;beta-Lactam resistance,NA,KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09107 Glycan biosynthesis and metabolism;   00550 Peptidoglycan biosynthesis;    K05515  mrdA; penicillin-binding protein 2; 09160 Human Diseases;  09175 Drug resistance: antimicrobial;   01501 beta-Lactam resistance;    K05515  mrdA; penicillin-binding protein 2; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01011 Peptidoglycan biosynthesis and degradation proteins;    K05515  mrdA; penicillin-binding protein 2;Enzymes [BR:ko01000]; 3. Hydrolases;  3.4  Acting on peptide bonds (peptidases);   3.4.16  Serine-type carboxypeptidases;    3.4.16.4  serine-type D-Ala-D-Ala carboxypeptidase;     K05515  mrdA; penicillin-binding protein 2;Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]; Peptidoglycan biosynthesis and degradation;  DD-Transpeptidase (Class B PBP);   K05515  mrdA; penicillin-binding protein 2,COG: COG0768;GO: 0008658 0009002
K05837,rod shape determining protein RodA,NA,NA,"KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03036 Chromosome and associated proteins;    K05837  rodA, mrdB; rod shape determining protein RodA;Chromosome and associated proteins [BR:ko03036]; Prokaryotic type;  Chromosome partitioning proteins;   Other chromosome partitioning proteins;    K05837  rodA, mrdB; rod shape determining protein RodA",COG: COG0772
K08301,ribonuclease G [EC:3.1.26.-],NA,NA,"KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03019 Messenger RNA biogenesis;    K08301  rng, cafA; ribonuclease G;   03009 Ribosome biogenesis;    K08301  rng, cafA; ribonuclease G;Messenger RNA biogenesis [BR:ko03019]; Prokaryotic type;  Bacterial mRNA degradation factors;   RNA degradosome components;    Ribonucreases;     K08301  rng, cafA; ribonuclease G;Ribosome biogenesis [BR:ko03009]; Prokaryotic type;  rRNA processing factors;   K08301  rng, cafA; ribonuclease G",COG: COG1530
K00320,"5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]",Methane metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Carbon metabolism,"5,10-methylenetetrahydromethanopterin:coenzyme-F420 oxidoreductase","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09102 Energy metabolism;   00680 Methane metabolism;    K00320  mer; 5,10-methylenetetrahydromethanopterin reductase;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.5  Acting on the CH-NH group of donors;   1.5.98  With other, known, physiological acceptors;    1.5.98.2  5,10-methylenetetrahydromethanopterin reductase;     K00320  mer; 5,10-methylenetetrahydromethanopterin reductase",COG: COG2141;GO: 0018537
K00249,acyl-CoA dehydrogenase [EC:1.3.8.7],"Fatty acid degradation;Valine, leucine and isoleucine degradation;Metabolic pathways;Biosynthesis of secondary metabolites;Fatty acid metabolism;PPAR signaling pathway;Alcoholic liver disease","butanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;palmitoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;2-methylpropanoyl-CoA:(acceptor) 2,3-oxidoreductase;(S)-2-methylbutanoyl-CoA:acceptor 2,3-oxidoreductase;octanoyl-CoA:electron-transfer flavoprotein 2-oxidoreductase;lauroyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;tetradecanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;3-methylbutanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;hexanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;decanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09103 Lipid metabolism;   00071 Fatty acid degradation;    K00249  ACADM, acd; acyl-CoA dehydrogenase;  09105 Amino acid metabolism;   00280 Valine, leucine and isoleucine degradation;    K00249  ACADM, acd; acyl-CoA dehydrogenase; 09150 Organismal Systems;  09152 Endocrine system;   03320 PPAR signaling pathway;    K00249  ACADM, acd; acyl-CoA dehydrogenase; 09160 Human Diseases;  09167 Endocrine and metabolic disease;   04936 Alcoholic liver disease;    K00249  ACADM, acd; acyl-CoA dehydrogenase;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.3  Acting on the CH-CH group of donors;   1.3.8  With a flavin as acceptor;    1.3.8.7  medium-chain acyl-CoA dehydrogenase;     K00249  ACADM, acd; acyl-CoA dehydrogenase",COG: COG1960;GO: 0003995
K00344,NADPH:quinone reductase [EC:1.6.5.5],NA,NA,"KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09191 Unclassified: metabolism;   99980 Enzymes with EC numbers;    K00344  qor, CRYZ; NADPH:quinone reductase;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.6  Acting on NADH or NADPH;   1.6.5  With a quinone or similar compound as acceptor;    1.6.5.5  NADPH:quinone reductase;     K00344  qor, CRYZ; NADPH:quinone reductase",COG: COG0604;GO: 0003960
K00975,glucose-1-phosphate adenylyltransferase [EC:2.7.7.27],Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of nucleotide sugars;Biofilm formation - Escherichia coli,ATP:alpha-D-glucose-1-phosphate adenylyltransferase,KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09101 Carbohydrate metabolism;   00500 Starch and sucrose metabolism;    K00975  glgC; glucose-1-phosphate adenylyltransferase;   00520 Amino sugar and nucleotide sugar metabolism;    K00975  glgC; glucose-1-phosphate adenylyltransferase; 09140 Cellular Processes;  09145 Cellular community - prokaryotes;   02026 Biofilm formation - Escherichia coli;    K00975  glgC; glucose-1-phosphate adenylyltransferase;Enzymes [BR:ko01000]; 2. Transferases;  2.7  Transferring phosphorus-containing groups;   2.7.7  Nucleotidyltransferases;    2.7.7.27  glucose-1-phosphate adenylyltransferase;     K00975  glgC; glucose-1-phosphate adenylyltransferase,COG: COG0448;GO: 0008878
K06889,uncharacterized protein,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09194 Poorly characterized;   99997 Function unknown;    K06889  K06889; uncharacterized protein,COG: COG1073
K06994,putative drug exporter of the RND superfamily,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09194 Poorly characterized;   99996 General function prediction only;    K06994  K06994; putative drug exporter of the RND superfamily,COG: COG2409
K01638,malate synthase [EC:2.3.3.9],Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism,"acetyl-CoA:glyoxylate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09101 Carbohydrate metabolism;   00620 Pyruvate metabolism;    K01638  aceB, glcB; malate synthase;   00630 Glyoxylate and dicarboxylate metabolism;    K01638  aceB, glcB; malate synthase;Enzymes [BR:ko01000]; 2. Transferases;  2.3  Acyltransferases;   2.3.3  Acyl groups converted into alkyl groups on transfer;    2.3.3.9  malate synthase;     K01638  aceB, glcB; malate synthase",COG: COG2225;GO: 0004474
K01999,branched-chain amino acid transport system substrate-binding protein,ABC transporters;Quorum sensing,NA,"KEGG Orthology (KO) [BR:ko00001]; 09130 Environmental Information Processing;  09131 Membrane transport;   02010 ABC transporters;    K01999  livK; branched-chain amino acid transport system substrate-binding protein; 09140 Cellular Processes;  09145 Cellular community - prokaryotes;   02024 Quorum sensing;    K01999  livK; branched-chain amino acid transport system substrate-binding protein; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   02000 Transporters;    K01999  livK; branched-chain amino acid transport system substrate-binding protein;Transporters [BR:ko02000]; ABC transporters, prokaryotic type;  Phosphate and amino acid transporters;   Branched-chain amino acid transporter;    K01999  livK; branched-chain amino acid transport system substrate-binding protein",COG: COG0683;TC: 3.A.1.4
K01996,branched-chain amino acid transport system ATP-binding protein,ABC transporters;Quorum sensing,NA,"KEGG Orthology (KO) [BR:ko00001]; 09130 Environmental Information Processing;  09131 Membrane transport;   02010 ABC transporters;    K01996  livF; branched-chain amino acid transport system ATP-binding protein; 09140 Cellular Processes;  09145 Cellular community - prokaryotes;   02024 Quorum sensing;    K01996  livF; branched-chain amino acid transport system ATP-binding protein; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   02000 Transporters;    K01996  livF; branched-chain amino acid transport system ATP-binding protein;Transporters [BR:ko02000]; ABC transporters, prokaryotic type;  Phosphate and amino acid transporters;   Branched-chain amino acid transporter;    K01996  livF; branched-chain amino acid transport system ATP-binding protein",COG: COG0410;TC: 3.A.1.4
K01997,branched-chain amino acid transport system permease protein,ABC transporters;Quorum sensing,NA,"KEGG Orthology (KO) [BR:ko00001]; 09130 Environmental Information Processing;  09131 Membrane transport;   02010 ABC transporters;    K01997  livH; branched-chain amino acid transport system permease protein; 09140 Cellular Processes;  09145 Cellular community - prokaryotes;   02024 Quorum sensing;    K01997  livH; branched-chain amino acid transport system permease protein; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   02000 Transporters;    K01997  livH; branched-chain amino acid transport system permease protein;Transporters [BR:ko02000]; ABC transporters, prokaryotic type;  Phosphate and amino acid transporters;   Branched-chain amino acid transporter;    K01997  livH; branched-chain amino acid transport system permease protein",COG: COG0559;TC: 3.A.1.4
K08217,"MFS transporter, DHA3 family, macrolide efflux protein",NA,NA,"KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   02000 Transporters;    K08217  mef; MFS transporter, DHA3 family, macrolide efflux protein;   01504 Antimicrobial resistance genes;    K08217  mef; MFS transporter, DHA3 family, macrolide efflux protein;Transporters [BR:ko02000]; Major facilitator superfamily (MFS);  Drug transporters;   Drug:H+ antiporter-3 (12 spanner) (DHA3);    K08217  mef; MFS transporter, DHA3 family, macrolide efflux protein;Antimicrobial resistance genes [BR:ko01504]; Gene variants;  Macrolide resistance genes;   Transporters;    K08217  mef; MFS transporter, DHA3 family, macrolide efflux protein;Antimicrobial resistance: KEGG signatures [br01600.html]; Signature KOs for antimicrobial resistance;  K08217",COG: COG0477;TC: 2.A.1.21.1 2.A.1.21.22
K06402,stage IV sporulation protein FB [EC:3.4.24.-],NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01002 Peptidases and inhibitors;    K06402  spoIVFB; stage IV sporulation protein FB;Peptidases and inhibitors [BR:ko01002]; Metallo peptidases;  Family M50: S2P protease family;   K06402  spoIVFB; stage IV sporulation protein FB,COG: COG1994
K00034,glucose 1-dehydrogenase [EC:1.1.1.47],Pentose phosphate pathway;Metabolic pathways;Microbial metabolism in diverse environments;Carbon metabolism,beta-D-glucose:NAD+ 1-oxoreductase;beta-D-glucose:NADP+ 1-oxoreductase,KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09101 Carbohydrate metabolism;   00030 Pentose phosphate pathway;    K00034  gdh; glucose 1-dehydrogenase;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.1  Acting on the CH-OH group of donors;   1.1.1  With NAD+ or NADP+ as acceptor;    1.1.1.47  glucose 1-dehydrogenase [NAD(P)+];     K00034  gdh; glucose 1-dehydrogenase,COG: COG1028;GO: 0047936
K07058,membrane protein,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09194 Poorly characterized;   99996 General function prediction only;    K07058  K07058; membrane protein,COG: COG1295
K00334,NADH-quinone oxidoreductase subunit E [EC:7.1.1.2],Oxidative phosphorylation;Metabolic pathways,NADH:ubiquinone oxidoreductase,KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09102 Energy metabolism;   00190 Oxidative phosphorylation;    K00334  nuoE; NADH-quinone oxidoreductase subunit E;Enzymes [BR:ko01000]; 7. Translocases;  7.1  Catalysing the translocation of protons;   7.1.1  Linked to oxidoreductase reactions;    7.1.1.2  NADH:ubiquinone reductase (H+-translocating);     K00334  nuoE; NADH-quinone oxidoreductase subunit E,COG: COG1905;GO: 0008137;TC: 3.D.1
K00335,NADH-quinone oxidoreductase subunit F [EC:7.1.1.2],Oxidative phosphorylation;Metabolic pathways,NADH:ubiquinone oxidoreductase,KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09102 Energy metabolism;   00190 Oxidative phosphorylation;    K00335  nuoF; NADH-quinone oxidoreductase subunit F;Enzymes [BR:ko01000]; 7. Translocases;  7.1  Catalysing the translocation of protons;   7.1.1  Linked to oxidoreductase reactions;    7.1.1.2  NADH:ubiquinone reductase (H+-translocating);     K00335  nuoF; NADH-quinone oxidoreductase subunit F,COG: COG1894;GO: 0008137;TC: 3.D.1
K00337,NADH-quinone oxidoreductase subunit H [EC:7.1.1.2],Oxidative phosphorylation;Metabolic pathways,NADH:ubiquinone oxidoreductase,KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09102 Energy metabolism;   00190 Oxidative phosphorylation;    K00337  nuoH; NADH-quinone oxidoreductase subunit H;Enzymes [BR:ko01000]; 7. Translocases;  7.1  Catalysing the translocation of protons;   7.1.1  Linked to oxidoreductase reactions;    7.1.1.2  NADH:ubiquinone reductase (H+-translocating);     K00337  nuoH; NADH-quinone oxidoreductase subunit H,COG: COG1005;GO: 0008137;TC: 3.D.1
K00338,NADH-quinone oxidoreductase subunit I [EC:7.1.1.2],Oxidative phosphorylation;Metabolic pathways,NADH:ubiquinone oxidoreductase,KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09102 Energy metabolism;   00190 Oxidative phosphorylation;    K00338  nuoI; NADH-quinone oxidoreductase subunit I;Enzymes [BR:ko01000]; 7. Translocases;  7.1  Catalysing the translocation of protons;   7.1.1  Linked to oxidoreductase reactions;    7.1.1.2  NADH:ubiquinone reductase (H+-translocating);     K00338  nuoI; NADH-quinone oxidoreductase subunit I,COG: COG1143;GO: 0008137;TC: 3.D.1
K00339,NADH-quinone oxidoreductase subunit J [EC:7.1.1.2],Oxidative phosphorylation;Metabolic pathways,NADH:ubiquinone oxidoreductase,KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09102 Energy metabolism;   00190 Oxidative phosphorylation;    K00339  nuoJ; NADH-quinone oxidoreductase subunit J;Enzymes [BR:ko01000]; 7. Translocases;  7.1  Catalysing the translocation of protons;   7.1.1  Linked to oxidoreductase reactions;    7.1.1.2  NADH:ubiquinone reductase (H+-translocating);     K00339  nuoJ; NADH-quinone oxidoreductase subunit J,COG: COG0839;GO: 0008137;TC: 3.D.1
K00341,NADH-quinone oxidoreductase subunit L [EC:7.1.1.2],Oxidative phosphorylation;Metabolic pathways,NADH:ubiquinone oxidoreductase,KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09102 Energy metabolism;   00190 Oxidative phosphorylation;    K00341  nuoL; NADH-quinone oxidoreductase subunit L;Enzymes [BR:ko01000]; 7. Translocases;  7.1  Catalysing the translocation of protons;   7.1.1  Linked to oxidoreductase reactions;    7.1.1.2  NADH:ubiquinone reductase (H+-translocating);     K00341  nuoL; NADH-quinone oxidoreductase subunit L,COG: COG1009;GO: 0008137;TC: 3.D.1
K00343,NADH-quinone oxidoreductase subunit N [EC:7.1.1.2],Oxidative phosphorylation;Metabolic pathways,NADH:ubiquinone oxidoreductase,KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09102 Energy metabolism;   00190 Oxidative phosphorylation;    K00343  nuoN; NADH-quinone oxidoreductase subunit N;Enzymes [BR:ko01000]; 7. Translocases;  7.1  Catalysing the translocation of protons;   7.1.1  Linked to oxidoreductase reactions;    7.1.1.2  NADH:ubiquinone reductase (H+-translocating);     K00343  nuoN; NADH-quinone oxidoreductase subunit N,COG: COG1007;GO: 0008137;TC: 3.D.1
K03593,ATP-binding protein involved in chromosome partitioning,NA,NA,"KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03036 Chromosome and associated proteins;    K03593  mrp, NUBPL; ATP-binding protein involved in chromosome partitioning;   03029 Mitochondrial biogenesis;    K03593  mrp, NUBPL; ATP-binding protein involved in chromosome partitioning;Chromosome and associated proteins [BR:ko03036]; Prokaryotic type;  Chromosome partitioning proteins;   Other chromosome partitioning proteins;    K03593  mrp, NUBPL; ATP-binding protein involved in chromosome partitioning;Mitochondrial biogenesis [BR:ko03029]; Mitochondrial quality control factors;  Mitochondrial respiratory chain complex assembly factors;   Complex-I assembly factors;    K03593  mrp, NUBPL; ATP-binding protein involved in chromosome partitioning",COG: COG0489
K03698,3'-5' exoribonuclease [EC:3.1.-.-],NA,NA,"KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03019 Messenger RNA biogenesis;    K03698  cbf, cbf1; 3'-5' exoribonuclease;Messenger RNA biogenesis [BR:ko03019]; Prokaryotic type;  Bacterial mRNA degradation factors;   RNA degradosome components;    Ribonucreases;     K03698  cbf, cbf1; 3'-5' exoribonuclease",COG: COG3481;GO: 0000175
