ko_id,name,pathway,reaction,brite,db_links
K10221,"2-pyrone-4,6-dicarboxylate lactonase [EC:3.1.1.57]",Benzoate degradation;Aminobenzoate degradation;Metabolic pathways;Microbial metabolism in diverse environments,"2-pyrone-4,6-dicarboxylate lactonohydrolase","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09111 Xenobiotics biodegradation and metabolism;   00362 Benzoate degradation;    K10221  ligI; 2-pyrone-4,6-dicarboxylate lactonase;   00627 Aminobenzoate degradation;    K10221  ligI; 2-pyrone-4,6-dicarboxylate lactonase;Enzymes [BR:ko01000]; 3. Hydrolases;  3.1  Acting on ester bonds;   3.1.1  Carboxylic-ester hydrolases;    3.1.1.57  2-pyrone-4,6-dicarboxylate lactonase;     K10221  ligI; 2-pyrone-4,6-dicarboxylate lactonase",GO: 0047554
K10546,putative multiple sugar transport system substrate-binding protein,ABC transporters,NA,"KEGG Orthology (KO) [BR:ko00001]; 09130 Environmental Information Processing;  09131 Membrane transport;   02010 ABC transporters;    K10546  chvE; putative multiple sugar transport system substrate-binding protein; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   02000 Transporters;    K10546  chvE; putative multiple sugar transport system substrate-binding protein;Transporters [BR:ko02000]; ABC transporters, prokaryotic type;  Saccharide, polyol, and lipid transporters;   Multiple sugar transporter;    K10546  chvE; putative multiple sugar transport system substrate-binding protein",COG: COG1879 COG4213;TC: 3.A.1.2.5 3.A.1.2.22
K22769,NADPH-dependent stearoyl-CoA 9-desaturase [EC:1.14.19.-],Biosynthesis of unsaturated fatty acids;Metabolic pathways;Fatty acid metabolism,R12048,KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09103 Lipid metabolism;   01040 Biosynthesis of unsaturated fatty acids;    K22769  desA3; NADPH-dependent stearoyl-CoA 9-desaturase; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01004 Lipid biosynthesis proteins;    K22769  desA3; NADPH-dependent stearoyl-CoA 9-desaturase;Lipid biosynthesis proteins [BR:ko01004]; Desaturase;  First;   K22769  desA3; NADPH-dependent stearoyl-CoA 9-desaturase,COG: COG3239
K11159,carotenoid cleavage oxygenase [EC:1.13.11.-],NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09191 Unclassified: metabolism;   99980 Enzymes with EC numbers;    K11159  K11159; carotenoid cleavage oxygenase,COG: COG3670
K19640,"putative two-component system protein, hydrogenase maturation factor HypX/HoxX",NA,NA,"KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   02022 Two-component system;    K19640  hypX, hoxX; putative two-component system protein, hydrogenase maturation factor HypX/HoxX;Two-component system [BR:ko02022]; NtrC family;  HupT-HupR (hydrogenase synthesis regulation);   K19640  hypX, hoxX; putative two-component system protein, hydrogenase maturation factor HypX/HoxX",COG: COG0223 COG1024;GO: 0016742
K12466,(+)-trans-carveol dehydrogenase [EC:1.1.1.275],Limonene degradation;Microbial metabolism in diverse environments,(+)-trans-carveol: NAD+ oxidoreductase,KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09109 Metabolism of terpenoids and polyketides;   00903 Limonene degradation;    K12466  E1.1.1.275; (+)-trans-carveol dehydrogenase;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.1  Acting on the CH-OH group of donors;   1.1.1  With NAD+ or NADP+ as acceptor;    1.1.1.275  (+)-trans-carveol dehydrogenase;     K12466  E1.1.1.275; (+)-trans-carveol dehydrogenase,GO: 0033702
K01666,4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39],Phenylalanine metabolism;Benzoate degradation;Dioxin degradation;Xylene degradation;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,4-hydroxy-2-oxopentanoate pyruvate-lyase (acetaldehyde-forming),KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09105 Amino acid metabolism;   00360 Phenylalanine metabolism;    K01666  mhpE; 4-hydroxy 2-oxovalerate aldolase;  09111 Xenobiotics biodegradation and metabolism;   00362 Benzoate degradation;    K01666  mhpE; 4-hydroxy 2-oxovalerate aldolase;   00622 Xylene degradation;    K01666  mhpE; 4-hydroxy 2-oxovalerate aldolase;   00621 Dioxin degradation;    K01666  mhpE; 4-hydroxy 2-oxovalerate aldolase;Enzymes [BR:ko01000]; 4. Lyases;  4.1  Carbon-carbon lyases;   4.1.3  Oxo-acid-lyases;    4.1.3.39  4-hydroxy-2-oxovalerate aldolase;     K01666  mhpE; 4-hydroxy 2-oxovalerate aldolase;Dioxygenases [br01602.html]; Dioxygenases in aromatic ring cleavage;  K01666,COG: COG0119;GO: 0008701
K19687,antitoxin VapB,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   02048 Prokaryotic defense system;    K19687  vapB; antitoxin VapB;Prokaryotic defense system [BR:ko02048]; Toxin-antitoxin system (TA system);  Type II TA system;   VapC-VapB;    K19687  vapB; antitoxin VapB,COG: COG4423
K00862,erythritol kinase (D-erythritol 1-phosphate-forming) [EC:2.7.1.215],NA,ATP:erythritol 1-phosphotransferase,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09191 Unclassified: metabolism;   99980 Enzymes with EC numbers;    K00862  eryA; erythritol kinase (D-erythritol 1-phosphate-forming);Enzymes [BR:ko01000]; 2. Transferases;  2.7  Transferring phosphorus-containing groups;   2.7.1  Phosphotransferases with an alcohol group as acceptor;    2.7.1.215  erythritol kinase (D-erythritol 1-phosphate-forming);     K00862  eryA; erythritol kinase (D-erythritol 1-phosphate-forming),COG: COG1070
K21119,cytochrome P450 family 130,NA,NA,"KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   00199 Cytochrome P450;    K21119  CYP130; cytochrome P450 family 130;Cytochrome P450 [BR:ko00199]; Cytochrome P450, bacteria type;  CYP130 family;   K21119  CYP130; cytochrome P450 family 130",COG: COG2124
