genome,cluster,Domain,Phylum,Class,Order,Family,Genus,Species,response_type
bcn_bin_71,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA,Wet
bcn_bin_72,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,70-9,NA,NA,Wet
bcn_bin_80_1,Cluster 2,Bacteria,Myxococcota,Myxococcia,Myxococcales,40CM-4-68-19,VBKO01,NA,Wet
bcn_bin_81,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,AC-21,NA,Wet
bcn_bin_82_1,Cluster 2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA,Wet
bcn_bin_84_1,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA,Wet
bcn_bin_85,Cluster 2,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,CSP1-6,NA,NA,Wet
bcn_bin_87,Cluster 1,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,GMQP-bins7,NA,Dry
bcn_bin_97,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,NA,Wet
bcn_bin_99_1,Cluster 3,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-105,NA,Pulse
bcn_bin_9_1,Cluster 1,Bacteria,Actinomycetota,UBA4738,CADDZG01,WHSQ01,NA,NA,Dry
bco_bin_1,Cluster 3,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,JACDCH01,NA,NA,Pulse
bco_bin_101,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Jiangellales,Jiangellaceae,NA,NA,Wet
bco_bin_102_1,Cluster 1,Bacteria,Actinomycetota,UBA4738,JAHWKV01,JAHWKV01,NA,NA,Dry
bco_bin_104_1,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Pseudonocardia,NA,Wet
bco_bin_105_1,Cluster 2,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Telluria,NA,Wet
bco_bin_106_1,Cluster 2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA,Wet
bco_bin_107,Cluster 1,Bacteria,Actinomycetota,UBA4738,JAHWKV01,NA,NA,NA,Dry
bco_bin_108_1,Cluster 3,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA,NA,Pulse
bco_bin_109,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,3-1-20CM-4-69-9,NA,Wet
bco_bin_11,Cluster 3,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,NA,NA,Pulse
bco_bin_111,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA,Wet
bco_bin_112,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,NA,Wet
bco_bin_113,Cluster 2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA,Wet
bco_bin_115,Cluster 1,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,JACVRW01,NA,Dry
bco_bin_116,Cluster 3,Bacteria,Chloroflexota,Dormibacteria,Dormibacterales,Dormibacteraceae,NA,NA,Pulse
bco_bin_117,Cluster 1,Bacteria,Actinomycetota,Acidimicrobiia,IMCC26256,PALSA-610,NA,NA,Dry
bco_bin_118,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA,Wet
bco_bin_123,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Jiangellales,Jiangellaceae,NA,NA,Wet
bco_bin_125_1,Cluster 3,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,NA,NA,Pulse
bco_bin_128,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA,Wet
bco_bin_129,Cluster 1,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,70-9,NA,NA,Dry
bco_bin_130,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,70-9,AC-56,NA,Wet
bco_bin_134_1,Cluster 1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,NA,NA,Dry
bco_bin_135,Cluster 2,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,NA,NA,Wet
bco_bin_136,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,NA,NA,Wet
bco_bin_137,Cluster 3,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA,Pulse
bco_bin_139,Cluster 3,Bacteria,Chloroflexota,UBA6077,UBA6077,JAJPHF01,NA,NA,Pulse
