FeatureID,estimate,stderror,df,tvalue,lower,upper,pvalue,padj,Name,Formula,Annotation_level,env_sig,LC_mode
FT_1.706_467.13727,-0.516333944,0.151562004,25.49040447,-3.406750573,-0.828177511,-0.204490376,0.00218823,0.018546062,NP-020236,C23H24O9,L2.1,moisture,RP
FT_1.720_462.18184,-0.440955939,0.12391195,25.52155736,-3.558623191,-0.695893194,-0.186018685,0.001490229,0.013974703,3-cis-Hydroxyglipizide,C21H27N5O5S,L2.3,moisture,RP
FT_1.745_204.12300,-0.322552238,0.098667525,26.04713139,-3.269082074,-0.525348381,-0.119756095,0.003029539,0.023124826,Acetylcarnitine,C9H17NO4,L2.1,moisture,RP
FT_1.759_288.11903,-1.937482295,0.257406878,26.07036493,-7.526925126,-2.466520213,-1.408444376,5.35E-08,9.83E-06,Clavamycin E,C11H17N3O6,L2.3,moisture,RP
FT_1.774_118.08621,0.434077066,0.139543638,25.60806706,3.110690472,0.147027195,0.721126937,0.004540613,0.029354531,D-Valine,C5H11NO2,L1,moisture,RP
FT_1.774_469.09629,-0.675685449,0.234250262,28,-2.88445973,-1.155525359,-0.195845538,0.007460581,0.043121222,Neocretanin,C20H20O13,L2.3,moisture,RP
FT_1.774_72.08080,0.408773712,0.128546643,25.6314923,3.179964116,0.144357288,0.673190136,0.003827779,0.026609715,3-Buten-1-amine,C4H9N,L2.2,moisture,RP
FT_1.776_453.12153,-0.47480459,0.153116591,26.26054115,-3.100934958,-0.789388343,-0.160220837,0.00456768,0.029354531,Nuezhenidic acid,C17H24O14,L2.3,moisture,RP
FT_1.786_448.16613,-0.360977255,0.126163135,26.0123236,-2.861194406,-0.620303314,-0.101651197,0.008219076,0.045777761,no name,C23H21N5O6,L3.3,moisture,RP
FT_1.822_277.10307,-1.772485233,0.322043499,26.36850326,-5.503869013,-2.434005166,-1.1109653,8.53E-06,3.32E-04,gamma-Glutamylglutamate,C10H16N2O7,L2.1,moisture,RP
FT_1.826_199.14414,1.262056777,0.376992476,25.09911103,3.347697518,0.48578167,2.038331884,0.002572299,0.020919852,(-)-Slaframine,C10H18N2O2,L2.3,moisture,RP
FT_1.909_511.16356,-0.944481742,0.135064559,25.47166644,-6.992816999,-1.222391458,-0.666572027,2.24E-07,2.95E-05,Piperenol A triacetate,C27H26O10,L2.3,moisture,RP
FT_1.988_684.25597,-0.849082146,0.095294715,25.13556703,-8.910065444,-1.045291625,-0.652872666,2.98E-09,2.74E-06,no name,C24H45NO21,L3.3,moisture,RP
FT_10.608_223.06001,-0.357458845,0.107902493,25.92436226,-3.312795045,-0.579287096,-0.135630594,0.002726927,0.021791706,"(3R,4S)-4,6,8-Trihydroxy-7-methoxy-3-methyl-3,4-dihydro-1H-isochromen-1-one",C11H12O6,L2.1,moisture,RP
FT_11.314_195.06521,-0.195379584,0.062316823,28,-3.135262269,-0.323029809,-0.067729358,0.004009009,0.02729096,Ferulic acid,C10H10O4,L2.1,moisture,RP
FT_11.332_239.09131,-0.774464412,0.268580911,25.63693085,-2.883542273,-1.326921156,-0.222007668,0.007856917,0.044297585,46-Dimethylcurvulinic acid,C12H14O5,L2.3,moisture,RP
FT_11.451_223.09644,-0.280999112,0.08337634,28,-3.370250037,-0.451787802,-0.110210422,0.002205196,0.018546062,"1-(5-Acetyl-2,4-dimethoxyphenyl)ethanone",C12H14O4,L2.3,moisture,RP
FT_11.491_167.03390,-0.218732962,0.075139117,25.26467706,-2.911039823,-0.373402708,-0.064063217,0.007421856,0.043121222,"1,3-Benzenedicarboxaldehyde, 4,6-dihydroxy-",C8H6O4,L2.3,moisture,RP
